Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-0.6303
0.022,0.0000,0.0000,0.0000,-0.6303
0.039,0.0000,0.0000,0.0000,-0.6303
0.047,0.0000,0.0000,0.0000,-0.6303
0.053,0.0000,0.0000,0.0000,-0.6303
0.059,0.0000,0.0000,0.0000,-0.6303
0.066,0.0000,0.0000,0.0000,-0.6303
0.072,0.0000,0.0000,0.0000,-0.6303
0.077,0.0000,0.0000,0.0000,-0.6303
0.084,0.0000,0.0000,0.0000,-0.6303
0.090,0.0000,0.0000,0.0000,-0.6303
0.097,0.0000,0.0000,0.0000,-0.6303
0.104,0.0000,0.0000,0.0000,-0.6303
0.111,0.0000,0.0000,0.0000,-0.6303
0.117,0.0000,0.0000,0.0000,-0.6303
0.123,0.0000,0.0000,0.0000,-0.6303
0.131,0.0000,0.0000,0.0000,-0.6303
0.137,0.0000,0.0000,0.0000,-0.6303
0.143,0.0000,0.0000,0.0000,-0.6303
0.152,0.0000,0.0000,0.0000,-0.6303
0.161,0.0000,0.0000,0.0000,-0.6303
0.168,0.0000,0.0000,0.0000,-0.6303
0.174,0.0000,0.0000,0.0000,-0.6303
0.179,0.0000,0.0000,0.0000,-0.6303
0.186,0.0000,0.0000,0.0000,-0.6303
0.192,0.0000,0.0000,0.0000,-0.6303
0.199,0.0000,0.0000,0.0000,-0.6303
0.206,0.0000,0.0000,0.0000,-0.6303
0.211,0.0000,0.0000,0.0000,-0.6303
0.218,0.0000,0.0000,0.0000,-0.6303
0.224,0.0000,0.0000,0.0000,-0.6303
0.231,0.0000,0.0000,0.0000,-0.6303
0.238,0.0000,0.0000,0.0000,-0.6303
0.244,0.0000,0.0000,0.0000,-0.6303
0.251,0.0000,0.0000,0.0000,-0.6303
0.258,0.0000,0.0000,0.0000,-0.6303
0.264,0.0000,0.0000,0.0000,-0.6303
0.272,0.0000,0.0000,0.0000,-0.6303
0.278,0.0000,0.0000,0.0000,-0.6303
0.287,0.0000,0.0000,0.0000,-0.6303
0.292,0.0000,0.0000,0.0000,-0.6303
0.299,0.0000,0.0000,0.0000,-0.6303
0.306,0.0000,0.0000,0.0000,-0.6303
0.312,0.0000,0.0000,0.0000,-0.6303
0.319,0.0000,0.0000,0.0000,-0.6303
0.326,0.0000,0.0000,0.0000,-0.6303
0.332,0.0000,0.0000,0.0000,-0.6303
0.338,0.0000,0.0000,0.0000,-0.6303
0.345,0.0000,0.0000,0.0000,-0.6303
0.352,0.0000,0.0000,0.0000,-0.6303
0.357,0.0000,0.0000,0.0000,-0.6303
0.363,0.0000,0.0000,0.0000,-0.6303
0.370,0.0000,0.0000,0.0000,-0.6303
0.377,0.0000,0.0000,0.0000,-0.6303
0.384,0.0000,0.0000,0.0000,-0.6303
0.391,0.0000,0.0000,0.0000,-0.6303
