Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.039,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.047,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.053,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.072,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.077,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.084,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.097,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.161,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.174,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.179,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.186,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.224,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.231,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.238,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.244,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.264,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.278,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.299,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.306,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.312,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.319,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.326,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.332,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.338,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.345,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.352,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.357,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.363,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.370,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.377,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.384,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.391,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.398,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.412,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.418,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.435,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.441,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.454,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.460,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.468,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.475,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.481,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
