Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.022,0.0000,9.3638,0.0000
0.039,0.0000,9.3638,0.0000
0.047,0.0000,9.3638,0.0000
0.053,0.0000,9.3638,0.0000
0.059,0.0000,9.3638,0.0000
0.066,0.0000,9.3638,0.0000
0.072,0.0000,9.3638,0.0000
0.077,0.0000,9.3638,0.0000
0.084,0.0000,9.3638,0.0000
0.090,0.0000,9.3638,0.0000
0.097,0.0000,9.3638,0.0000
0.104,0.0000,9.3638,0.0000
0.111,0.0000,9.3638,0.0000
0.117,0.0000,9.3638,0.0000
0.123,0.0000,9.3638,0.0000
0.131,0.0000,9.3638,0.0000
0.137,0.0000,9.3638,0.0000
0.143,0.0000,9.3638,0.0000
0.152,0.0000,9.3638,0.0000
0.161,0.0000,9.3638,0.0000
0.168,0.0000,9.3638,0.0000
0.174,0.0000,9.3638,0.0000
0.179,0.0000,9.3638,0.0000
0.186,0.0000,9.3638,0.0000
0.192,0.0000,9.3638,0.0000
0.199,0.0000,9.3638,0.0000
0.206,0.0000,9.3638,0.0000
0.211,0.0000,9.3638,0.0000
0.218,0.0000,9.3638,0.0000
0.224,0.0000,9.3638,0.0000
0.231,0.0000,9.3638,0.0000
0.238,0.0000,9.3638,0.0000
0.244,0.0000,9.3638,0.0000
0.251,0.0000,9.3638,0.0000
0.258,0.0000,9.3638,0.0000
0.264,0.0000,9.3638,0.0000
0.272,0.0000,9.3638,0.0000
0.278,0.0000,9.3638,0.0000
0.287,0.0000,9.3638,0.0000
0.292,0.0000,9.3638,0.0000
0.299,0.0000,9.3638,0.0000
0.306,0.0000,9.3638,0.0000
0.312,0.0000,9.3638,0.0000
0.319,0.0000,9.3638,0.0000
0.326,0.0000,9.3638,0.0000
0.332,0.0000,9.3638,0.0000
0.338,0.0000,9.3638,0.0000
0.345,0.0000,9.3638,0.0000
0.352,0.0000,9.3638,0.0000
0.357,0.0000,9.3638,0.0000
0.363,0.0000,9.3638,0.0000
0.370,0.0000,9.3638,0.0000
0.377,0.0000,9.3638,0.0000
0.384,0.0000,9.3638,0.0000
0.391,0.0000,9.3638,0.0000
0.398,0.0000,9.3638,0.0000
