Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.031,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.038,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.043,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.048,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.054,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.058,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.071,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.077,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.083,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.088,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.099,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.107,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.114,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.124,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.135,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.170,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
