Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.043,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.049,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.063,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.075,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.081,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.098,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.153,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.158,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.170,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.213,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.225,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.230,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.236,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.248,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.261,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.266,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.282,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.289,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.295,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.308,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.315,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.321,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.327,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.334,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.339,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.343,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.349,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.355,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.360,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.366,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.371,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.376,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.382,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.396,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.406,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.413,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.418,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.424,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.431,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.438,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
