Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.037,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.046,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.055,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.073,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.081,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.107,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.182,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.191,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.198,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.230,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.237,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.244,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.266,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.307,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.314,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.319,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.326,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.339,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.346,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.352,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.359,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.365,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.372,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.378,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.384,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.391,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.397,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.415,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.436,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.442,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.450,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.457,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.463,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.470,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.476,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.483,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.490,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.498,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
