Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-0.4839
0.025,0.0000,0.0000,0.0000,-0.4839
0.034,0.0000,0.0000,0.0000,-0.4839
0.043,0.0000,0.0000,0.0000,-0.4839
0.048,0.0000,0.0000,0.0000,-0.4839
0.054,0.0000,0.0000,0.0000,-0.4839
0.062,0.0000,0.0000,0.0000,-0.4839
0.070,0.0000,0.0000,0.0000,-0.4839
0.081,0.0000,0.0000,0.0000,-0.4839
0.089,0.0000,0.0000,0.0000,-0.4839
0.095,0.0000,0.0000,0.0000,-0.4839
0.103,0.0000,0.0000,0.0000,-0.4839
0.108,0.0000,0.0000,0.0000,-0.4839
0.113,0.0000,0.0000,0.0000,-0.4839
0.120,0.0000,0.0000,0.0000,-0.4839
0.126,0.0000,0.0000,0.0000,-0.4839
0.131,0.0000,0.0000,0.0000,-0.4839
0.139,0.0000,0.0000,0.0000,-0.4839
0.144,0.0000,0.0000,0.0000,-0.4839
0.152,0.0000,0.0000,0.0000,-0.4839
0.162,0.0000,0.0000,0.0000,-0.4839
0.167,0.0000,0.0000,0.0000,-0.4839
0.173,0.0000,0.0000,0.0000,-0.4839
0.180,0.0000,0.0000,0.0000,-0.4839
0.185,0.0000,0.0000,0.0000,-0.4839
0.190,0.0000,0.0000,0.0000,-0.4839
0.197,0.0000,0.0000,0.0000,-0.4839
0.203,0.0000,0.0000,0.0000,-0.4839
0.208,0.0000,0.0000,0.0000,-0.4839
0.214,0.0000,0.0000,0.0000,-0.4839
0.221,0.0000,0.0000,0.0000,-0.4839
0.227,0.0000,0.0000,0.0000,-0.4839
0.232,0.0000,0.0000,0.0000,-0.4839
0.239,0.0000,0.0000,0.0000,-0.4839
0.244,0.0000,0.0000,0.0000,-0.4839
0.251,0.0000,0.0000,0.0000,-0.4839
0.258,0.0000,0.0000,0.0000,-0.4839
0.263,0.0000,0.0000,0.0000,-0.4839
0.269,0.0000,0.0000,0.0000,-0.4839
0.275,0.0000,0.0000,0.0000,-0.4839
0.282,0.0000,0.0000,0.0000,-0.4839
0.288,0.0000,0.0000,0.0000,-0.4839
0.294,0.0000,0.0000,0.0000,-0.4839
0.301,0.0000,0.0000,0.0000,-0.4839
0.307,0.0000,0.0000,0.0000,-0.4839
0.312,0.0000,0.0000,0.0000,-0.4839
0.318,0.0000,0.0000,0.0000,-0.4839
0.325,0.0000,0.0000,0.0000,-0.4839
0.330,0.0000,0.0000,0.0000,-0.4839
0.338,0.0000,0.0000,0.0000,-0.4839
0.343,0.0000,0.0000,0.0000,-0.4839
0.348,0.0000,0.0000,0.0000,-0.4839
0.354,0.0000,0.0000,0.0000,-0.4839
0.360,0.0000,0.0000,0.0000,-0.4839
0.365,0.0000,0.0000,0.0000,-0.4839
0.371,0.0000,0.0000,0.0000,-0.4839
0.377,0.0000,0.0000,0.0000,-0.4839
0.383,0.0000,0.0000,0.0000,-0.4839
0.388,0.0000,0.0000,0.0000,-0.4839
0.393,0.0000,0.0000,0.0000,-0.4839
0.400,0.0000,0.0000,0.0000,-0.4839
0.406,0.0000,0.0000,0.0000,-0.4839
0.411,0.0000,0.0000,0.0000,-0.4839
0.417,0.0000,0.0000,0.0000,-0.4839
0.423,0.0000,0.0000,0.0000,-0.4839
0.430,0.0000,0.0000,0.0000,-0.4839
0.438,0.0000,0.0000,0.0000,-0.4839
0.444,0.0000,0.0000,0.0000,-0.4839
0.452,0.0000,0.0000,0.0000,-0.4839
0.458,0.0000,0.0000,0.0000,-0.4839
0.464,0.0000,0.0000,0.0000,-0.4839
0.469,0.0000,0.0000,0.0000,-0.4839
0.475,0.0000,0.0000,0.0000,-0.4839
0.482,0.0000,0.0000,0.0000,-0.4839
0.487,0.0000,0.0000,0.0000,-0.4839
0.493,0.0000,0.0000,0.0000,-0.4839
0.499,0.0000,0.0000,0.0000,-0.4839
0.505,0.0000,0.0000,0.0000,-0.4839
0.511,0.0000,0.0000,0.0000,-0.4839
0.516,0.0000,0.0000,0.0000,-0.4839
0.524,0.0000,0.0000,0.0000,-0.4839
0.529,0.0000,0.0000,0.0000,-0.4839
0.533,0.0000,0.0000,0.0000,-0.4839
0.540,0.0000,0.0000,0.0000,-0.4839
0.545,0.0000,0.0000,0.0000,-0.4839
0.550,0.0000,0.0000,0.0000,-0.4839
0.557,0.0000,0.0000,0.0000,-0.4839
0.562,0.0000,0.0000,0.0000,-0.4839
0.567,0.0000,0.0000,0.0000,-0.4839
0.574,0.0000,0.0000,0.0000,-0.4839
0.580,0.0000,0.0000,0.0000,-0.4839
0.585,0.0000,0.0000,0.0000,-0.4839
0.591,0.0000,0.0000,0.0000,-0.4839
0.596,0.0000,0.0000,0.0000,-0.4839
0.602,0.0000,0.0000,0.0000,-0.4839
0.609,0.0000,0.0000,0.0000,-0.4839
0.614,0.0000,0.0000,0.0000,-0.4839
0.621,0.0000,0.0000,0.0000,-0.4839
0.627,0.0000,0.0000,0.0000,-0.4839
0.632,0.0000,0.0000,0.0000,-0.4839
0.640,0.0000,0.0000,0.0000,-0.4839
0.645,0.0000,0.0000,0.0000,-0.4839
0.650,0.0000,0.0000,0.0000,-0.4839
0.656,0.0000,0.0000,0.0000,-0.4839
0.662,0.0000,0.0000,0.0000,-0.4839
0.667,0.0000,0.0000,0.0000,-0.4839
0.673,0.0000,0.0000,0.0000,-0.4839
