Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.025,0.0000,9.3638,0.0000
0.034,0.0000,9.3638,0.0000
0.043,0.0000,9.3638,0.0000
0.048,0.0000,9.3638,0.0000
0.054,0.0000,9.3638,0.0000
0.062,0.0000,9.3638,0.0000
0.070,0.0000,9.3638,0.0000
0.081,0.0000,9.3638,0.0000
0.089,0.0000,9.3638,0.0000
0.095,0.0000,9.3638,0.0000
0.103,0.0000,9.3638,0.0000
0.108,0.0000,9.3638,0.0000
0.113,0.0000,9.3638,0.0000
0.120,0.0000,9.3638,0.0000
0.126,0.0000,9.3638,0.0000
0.131,0.0000,9.3638,0.0000
0.139,0.0000,9.3638,0.0000
0.144,0.0000,9.3638,0.0000
0.152,0.0000,9.3638,0.0000
0.162,0.0000,9.3638,0.0000
0.167,0.0000,9.3638,0.0000
0.173,0.0000,9.3638,0.0000
0.180,0.0000,9.3638,0.0000
0.185,0.0000,9.3638,0.0000
0.190,0.0000,9.3638,0.0000
0.197,0.0000,9.3638,0.0000
0.203,0.0000,9.3638,0.0000
0.208,0.0000,9.3638,0.0000
0.214,0.0000,9.3638,0.0000
0.221,0.0000,9.3638,0.0000
0.227,0.0000,9.3638,0.0000
0.232,0.0000,9.3638,0.0000
0.239,0.0000,9.3638,0.0000
0.244,0.0000,9.3638,0.0000
0.251,0.0000,9.3638,0.0000
0.258,0.0000,9.3638,0.0000
0.263,0.0000,9.3638,0.0000
0.269,0.0000,9.3638,0.0000
0.275,0.0000,9.3638,0.0000
0.282,0.0000,9.3638,0.0000
0.288,0.0000,9.3638,0.0000
0.294,0.0000,9.3638,0.0000
0.301,0.0000,9.3638,0.0000
0.307,0.0000,9.3638,0.0000
0.312,0.0000,9.3638,0.0000
0.318,0.0000,9.3638,0.0000
0.325,0.0000,9.3638,0.0000
0.330,0.0000,9.3638,0.0000
0.338,0.0000,9.3638,0.0000
0.343,0.0000,9.3638,0.0000
0.348,0.0000,9.3638,0.0000
0.354,0.0000,9.3638,0.0000
0.360,0.0000,9.3638,0.0000
0.365,0.0000,9.3638,0.0000
0.371,0.0000,9.3638,0.0000
0.377,0.0000,9.3638,0.0000
0.383,0.0000,9.3638,0.0000
0.388,0.0000,9.3638,0.0000
0.393,0.0000,9.3638,0.0000
0.400,0.0000,9.3638,0.0000
0.406,0.0000,9.3638,0.0000
0.411,0.0000,9.3638,0.0000
0.417,0.0000,9.3638,0.0000
0.423,0.0000,9.3638,0.0000
0.430,0.0000,9.3638,0.0000
0.438,0.0000,9.3638,0.0000
0.444,0.0000,9.3638,0.0000
0.452,0.0000,9.3638,0.0000
0.458,0.0000,9.3638,0.0000
0.464,0.0000,9.3638,0.0000
0.469,0.0000,9.3638,0.0000
0.475,0.0000,9.3638,0.0000
0.482,0.0000,9.3638,0.0000
0.487,0.0000,9.3638,0.0000
0.493,0.0000,9.3638,0.0000
0.499,0.0000,9.3638,0.0000
0.505,0.0000,9.3638,0.0000
0.511,0.0000,9.3638,0.0000
0.516,0.0000,9.3638,0.0000
0.524,0.0000,9.3638,0.0000
0.529,0.0000,9.3638,0.0000
0.533,0.0000,9.3638,0.0000
0.540,0.0000,9.3638,0.0000
0.545,0.0000,9.3638,0.0000
0.550,0.0000,9.3638,0.0000
0.557,0.0000,9.3638,0.0000
0.562,0.0000,9.3638,0.0000
0.567,0.0000,9.3638,0.0000
0.574,0.0000,9.3638,0.0000
0.580,0.0000,9.3638,0.0000
0.585,0.0000,9.3638,0.0000
0.591,0.0000,9.3638,0.0000
0.596,0.0000,9.3638,0.0000
0.602,0.0000,9.3638,0.0000
0.609,0.0000,9.3638,0.0000
0.614,0.0000,9.3638,0.0000
0.621,0.0000,9.3638,0.0000
0.627,0.0000,9.3638,0.0000
0.632,0.0000,9.3638,0.0000
0.640,0.0000,9.3638,0.0000
0.645,0.0000,9.3638,0.0000
0.650,0.0000,9.3638,0.0000
0.656,0.0000,9.3638,0.0000
0.662,0.0000,9.3638,0.0000
0.667,0.0000,9.3638,0.0000
0.673,0.0000,9.3638,0.0000
0.678,0.0000,9.3638,0.0000
0.684,0.0000,9.3638,0.0000
0.690,0.0000,9.3638,0.0000
0.697,0.0000,9.3638,0.0000
0.703,0.0000,9.3638,0.0000
0.709,0.0000,9.3638,0.0000
0.714,0.0000,9.3638,0.0000
0.720,0.0000,9.3638,0.0000
0.725,0.0000,9.3638,0.0000
0.731,0.0000,9.3638,0.0000
0.738,0.0000,9.3638,0.0000
0.744,0.0000,9.3638,0.0000
0.748,0.0000,9.3638,0.0000
0.755,0.0000,9.3638,0.0000
0.762,0.0000,9.3638,0.0000
0.768,0.0000,9.3638,0.0000
0.774,0.0000,9.3638,0.0000
0.781,0.0000,9.3638,0.0000
0.786,0.0000,9.3638,0.0000
0.793,0.0000,9.3638,0.0000
0.799,0.0000,9.3638,0.0000
0.806,0.0000,9.3638,0.0000
0.812,0.0000,9.3638,0.0000
0.819,0.0000,9.3638,0.0000
0.827,0.0000,9.3638,0.0000
0.832,0.0000,9.3638,0.0000
0.840,0.0000,9.3638,0.0000
0.846,0.0000,9.3638,0.0000
0.852,0.0000,9.3638,0.0000
0.859,0.0000,9.3638,0.0000
0.864,0.0000,9.3638,0.0000
0.871,0.0000,9.3638,0.0000
0.878,0.0000,9.3638,0.0000
0.884,0.0000,9.3638,0.0000
0.892,0.0000,9.3638,0.0000
0.898,0.0000,9.3638,0.0000
0.904,0.0000,9.3638,0.0000
0.911,0.0000,9.3638,0.0000
0.919,0.0000,9.3638,0.0000
0.924,0.0000,9.3638,0.0000
0.929,0.0000,9.3638,0.0000
0.937,0.0000,9.3638,0.0000
0.944,0.0000,9.3638,0.0000
0.950,0.0000,9.3638,0.0000
0.958,0.0000,9.3638,0.0000
0.964,0.0000,9.3638,0.0000
0.971,0.0000,9.3638,0.0000
0.978,0.0000,9.3638,0.0000
0.985,0.0000,9.3638,0.0000
0.992,0.0000,9.3638,0.0000
0.999,0.0000,9.3638,0.0000
1.007,0.0000,9.3638,0.0000
1.014,0.0000,9.3638,0.0000
1.021,0.0000,9.3638,0.0000
1.029,0.0000,9.3638,0.0000
1.035,0.0000,9.3638,0.0000
1.043,0.0000,9.3638,0.0000
1.049,0.0000,9.3638,0.0000
1.056,0.0000,9.3638,0.0000
1.064,0.0000,9.3638,0.0000
1.070,0.0000,9.3638,0.0000
1.078,0.0000,9.3638,0.0000
1.084,0.0000,9.3638,0.0000
1.092,0.0000,9.3638,0.0000
1.099,0.0000,9.3638,0.0000
1.106,0.0000,9.3638,0.0000
1.113,0.0000,9.3638,0.0000
1.121,0.0000,9.3638,0.0000
1.128,0.0000,9.3638,0.0000
1.134,0.0000,9.3638,0.0000
1.142,0.0000,9.3638,0.0000
1.148,0.0000,9.3638,0.0000
1.157,0.0000,9.3638,0.0000
1.164,0.0000,9.3638,0.0000
1.171,0.0000,9.3638,0.0000
1.178,0.0000,9.3638,0.0000
1.186,0.0000,9.3638,0.0000
1.192,0.0000,9.3638,0.0000
1.199,0.0000,9.3638,0.0000
1.205,0.0000,9.3638,0.0000
1.210,0.0000,9.3638,0.0000
1.217,0.0000,9.3638,0.0000
1.223,0.0000,9.3638,0.0000
1.228,0.0000,9.3638,0.0000
1.233,0.0000,9.3638,0.0000
1.240,0.0000,9.3638,0.0000
1.246,0.0000,9.3638,0.0000
1.251,0.0000,9.3638,0.0000
1.257,0.0000,9.3638,0.0000
1.262,0.0000,9.3638,0.0000
1.267,0.0000,9.3638,0.0000
1.274,0.0000,9.3638,0.0000
1.280,0.0000,9.3638,0.0000
1.285,0.0000,9.3638,0.0000
1.290,0.0000,9.3638,0.0000
1.296,0.0000,9.3638,0.0000
1.302,0.0000,9.3638,0.0000
1.309,0.0000,9.3638,0.0000
1.314,0.0000,9.3638,0.0000
1.321,0.0000,9.3638,0.0000
1.327,0.0000,9.3638,0.0000
1.332,0.0000,9.3638,0.0000
1.340,0.0000,9.3638,0.0000
1.345,0.0000,9.3638,0.0000
1.350,0.0000,9.3638,0.0000
1.357,0.0000,9.3638,0.0000
1.362,0.0000,9.3638,0.0000
1.368,0.0000,9.3638,0.0000
1.373,0.0000,9.3638,0.0000
1.379,0.0000,9.3638,0.0000
1.385,0.0000,9.3638,0.0000
1.390,0.0000,9.3638,0.0000
1.397,0.0000,9.3638,0.0000
1.403,0.0000,9.3638,0.0000
1.409,0.0000,9.3638,0.0000
1.414,0.0000,9.3638,0.0000
1.420,0.0000,9.3638,0.0000
1.425,0.0000,9.3638,0.0000
1.432,0.0000,9.3638,0.0000
1.438,0.0000,9.3638,0.0000
1.443,0.0000,9.3638,0.0000
1.450,0.0000,9.3638,0.0000
1.456,0.0000,9.3638,0.0000
1.462,0.0000,9.3638,0.0000
1.467,0.0000,9.3638,0.0000
1.473,0.0000,9.3638,0.0000
1.480,0.0000,9.3638,0.0000
1.485,0.0000,9.3638,0.0000
1.490,0.0000,9.3638,0.0000
1.497,0.0000,9.3638,0.0000
1.502,0.0000,9.3638,0.0000
1.507,0.0000,9.3638,0.0000
