Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.042,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.058,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.071,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.077,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.083,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.098,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.109,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.170,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.189,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.196,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.225,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.230,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.237,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.248,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.254,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.274,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.282,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.311,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.318,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.323,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.328,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.334,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.341,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.347,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.352,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.359,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.366,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.373,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.380,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.384,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.392,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.398,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.415,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.427,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.440,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.454,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
