sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0255,True,True,1,773.65,105.27,773.65,105.27,0.402942,0.097475,773.65,105.27,1920,1080
1,0.0398,True,True,1,773.65,105.27,773.65,105.27,0.402942,0.097475,773.65,105.27,1920,1080
2,0.0490,True,True,1,773.65,105.27,773.65,105.27,0.402942,0.097475,773.65,105.27,1920,1080
3,0.0778,True,True,1,771.70,123.75,771.70,123.75,0.401929,0.114585,771.70,123.75,1920,1080
4,0.0868,True,True,1,770.60,146.79,770.60,146.79,0.401356,0.135913,770.60,146.79,1920,1080
5,0.1119,True,True,1,770.49,169.24,770.49,169.24,0.401299,0.156703,770.49,169.24,1920,1080
6,0.1283,True,True,1,770.49,169.24,770.49,169.24,0.401299,0.156703,770.49,169.24,1920,1080
7,0.1515,True,True,1,772.98,189.76,772.98,189.76,0.402594,0.175703,772.98,189.76,1920,1080
8,0.1680,True,True,1,772.98,189.76,772.98,189.76,0.402594,0.175703,772.98,189.76,1920,1080
9,0.1917,True,True,1,773.89,206.95,773.89,206.95,0.403066,0.191623,773.89,206.95,1920,1080
10,0.2079,True,True,1,775.72,222.44,775.72,222.44,0.404020,0.205961,775.72,222.44,1920,1080
11,0.2286,True,True,1,775.72,222.44,775.72,222.44,0.404020,0.205961,775.72,222.44,1920,1080
12,0.2505,True,True,1,777.46,236.49,777.46,236.49,0.404925,0.218976,777.46,236.49,1920,1080
13,0.2717,True,True,1,779.65,247.68,779.65,247.68,0.406068,0.229332,779.65,247.68,1920,1080
14,0.2864,True,True,1,779.65,247.68,779.65,247.68,0.406068,0.229332,779.65,247.68,1920,1080
15,0.3073,True,True,1,780.46,254.16,780.46,254.16,0.406489,0.235337,780.46,254.16,1920,1080
16,0.3300,True,True,1,780.63,258.52,780.63,258.52,0.406578,0.239370,780.63,258.52,1920,1080
17,0.3507,True,True,1,780.63,258.52,780.63,258.52,0.406578,0.239370,780.63,258.52,1920,1080
18,0.3660,True,True,1,781.13,260.55,781.13,260.55,0.406839,0.241247,781.13,260.55,1920,1080
19,0.3904,True,True,1,778.96,270.04,778.96,270.04,0.405706,0.250038,778.96,270.04,1920,1080
20,0.4054,True,True,1,778.96,270.04,778.96,270.04,0.405706,0.250038,778.96,270.04,1920,1080
21,0.4274,True,True,1,771.23,368.53,771.23,368.53,0.401683,0.341232,771.23,368.53,1920,1080
22,0.4490,True,True,1,762.06,519.86,762.06,519.86,0.396909,0.481353,762.06,519.86,1920,1080
23,0.4704,True,True,1,762.06,519.86,762.06,519.86,0.396909,0.481353,762.06,519.86,1920,1080
24,0.4885,True,True,1,748.69,630.67,748.69,630.67,0.389945,0.583954,748.69,630.67,1920,1080
25,0.5102,True,True,1,756.22,686.31,756.22,686.31,0.393864,0.635469,756.22,686.31,1920,1080
26,0.5257,True,True,1,756.22,686.31,756.22,686.31,0.393864,0.635469,756.22,686.31,1920,1080
27,0.5493,True,True,1,752.90,720.94,752.90,720.94,0.392135,0.667535,752.90,720.94,1920,1080
28,0.5708,True,True,1,756.31,740.09,756.31,740.09,0.393911,0.685270,756.31,740.09,1920,1080
29,0.5867,True,True,1,756.31,740.09,756.31,740.09,0.393911,0.685270,756.31,740.09,1920,1080
30,0.6089,True,True,1,759.08,742.89,759.08,742.89,0.395355,0.687860,759.08,742.89,1920,1080
31,0.6319,True,True,1,749.30,740.81,749.30,740.81,0.390259,0.685940,749.30,740.81,1920,1080
32,0.6472,True,True,1,749.30,740.81,749.30,740.81,0.390259,0.685940,749.30,740.81,1920,1080
33,0.6691,True,True,1,656.73,725.84,656.73,725.84,0.342046,0.672073,656.73,725.84,1920,1080
34,0.6919,True,True,1,535.30,700.31,535.30,700.31,0.278801,0.648438,535.30,700.31,1920,1080
35,0.7052,True,True,1,535.30,700.31,535.30,700.31,0.278801,0.648438,535.30,700.31,1920,1080
36,0.7281,True,True,1,424.68,687.49,424.68,687.49,0.221187,0.636565,424.68,687.49,1920,1080
37,0.7492,True,True,1,343.48,681.81,343.48,681.81,0.178898,0.631303,343.48,681.81,1920,1080
38,0.7706,True,True,1,343.48,681.81,343.48,681.81,0.178898,0.631303,343.48,681.81,1920,1080
39,0.7914,True,True,1,295.26,672.18,295.26,672.18,0.153783,0.622386,295.26,672.18,1920,1080
40,0.8061,True,True,1,261.10,663.40,261.10,663.40,0.135990,0.614255,261.10,663.40,1920,1080
41,0.8278,True,True,1,261.10,663.40,261.10,663.40,0.135990,0.614255,261.10,663.40,1920,1080
42,0.8516,True,True,1,238.05,658.76,238.05,658.76,0.123984,0.609965,238.05,658.76,1920,1080
43,0.8719,True,True,1,226.52,654.01,226.52,654.01,0.117977,0.605562,226.52,654.01,1920,1080
44,0.8866,True,True,1,226.52,654.01,226.52,654.01,0.117977,0.605562,226.52,654.01,1920,1080
45,0.9151,True,True,1,222.68,652.39,222.68,652.39,0.115981,0.604067,222.68,652.39,1920,1080
46,0.9296,True,True,1,232.81,636.04,232.81,636.04,0.121254,0.588922,232.81,636.04,1920,1080
47,0.9496,True,True,1,232.81,636.04,232.81,636.04,0.121254,0.588922,232.81,636.04,1920,1080
48,0.9690,True,True,1,313.48,525.50,313.48,525.50,0.163270,0.486574,313.48,525.50,1920,1080
49,0.9851,True,True,1,430.75,358.73,430.75,358.73,0.224347,0.332154,430.75,358.73,1920,1080
50,1.0081,True,True,1,430.75,358.73,430.75,358.73,0.224347,0.332154,430.75,358.73,1920,1080
51,1.0302,True,True,1,502.51,252.49,502.51,252.49,0.261724,0.233791,502.51,252.49,1920,1080
52,1.0513,True,True,1,536.12,200.90,536.12,200.90,0.279230,0.186022,536.12,200.90,1920,1080
53,1.0656,True,True,1,536.12,200.90,536.12,200.90,0.279230,0.186022,536.12,200.90,1920,1080
54,1.0904,True,True,1,551.67,179.02,551.67,179.02,0.287328,0.165759,551.67,179.02,1920,1080
55,1.1056,True,True,1,559.87,169.51,559.87,169.51,0.291599,0.156958,559.87,169.51,1920,1080
