Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.042,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.058,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.073,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.079,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.088,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.161,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.169,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.184,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.191,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.231,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.239,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.245,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.253,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.271,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.277,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.297,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.316,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.323,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.336,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.343,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.349,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.356,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.362,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.370,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.376,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.384,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.391,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.398,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.404,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.411,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.417,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.423,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.431,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.437,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.458,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.471,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.478,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.492,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.499,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.508,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.515,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
