Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.040,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.049,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.078,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.087,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.095,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.120,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.136,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.184,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.198,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.215,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.223,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.237,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.244,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.257,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.278,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.286,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.299,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.307,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.314,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.321,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.337,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.343,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.351,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.358,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.366,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.373,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.379,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.390,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.398,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.413,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.420,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.427,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.433,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.441,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.449,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.456,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.463,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.470,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.479,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.488,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.495,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.501,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.510,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.518,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.526,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.533,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.541,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.549,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.563,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.571,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.578,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.587,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.593,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.601,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.609,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.616,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.623,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.632,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.639,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.647,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.655,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.662,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.669,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.676,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.685,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.692,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.699,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.705,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.712,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.720,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.728,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.734,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.742,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.749,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.757,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.764,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.771,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.777,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.784,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.791,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.797,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.806,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.813,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.822,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.828,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.835,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.843,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.858,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.865,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.872,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.878,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.887,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.892,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.899,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.915,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.923,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.930,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.935,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.944,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.950,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.955,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.963,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.969,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.978,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.030,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.038,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.044,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.058,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.074,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.082,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.097,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.106,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.153,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.166,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.173,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.195,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.225,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.234,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.257,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.291,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.306,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.313,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.322,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.329,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.336,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.344,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.351,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.358,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.368,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.374,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.384,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.392,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.399,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.415,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.433,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.442,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.459,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.467,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.475,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.482,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.490,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.496,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.503,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.510,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.517,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.525,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.531,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.539,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.546,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.552,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.559,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.566,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.573,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.579,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.587,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.595,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.601,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.609,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.615,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.624,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.631,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.639,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.647,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.655,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.662,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.672,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.679,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.689,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.699,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.710,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.721,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.734,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.748,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.759,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
