Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.021,0.0000,9.3638,0.0000
0.033,0.0000,9.3638,0.0000
0.042,0.0000,9.3638,0.0000
0.051,0.0000,9.3638,0.0000
0.060,0.0000,9.3638,0.0000
0.068,0.0000,9.3638,0.0000
0.075,0.0000,9.3638,0.0000
0.084,0.0000,9.3638,0.0000
0.091,0.0000,9.3638,0.0000
0.101,0.0000,9.3638,0.0000
0.111,0.0000,9.3638,0.0000
0.120,0.0000,9.3638,0.0000
0.132,0.0000,9.3638,0.0000
0.141,0.0000,9.3638,0.0000
0.152,0.0000,9.3638,0.0000
0.167,0.0000,9.3638,0.0000
0.176,0.0000,9.3638,0.0000
0.186,0.0000,9.3638,0.0000
0.195,0.0000,9.3638,0.0000
0.205,0.0000,9.3638,0.0000
0.214,0.0000,9.3638,0.0000
0.223,0.0000,9.3638,0.0000
0.231,0.0000,9.3638,0.0000
0.241,0.0000,9.3638,0.0000
0.250,0.0000,9.3638,0.0000
0.258,0.0000,9.3638,0.0000
0.269,0.0000,9.3638,0.0000
0.278,0.0000,9.3638,0.0000
0.287,0.0000,9.3638,0.0000
0.296,0.0000,9.3638,0.0000
0.305,0.0000,9.3638,0.0000
0.314,0.0000,9.3638,0.0000
0.323,0.0000,9.3638,0.0000
0.329,0.0000,9.3638,0.0000
0.338,0.0000,9.3638,0.0000
0.347,0.0000,9.3638,0.0000
0.355,0.0000,9.3638,0.0000
0.365,0.0000,9.3638,0.0000
0.371,0.0000,9.3638,0.0000
0.381,0.0000,9.3638,0.0000
0.387,0.0000,9.3638,0.0000
0.395,0.0000,9.3638,0.0000
0.404,0.0000,9.3638,0.0000
0.412,0.0000,9.3638,0.0000
0.421,0.0000,9.3638,0.0000
0.429,0.0000,9.3638,0.0000
0.437,0.0000,9.3638,0.0000
0.446,0.0000,9.3638,0.0000
0.456,0.0000,9.3638,0.0000
0.467,0.0000,9.3638,0.0000
0.475,0.0000,9.3638,0.0000
0.484,0.0000,9.3638,0.0000
0.493,0.0000,9.3638,0.0000
0.503,0.0000,9.3638,0.0000
0.509,0.0000,9.3638,0.0000
0.518,0.0000,9.3638,0.0000
0.527,0.0000,9.3638,0.0000
0.537,0.0000,9.3638,0.0000
0.554,0.0000,9.3638,0.0000
0.568,0.0000,9.3638,0.0000
0.578,0.0000,9.3638,0.0000
0.591,0.0000,9.3638,0.0000
0.603,0.0000,9.3638,0.0000
0.616,0.0000,9.3638,0.0000
0.632,0.0000,9.3638,0.0000
0.649,0.0000,9.3638,0.0000
0.660,0.0000,9.3638,0.0000
0.675,0.0000,9.3638,0.0000
0.685,0.0000,9.3638,0.0000
0.699,0.0000,9.3638,0.0000
0.714,0.0000,9.3638,0.0000
0.725,0.0000,9.3638,0.0000
0.741,0.0000,9.3638,0.0000
0.755,0.0000,9.3638,0.0000
0.766,0.0000,9.3638,0.0000
0.778,0.0000,9.3638,0.0000
0.792,0.0000,9.3638,0.0000
0.805,0.0000,9.3638,0.0000
0.819,0.0000,9.3638,0.0000
0.839,0.0000,9.3638,0.0000
0.852,0.0000,9.3638,0.0000
0.868,0.0000,9.3638,0.0000
0.882,0.0000,9.3638,0.0000
0.890,0.0000,9.3638,0.0000
0.897,0.0000,9.3638,0.0000
0.904,0.0000,9.3638,0.0000
