sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0209,True,True,1,751.10,264.78,751.10,264.78,0.391196,0.245166,751.10,264.78,1920,1080
1,0.0334,True,True,1,751.14,264.97,751.14,264.97,0.391219,0.245341,751.14,264.97,1920,1080
2,0.0513,True,True,1,751.14,264.97,751.14,264.97,0.391219,0.245341,751.14,264.97,1920,1080
3,0.0684,True,True,1,751.26,264.99,751.26,264.99,0.391280,0.245362,751.26,264.99,1920,1080
4,0.0910,True,True,1,751.29,265.02,751.29,265.02,0.391295,0.245387,751.29,265.02,1920,1080
5,0.1108,True,True,1,751.29,265.02,751.29,265.02,0.391295,0.245387,751.29,265.02,1920,1080
6,0.1323,True,True,1,751.17,265.08,751.17,265.08,0.391234,0.245449,751.17,265.08,1920,1080
7,0.1516,True,True,1,751.12,265.13,751.12,265.13,0.391207,0.245491,751.12,265.13,1920,1080
8,0.1674,True,True,1,751.12,265.13,751.12,265.13,0.391207,0.245491,751.12,265.13,1920,1080
9,0.1861,True,True,1,751.11,265.14,751.11,265.14,0.391206,0.245503,751.11,265.14,1920,1080
10,0.2053,True,True,1,751.11,265.14,751.11,265.14,0.391206,0.245503,751.11,265.14,1920,1080
11,0.2314,True,True,1,750.94,265.27,750.94,265.27,0.391117,0.245620,750.94,265.27,1920,1080
12,0.2495,True,True,1,750.48,265.49,750.48,265.49,0.390876,0.245825,750.48,265.49,1920,1080
13,0.2691,True,True,1,750.48,265.49,750.48,265.49,0.390876,0.245825,750.48,265.49,1920,1080
14,0.2874,True,True,1,698.43,229.91,698.43,229.91,0.363765,0.212877,698.43,229.91,1920,1080
15,0.3051,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
16,0.3293,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
17,0.3473,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
18,0.3645,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
19,0.3874,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
20,0.4123,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
21,0.4291,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
22,0.4464,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
23,0.4667,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
24,0.4927,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
25,0.5093,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
26,0.5270,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
27,0.5538,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
28,0.5677,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
29,0.5909,True,True,1,373.98,3.14,373.98,3.14,0.194783,0.002904,373.98,3.14,1920,1080
30,0.6159,True,True,1,-174.16,-106.35,0.00,0.00,-0.090707,-0.098476,-174.16,-106.35,1920,1080
31,0.6321,True,True,1,-174.16,-106.35,0.00,0.00,-0.090707,-0.098476,-174.16,-106.35,1920,1080
32,0.6487,True,True,1,-158.90,-74.06,0.00,0.00,-0.082759,-0.068578,-158.90,-74.06,1920,1080
33,0.6754,True,True,1,-145.99,-52.46,0.00,0.00,-0.076038,-0.048575,-145.99,-52.46,1920,1080
34,0.6850,True,True,1,-145.99,-52.46,0.00,0.00,-0.076038,-0.048575,-145.99,-52.46,1920,1080
35,0.7141,True,True,1,-131.18,-28.91,0.00,0.00,-0.068322,-0.026764,-131.18,-28.91,1920,1080
36,0.7251,True,True,1,-65.23,36.39,0.00,36.39,-0.033977,0.033694,-65.23,36.39,1920,1080
37,0.7547,True,True,1,206.15,184.11,206.15,184.11,0.107371,0.170470,206.15,184.11,1920,1080
38,0.7655,True,True,1,206.15,184.11,206.15,184.11,0.107371,0.170470,206.15,184.11,1920,1080
39,0.7922,True,True,1,460.76,300.57,460.76,300.57,0.239981,0.278309,460.76,300.57,1920,1080
40,0.8046,True,True,1,460.76,300.57,460.76,300.57,0.239981,0.278309,460.76,300.57,1920,1080
41,0.8388,True,True,1,587.80,351.66,587.80,351.66,0.306144,0.325607,587.80,351.66,1920,1080
42,0.8517,True,True,1,640.79,372.08,640.79,372.08,0.333744,0.344523,640.79,372.08,1920,1080
43,0.8675,True,True,1,640.79,372.08,640.79,372.08,0.333744,0.344523,640.79,372.08,1920,1080
44,0.8896,True,True,1,664.49,381.89,664.49,381.89,0.346090,0.353606,664.49,381.89,1920,1080
45,0.9133,True,True,1,676.68,385.95,676.68,385.95,0.352436,0.357364,676.68,385.95,1920,1080
46,0.9288,True,True,1,676.68,385.95,676.68,385.95,0.352436,0.357364,676.68,385.95,1920,1080
47,0.9510,True,True,1,682.97,385.84,682.97,385.84,0.355713,0.357262,682.97,385.84,1920,1080
48,0.9656,True,True,1,682.97,385.84,682.97,385.84,0.355713,0.357262,682.97,385.84,1920,1080
49,0.9874,True,True,1,686.10,385.08,686.10,385.08,0.357344,0.356556,686.10,385.08,1920,1080
50,1.0055,True,True,1,687.16,385.54,687.16,385.54,0.357898,0.356986,687.16,385.54,1920,1080
51,1.0329,True,True,1,685.95,387.34,685.95,387.34,0.357265,0.358646,685.95,387.34,1920,1080
52,1.0497,True,True,1,685.95,387.34,685.95,387.34,0.357265,0.358646,685.95,387.34,1920,1080
53,1.0688,True,True,1,686.61,386.56,686.61,386.56,0.357610,0.357921,686.61,386.56,1920,1080
54,1.0854,True,True,1,686.61,386.56,686.61,386.56,0.357610,0.357921,686.61,386.56,1920,1080
55,1.1097,True,True,1,689.04,388.22,689.04,388.22,0.358876,0.359460,689.04,388.22,1920,1080
56,1.1351,True,True,1,691.49,388.00,691.49,388.00,0.360151,0.359262,691.49,388.00,1920,1080
57,1.1506,True,True,1,691.49,388.00,691.49,388.00,0.360151,0.359262,691.49,388.00,1920,1080
58,1.1646,True,True,1,692.55,387.36,692.55,387.36,0.360705,0.358666,692.55,387.36,1920,1080
59,1.1888,True,True,1,690.52,380.19,690.52,380.19,0.359644,0.352028,690.52,380.19,1920,1080
60,1.2124,True,True,1,690.52,380.19,690.52,380.19,0.359644,0.352028,690.52,380.19,1920,1080
61,1.2256,True,True,1,690.52,380.19,690.52,380.19,0.359644,0.352028,690.52,380.19,1920,1080
62,1.2537,True,True,1,690.52,380.19,690.52,380.19,0.359644,0.352028,690.52,380.19,1920,1080
63,1.2716,True,True,1,643.92,248.38,643.92,248.38,0.335373,0.229984,643.92,248.38,1920,1080
64,1.2892,True,True,1,643.92,248.38,643.92,248.38,0.335373,0.229984,643.92,248.38,1920,1080
65,1.3064,True,True,1,568.38,234.69,568.38,234.69,0.296029,0.217306,568.38,234.69,1920,1080
66,1.3318,True,True,1,505.71,127.97,505.71,127.97,0.263391,0.118491,505.71,127.97,1920,1080
67,1.3484,True,True,1,505.71,127.97,505.71,127.97,0.263391,0.118491,505.71,127.97,1920,1080
68,1.3664,True,True,1,468.60,107.86,468.60,107.86,0.244064,0.099870,468.60,107.86,1920,1080
69,1.3845,True,True,1,468.60,107.86,468.60,107.86,0.244064,0.099870,468.60,107.86,1920,1080
70,1.4117,True,True,1,459.92,116.94,459.92,116.94,0.239543,0.108274,459.92,116.94,1920,1080
71,1.4303,True,True,1,466.17,117.75,466.17,117.75,0.242795,0.109029,466.17,117.75,1920,1080
72,1.4476,True,True,1,466.17,117.75,466.17,117.75,0.242795,0.109029,466.17,117.75,1920,1080
73,1.4646,True,True,1,473.15,131.30,473.15,131.30,0.246433,0.121574,473.15,131.30,1920,1080
74,1.4878,True,True,1,477.17,144.45,477.17,144.45,0.248524,0.133750,477.17,144.45,1920,1080
75,1.5066,True,True,1,477.17,144.45,477.17,144.45,0.248524,0.133750,477.17,144.45,1920,1080
76,1.5253,True,True,1,479.94,160.19,479.94,160.19,0.249971,0.148323,479.94,160.19,1920,1080
77,1.5489,True,True,1,476.96,175.71,476.96,175.71,0.248419,0.162697,476.96,175.71,1920,1080
78,1.5653,True,True,1,476.96,175.71,476.96,175.71,0.248419,0.162697,476.96,175.71,1920,1080
79,1.5898,True,True,1,453.15,181.06,453.15,181.06,0.236015,0.167650,453.15,181.06,1920,1080
80,1.6069,True,True,1,432.12,184.24,432.12,184.24,0.225061,0.170591,432.12,184.24,1920,1080
81,1.6248,True,True,1,432.12,184.24,432.12,184.24,0.225061,0.170591,432.12,184.24,1920,1080
82,1.6551,True,True,1,415.07,186.21,415.07,186.21,0.216185,0.172419,415.07,186.21,1920,1080
83,1.6721,True,True,1,401.67,188.45,401.67,188.45,0.209203,0.174495,401.67,188.45,1920,1080
84,1.6879,True,True,1,401.67,188.45,401.67,188.45,0.209203,0.174495,401.67,188.45,1920,1080
85,1.7051,True,True,1,390.92,190.49,390.92,190.49,0.203605,0.176382,390.92,190.49,1920,1080
86,1.7333,True,True,1,383.14,190.61,383.14,190.61,0.199550,0.176493,383.14,190.61,1920,1080
87,1.7453,True,True,1,383.14,190.61,383.14,190.61,0.199550,0.176493,383.14,190.61,1920,1080
88,1.7696,True,True,1,377.35,191.13,377.35,191.13,0.196535,0.176976,377.35,191.13,1920,1080
89,1.7866,True,True,1,372.03,192.86,372.03,192.86,0.193766,0.178571,372.03,192.86,1920,1080
90,1.8191,True,True,1,367.27,191.34,367.27,191.34,0.191287,0.177168,367.27,191.34,1920,1080
91,1.8336,True,True,1,367.27,191.34,367.27,191.34,0.191287,0.177168,367.27,191.34,1920,1080
92,1.8445,True,True,1,364.76,189.22,364.76,189.22,0.189977,0.175208,364.76,189.22,1920,1080
93,1.8689,True,True,1,364.76,189.22,364.76,189.22,0.189977,0.175208,364.76,189.22,1920,1080
94,1.8912,True,True,1,374.79,152.46,374.79,152.46,0.195202,0.141171,374.79,152.46,1920,1080
95,1.9085,True,True,1,393.33,88.05,393.33,88.05,0.204861,0.081526,393.33,88.05,1920,1080
96,1.9287,True,True,1,393.33,88.05,393.33,88.05,0.204861,0.081526,393.33,88.05,1920,1080
97,1.9518,True,True,1,409.63,30.25,409.63,30.25,0.213350,0.028011,409.63,30.25,1920,1080
98,1.9722,True,True,1,419.39,-8.41,419.39,0.00,0.218434,-0.007789,419.39,-8.41,1920,1080
99,1.9935,True,True,1,428.24,-30.05,428.24,0.00,0.223041,-0.027824,428.24,-30.05,1920,1080
100,2.0052,True,True,1,428.24,-30.05,428.24,0.00,0.223041,-0.027824,428.24,-30.05,1920,1080
101,2.0258,True,True,1,428.24,-30.05,428.24,0.00,0.223041,-0.027824,428.24,-30.05,1920,1080
102,2.0530,True,True,1,431.61,-44.44,431.61,0.00,0.224797,-0.041149,431.61,-44.44,1920,1080
103,2.0690,True,True,1,433.37,-52.94,433.37,0.00,0.225713,-0.049020,433.37,-52.94,1920,1080
104,2.0870,True,True,1,433.37,-52.94,433.37,0.00,0.225713,-0.049020,433.37,-52.94,1920,1080
105,2.1057,True,True,1,434.72,-57.00,434.72,0.00,0.226416,-0.052774,434.72,-57.00,1920,1080
106,2.1262,True,True,1,391.88,-87.18,391.88,0.00,0.204103,-0.080723,391.88,-87.18,1920,1080
107,2.1510,True,True,1,134.41,-274.78,134.41,0.00,0.070006,-0.254427,134.41,-274.78,1920,1080
108,2.1986,True,True,1,134.41,-274.78,134.41,0.00,0.070006,-0.254427,134.41,-274.78,1920,1080
109,2.2353,True,True,1,134.41,-274.78,134.41,0.00,0.070006,-0.254427,134.41,-274.78,1920,1080
110,2.2543,True,True,1,134.41,-274.78,134.41,0.00,0.070006,-0.254427,134.41,-274.78,1920,1080
111,2.2737,True,True,1,134.41,-274.78,134.41,0.00,0.070006,-0.254427,134.41,-274.78,1920,1080
112,2.2956,True,True,1,134.41,-274.78,134.41,0.00,0.070006,-0.254427,134.41,-274.78,1920,1080
113,2.3154,True,True,1,134.41,-274.78,134.41,0.00,0.070006,-0.254427,134.41,-274.78,1920,1080
114,2.3281,True,True,1,134.41,-274.78,134.41,0.00,0.070006,-0.254427,134.41,-274.78,1920,1080
115,2.3358,True,True,1,134.41,-274.78,134.41,0.00,0.070006,-0.254427,134.41,-274.78,1920,1080
