Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.019,0.0000,9.3638,0.0000
0.030,0.0000,9.3638,0.0000
0.036,0.0000,9.3638,0.0000
0.044,0.0000,9.3638,0.0000
0.051,0.0000,9.3638,0.0000
0.061,0.0000,9.3638,0.0000
0.071,0.0000,9.3638,0.0000
0.078,0.0000,9.3638,0.0000
0.085,0.0000,9.3638,0.0000
0.093,0.0000,9.3638,0.0000
0.101,0.0000,9.3638,0.0000
0.108,0.0000,9.3638,0.0000
0.115,0.0000,9.3638,0.0000
0.122,0.0000,9.3638,0.0000
0.128,0.0000,9.3638,0.0000
0.135,0.0000,9.3638,0.0000
0.142,0.0000,9.3638,0.0000
0.148,0.0000,9.3638,0.0000
0.154,0.0000,9.3638,0.0000
0.162,0.0000,9.3638,0.0000
0.169,0.0000,9.3638,0.0000
0.176,0.0000,9.3638,0.0000
0.183,0.0000,9.3638,0.0000
0.190,0.0000,9.3638,0.0000
0.197,0.0000,9.3638,0.0000
0.204,0.0000,9.3638,0.0000
0.210,0.0000,9.3638,0.0000
0.219,0.0000,9.3638,0.0000
0.226,0.0000,9.3638,0.0000
0.233,0.0000,9.3638,0.0000
0.240,0.0000,9.3638,0.0000
0.246,0.0000,9.3638,0.0000
0.253,0.0000,9.3638,0.0000
0.261,0.0000,9.3638,0.0000
0.267,0.0000,9.3638,0.0000
0.274,0.0000,9.3638,0.0000
0.281,0.0000,9.3638,0.0000
0.288,0.0000,9.3638,0.0000
0.296,0.0000,9.3638,0.0000
0.302,0.0000,9.3638,0.0000
0.309,0.0000,9.3638,0.0000
0.315,0.0000,9.3638,0.0000
0.322,0.0000,9.3638,0.0000
0.330,0.0000,9.3638,0.0000
0.336,0.0000,9.3638,0.0000
0.343,0.0000,9.3638,0.0000
0.351,0.0000,9.3638,0.0000
0.361,0.0000,9.3638,0.0000
0.368,0.0000,9.3638,0.0000
0.377,0.0000,9.3638,0.0000
0.385,0.0000,9.3638,0.0000
0.395,0.0000,9.3638,0.0000
0.401,0.0000,9.3638,0.0000
0.412,0.0000,9.3638,0.0000
0.421,0.0000,9.3638,0.0000
0.430,0.0000,9.3638,0.0000
0.440,0.0000,9.3638,0.0000
0.448,0.0000,9.3638,0.0000
0.461,0.0000,9.3638,0.0000
0.473,0.0000,9.3638,0.0000
0.495,0.0000,9.3638,0.0000
0.507,0.0000,9.3638,0.0000
0.517,0.0000,9.3638,0.0000
0.531,0.0000,9.3638,0.0000
0.540,0.0000,9.3638,0.0000
0.547,0.0000,9.3638,0.0000
0.556,0.0000,9.3638,0.0000
0.565,0.0000,9.3638,0.0000
0.572,0.0000,9.3638,0.0000
0.581,0.0000,9.3638,0.0000
0.589,0.0000,9.3638,0.0000
0.598,0.0000,9.3638,0.0000
0.606,0.0000,9.3638,0.0000
0.613,0.0000,9.3638,0.0000
0.622,0.0000,9.3638,0.0000
0.630,0.0000,9.3638,0.0000
0.639,0.0000,9.3638,0.0000
0.647,0.0000,9.3638,0.0000
0.655,0.0000,9.3638,0.0000
0.664,0.0000,9.3638,0.0000
0.673,0.0000,9.3638,0.0000
0.682,0.0000,9.3638,0.0000
0.691,0.0000,9.3638,0.0000
0.699,0.0000,9.3638,0.0000
0.707,0.0000,9.3638,0.0000
0.714,0.0000,9.3638,0.0000
0.723,0.0000,9.3638,0.0000
0.730,0.0000,9.3638,0.0000
0.738,0.0000,9.3638,0.0000
0.747,0.0000,9.3638,0.0000
0.753,0.0000,9.3638,0.0000
0.760,0.0000,9.3638,0.0000
0.767,0.0000,9.3638,0.0000
0.774,0.0000,9.3638,0.0000
0.782,0.0000,9.3638,0.0000
0.791,0.0000,9.3638,0.0000
0.799,0.0000,9.3638,0.0000
0.807,0.0000,9.3638,0.0000
0.814,0.0000,9.3638,0.0000
0.822,0.0000,9.3638,0.0000
0.830,0.0000,9.3638,0.0000
0.837,0.0000,9.3638,0.0000
0.845,0.0000,9.3638,0.0000
0.851,0.0000,9.3638,0.0000
0.861,0.0000,9.3638,0.0000
0.868,0.0000,9.3638,0.0000
0.877,0.0000,9.3638,0.0000
0.884,0.0000,9.3638,0.0000
0.893,0.0000,9.3638,0.0000
0.902,0.0000,9.3638,0.0000
0.910,0.0000,9.3638,0.0000
0.918,0.0000,9.3638,0.0000
0.925,0.0000,9.3638,0.0000
0.932,0.0000,9.3638,0.0000
0.940,0.0000,9.3638,0.0000
0.946,0.0000,9.3638,0.0000
0.953,0.0000,9.3638,0.0000
0.962,0.0000,9.3638,0.0000
0.969,0.0000,9.3638,0.0000
0.977,0.0000,9.3638,0.0000
0.985,0.0000,9.3638,0.0000
0.992,0.0000,9.3638,0.0000
0.999,0.0000,9.3638,0.0000
1.007,0.0000,9.3638,0.0000
1.013,0.0000,9.3638,0.0000
1.021,0.0000,9.3638,0.0000
1.030,0.0000,9.3638,0.0000
1.038,0.0000,9.3638,0.0000
1.048,0.0000,9.3638,0.0000
1.055,0.0000,9.3638,0.0000
1.063,0.0000,9.3638,0.0000
1.071,0.0000,9.3638,0.0000
1.080,0.0000,9.3638,0.0000
1.087,0.0000,9.3638,0.0000
1.096,0.0000,9.3638,0.0000
1.106,0.0000,9.3638,0.0000
1.114,0.0000,9.3638,0.0000
1.122,0.0000,9.3638,0.0000
1.129,0.0000,9.3638,0.0000
1.138,0.0000,9.3638,0.0000
1.145,0.0000,9.3638,0.0000
1.152,0.0000,9.3638,0.0000
1.161,0.0000,9.3638,0.0000
1.167,0.0000,9.3638,0.0000
1.175,0.0000,9.3638,0.0000
1.182,0.0000,9.3638,0.0000
1.189,0.0000,9.3638,0.0000
1.197,0.0000,9.3638,0.0000
1.204,0.0000,9.3638,0.0000
1.210,0.0000,9.3638,0.0000
1.219,0.0000,9.3638,0.0000
1.227,0.0000,9.3638,0.0000
1.234,0.0000,9.3638,0.0000
1.242,0.0000,9.3638,0.0000
1.249,0.0000,9.3638,0.0000
1.258,0.0000,9.3638,0.0000
1.266,0.0000,9.3638,0.0000
1.273,0.0000,9.3638,0.0000
1.281,0.0000,9.3638,0.0000
1.290,0.0000,9.3638,0.0000
1.298,0.0000,9.3638,0.0000
1.305,0.0000,9.3638,0.0000
1.313,0.0000,9.3638,0.0000
1.321,0.0000,9.3638,0.0000
1.328,0.0000,9.3638,0.0000
1.334,0.0000,9.3638,0.0000
1.343,0.0000,9.3638,0.0000
1.349,0.0000,9.3638,0.0000
1.358,0.0000,9.3638,0.0000
1.364,0.0000,9.3638,0.0000
1.372,0.0000,9.3638,0.0000
1.381,0.0000,9.3638,0.0000
1.388,0.0000,9.3638,0.0000
1.396,0.0000,9.3638,0.0000
1.402,0.0000,9.3638,0.0000
1.409,0.0000,9.3638,0.0000
1.416,0.0000,9.3638,0.0000
1.423,0.0000,9.3638,0.0000
1.429,0.0000,9.3638,0.0000
1.437,0.0000,9.3638,0.0000
1.445,0.0000,9.3638,0.0000
1.452,0.0000,9.3638,0.0000
1.460,0.0000,9.3638,0.0000
1.467,0.0000,9.3638,0.0000
1.476,0.0000,9.3638,0.0000
1.484,0.0000,9.3638,0.0000
1.491,0.0000,9.3638,0.0000
1.500,0.0000,9.3638,0.0000
1.508,0.0000,9.3638,0.0000
1.516,0.0000,9.3638,0.0000
1.525,0.0000,9.3638,0.0000
1.532,0.0000,9.3638,0.0000
1.540,0.0000,9.3638,0.0000
1.547,0.0000,9.3638,0.0000
1.553,0.0000,9.3638,0.0000
1.562,0.0000,9.3638,0.0000
1.568,0.0000,9.3638,0.0000
1.576,0.0000,9.3638,0.0000
1.582,0.0000,9.3638,0.0000
1.588,0.0000,9.3638,0.0000
1.595,0.0000,9.3638,0.0000
1.601,0.0000,9.3638,0.0000
1.608,0.0000,9.3638,0.0000
1.615,0.0000,9.3638,0.0000
1.622,0.0000,9.3638,0.0000
1.628,0.0000,9.3638,0.0000
1.636,0.0000,9.3638,0.0000
1.643,0.0000,9.3638,0.0000
1.649,0.0000,9.3638,0.0000
1.659,0.0000,9.3638,0.0000
1.664,0.0000,9.3638,0.0000
1.672,0.0000,9.3638,0.0000
1.679,0.0000,9.3638,0.0000
1.687,0.0000,9.3638,0.0000
1.694,0.0000,9.3638,0.0000
1.700,0.0000,9.3638,0.0000
1.707,0.0000,9.3638,0.0000
1.713,0.0000,9.3638,0.0000
1.720,0.0000,9.3638,0.0000
1.727,0.0000,9.3638,0.0000
1.733,0.0000,9.3638,0.0000
1.742,0.0000,9.3638,0.0000
1.751,0.0000,9.3638,0.0000
1.760,0.0000,9.3638,0.0000
1.767,0.0000,9.3638,0.0000
1.775,0.0000,9.3638,0.0000
1.782,0.0000,9.3638,0.0000
1.793,0.0000,9.3638,0.0000
1.801,0.0000,9.3638,0.0000
1.810,0.0000,9.3638,0.0000
1.817,0.0000,9.3638,0.0000
1.826,0.0000,9.3638,0.0000
1.833,0.0000,9.3638,0.0000
1.842,0.0000,9.3638,0.0000
1.848,0.0000,9.3638,0.0000
1.856,0.0000,9.3638,0.0000
1.863,0.0000,9.3638,0.0000
1.870,0.0000,9.3638,0.0000
1.877,0.0000,9.3638,0.0000
1.884,0.0000,9.3638,0.0000
1.892,0.0000,9.3638,0.0000
1.899,0.0000,9.3638,0.0000
1.907,0.0000,9.3638,0.0000
1.914,0.0000,9.3638,0.0000
1.922,0.0000,9.3638,0.0000
1.930,0.0000,9.3638,0.0000
1.938,0.0000,9.3638,0.0000
1.945,0.0000,9.3638,0.0000
1.953,0.0000,9.3638,0.0000
1.961,0.0000,9.3638,0.0000
1.968,0.0000,9.3638,0.0000
1.975,0.0000,9.3638,0.0000
1.983,0.0000,9.3638,0.0000
1.990,0.0000,9.3638,0.0000
1.997,0.0000,9.3638,0.0000
2.003,0.0000,9.3638,0.0000
2.010,0.0000,9.3638,0.0000
2.016,0.0000,9.3638,0.0000
2.022,0.0000,9.3638,0.0000
2.029,0.0000,9.3638,0.0000
2.051,0.0000,9.3638,0.0000
2.067,0.0000,9.3638,0.0000
2.076,0.0000,9.3638,0.0000
2.085,0.0000,9.3638,0.0000
2.094,0.0000,9.3638,0.0000
2.103,0.0000,9.3638,0.0000
2.110,0.0000,9.3638,0.0000
2.118,0.0000,9.3638,0.0000
2.126,0.0000,9.3638,0.0000
2.134,0.0000,9.3638,0.0000
2.143,0.0000,9.3638,0.0000
2.150,0.0000,9.3638,0.0000
2.158,0.0000,9.3638,0.0000
2.166,0.0000,9.3638,0.0000
2.174,0.0000,9.3638,0.0000
2.184,0.0000,9.3638,0.0000
2.192,0.0000,9.3638,0.0000
2.200,0.0000,9.3638,0.0000
2.207,0.0000,9.3638,0.0000
2.215,0.0000,9.3638,0.0000
2.224,0.0000,9.3638,0.0000
2.233,0.0000,9.3638,0.0000
2.240,0.0000,9.3638,0.0000
2.248,0.0000,9.3638,0.0000
2.256,0.0000,9.3638,0.0000
2.263,0.0000,9.3638,0.0000
2.270,0.0000,9.3638,0.0000
2.277,0.0000,9.3638,0.0000
2.283,0.0000,9.3638,0.0000
2.290,0.0000,9.3638,0.0000
2.299,0.0000,9.3638,0.0000
2.307,0.0000,9.3638,0.0000
2.314,0.0000,9.3638,0.0000
2.322,0.0000,9.3638,0.0000
2.329,0.0000,9.3638,0.0000
2.336,0.0000,9.3638,0.0000
2.343,0.0000,9.3638,0.0000
2.350,0.0000,9.3638,0.0000
2.358,0.0000,9.3638,0.0000
2.364,0.0000,9.3638,0.0000
2.371,0.0000,9.3638,0.0000
2.379,0.0000,9.3638,0.0000
2.385,0.0000,9.3638,0.0000
2.393,0.0000,9.3638,0.0000
2.400,0.0000,9.3638,0.0000
2.407,0.0000,9.3638,0.0000
2.414,0.0000,9.3638,0.0000
2.422,0.0000,9.3638,0.0000
2.429,0.0000,9.3638,0.0000
2.437,0.0000,9.3638,0.0000
2.444,0.0000,9.3638,0.0000
2.450,0.0000,9.3638,0.0000
2.458,0.0000,9.3638,0.0000
2.464,0.0000,9.3638,0.0000
2.470,0.0000,9.3638,0.0000
2.477,0.0000,9.3638,0.0000
2.482,0.0000,9.3638,0.0000
2.490,0.0000,9.3638,0.0000
2.498,0.0000,9.3638,0.0000
2.503,0.0000,9.3638,0.0000
2.510,0.0000,9.3638,0.0000
2.517,0.0000,9.3638,0.0000
2.525,0.0000,9.3638,0.0000
2.532,0.0000,9.3638,0.0000
2.538,0.0000,9.3638,0.0000
2.545,0.0000,9.3638,0.0000
2.551,0.0000,9.3638,0.0000
2.559,0.0000,9.3638,0.0000
2.566,0.0000,9.3638,0.0000
2.573,0.0000,9.3638,0.0000
2.579,0.0000,9.3638,0.0000
2.586,0.0000,9.3638,0.0000
2.594,0.0000,9.3638,0.0000
2.600,0.0000,9.3638,0.0000
2.609,0.0000,9.3638,0.0000
2.615,0.0000,9.3638,0.0000
2.623,0.0000,9.3638,0.0000
2.629,0.0000,9.3638,0.0000
2.636,0.0000,9.3638,0.0000
2.643,0.0000,9.3638,0.0000
2.649,0.0000,9.3638,0.0000
2.656,0.0000,9.3638,0.0000
2.663,0.0000,9.3638,0.0000
2.679,0.0000,9.3638,0.0000
2.687,0.0000,9.3638,0.0000
2.694,0.0000,9.3638,0.0000
2.702,0.0000,9.3638,0.0000
2.709,0.0000,9.3638,0.0000
2.717,0.0000,9.3638,0.0000
2.723,0.0000,9.3638,0.0000
2.731,0.0000,9.3638,0.0000
2.738,0.0000,9.3638,0.0000
2.746,0.0000,9.3638,0.0000
2.753,0.0000,9.3638,0.0000
2.761,0.0000,9.3638,0.0000
2.767,0.0000,9.3638,0.0000
