sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0193,True,True,1,949.92,508.93,949.92,508.93,0.494751,0.471230,949.92,508.93,1920,1080
1,0.0304,True,True,1,949.92,508.93,949.92,508.93,0.494751,0.471230,949.92,508.93,1920,1080
2,0.0507,True,True,1,950.18,509.67,950.18,509.67,0.494884,0.471916,950.18,509.67,1920,1080
3,0.0710,True,True,1,952.22,512.16,952.22,512.16,0.495945,0.474218,952.22,512.16,1920,1080
4,0.0932,True,True,1,952.22,512.16,952.22,512.16,0.495945,0.474218,952.22,512.16,1920,1080
5,0.1083,True,True,1,955.12,514.51,955.12,514.51,0.497459,0.476394,955.12,514.51,1920,1080
6,0.1348,True,True,1,958.59,515.49,958.59,515.49,0.499265,0.477304,958.59,515.49,1920,1080
7,0.1545,True,True,1,958.59,515.49,958.59,515.49,0.499265,0.477304,958.59,515.49,1920,1080
8,0.1688,True,True,1,961.07,515.92,961.07,515.92,0.500555,0.477699,961.07,515.92,1920,1080
9,0.1895,True,True,1,963.00,515.78,963.00,515.78,0.501565,0.477576,963.00,515.78,1920,1080
10,0.2098,True,True,1,963.00,515.78,963.00,515.78,0.501565,0.477576,963.00,515.78,1920,1080
11,0.2335,True,True,1,964.31,517.73,964.31,517.73,0.502243,0.479381,964.31,517.73,1920,1080
12,0.2527,True,True,1,965.19,519.58,965.19,519.58,0.502703,0.481090,965.19,519.58,1920,1080
13,0.2738,True,True,1,965.19,519.58,965.19,519.58,0.502703,0.481090,965.19,519.58,1920,1080
14,0.2957,True,True,1,958.60,518.32,958.60,518.32,0.499272,0.479928,958.60,518.32,1920,1080
15,0.3090,True,True,1,958.60,518.32,958.60,518.32,0.499272,0.479928,958.60,518.32,1920,1080
16,0.3295,True,True,1,938.32,510.60,938.32,510.60,0.488707,0.472777,938.32,510.60,1920,1080
17,0.3506,True,True,1,893.67,491.45,893.67,491.45,0.465455,0.455047,893.67,491.45,1920,1080
18,0.3684,True,True,1,893.67,491.45,893.67,491.45,0.465455,0.455047,893.67,491.45,1920,1080
19,0.3950,True,True,1,843.38,475.19,843.38,475.19,0.439261,0.439993,843.38,475.19,1920,1080
20,0.4121,True,True,1,805.31,462.04,805.31,462.04,0.419432,0.427812,805.31,462.04,1920,1080
21,0.4300,True,True,1,805.31,462.04,805.31,462.04,0.419432,0.427812,805.31,462.04,1920,1080
22,0.4606,True,True,1,805.30,480.79,805.30,480.79,0.419425,0.445176,805.30,480.79,1920,1080
23,0.4733,True,True,1,824.46,524.00,824.46,524.00,0.429406,0.485187,824.46,524.00,1920,1080
24,0.4947,True,True,1,849.86,578.56,849.86,578.56,0.442636,0.535708,849.86,578.56,1920,1080
25,0.5166,True,True,1,849.86,578.56,849.86,578.56,0.442636,0.535708,849.86,578.56,1920,1080
26,0.5310,True,True,1,872.34,626.88,872.34,626.88,0.454343,0.580441,872.34,626.88,1920,1080
27,0.5559,True,True,1,886.68,662.32,886.68,662.32,0.461815,0.613257,886.68,662.32,1920,1080
28,0.5724,True,True,1,886.68,662.32,886.68,662.32,0.461815,0.613257,886.68,662.32,1920,1080
