Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.021,0.0000,0.0000,0.0000,-1.0000
0.033,0.0000,0.0000,0.0000,-1.0000
0.040,0.0000,0.0000,0.0000,-1.0000
0.048,0.0000,0.0000,0.0000,-1.0000
0.055,0.0000,0.0000,0.0000,-1.0000
0.062,0.0000,0.0000,0.0000,-1.0000
0.071,0.0000,0.0000,0.0000,-1.0000
0.078,0.0000,0.0000,0.0000,-1.0000
0.085,0.0000,0.0000,0.0000,-1.0000
0.093,0.0000,0.0000,0.0000,-1.0000
0.101,0.0000,0.0000,0.0000,-1.0000
0.112,0.0000,0.0000,0.0000,-1.0000
0.120,0.0000,0.0000,0.0000,-1.0000
0.126,0.0000,0.0000,0.0000,-1.0000
0.133,0.0000,0.0000,0.0000,-1.0000
0.141,0.0000,0.0000,0.0000,-1.0000
0.152,0.0000,0.0000,0.0000,-1.0000
0.160,0.0000,0.0000,0.0000,-1.0000
0.168,0.0000,0.0000,0.0000,-1.0000
0.176,0.0000,0.0000,0.0000,-1.0000
0.183,0.0000,0.0000,0.0000,-1.0000
0.191,0.0000,0.0000,0.0000,-1.0000
0.199,0.0000,0.0000,0.0000,-1.0000
0.207,0.0000,0.0000,0.0000,-1.0000
0.217,0.0000,0.0000,0.0000,-1.0000
0.225,0.0000,0.0000,0.0000,-1.0000
0.233,0.0000,0.0000,0.0000,-1.0000
0.240,0.0000,0.0000,0.0000,-1.0000
0.248,0.0000,0.0000,0.0000,-1.0000
0.257,0.0000,0.0000,0.0000,-1.0000
0.265,0.0000,0.0000,0.0000,-1.0000
0.273,0.0000,0.0000,0.0000,-1.0000
0.284,0.0000,0.0000,0.0000,-1.0000
0.301,0.0000,0.0000,0.0000,-1.0000
0.312,0.0000,0.0000,0.0000,-1.0000
0.319,0.0000,0.0000,0.0000,-1.0000
0.326,0.0000,0.0000,0.0000,-1.0000
0.333,0.0000,0.0000,0.0000,-1.0000
0.339,0.0000,0.0000,0.0000,-1.0000
0.347,0.0000,0.0000,0.0000,-1.0000
0.355,0.0000,0.0000,0.0000,-1.0000
0.361,0.0000,0.0000,0.0000,-1.0000
0.368,0.0000,0.0000,0.0000,-1.0000
0.376,0.0000,0.0000,0.0000,-1.0000
0.382,0.0000,0.0000,0.0000,-1.0000
0.391,0.0000,0.0000,0.0000,-1.0000
0.397,0.0000,0.0000,0.0000,-1.0000
0.405,0.0000,0.0000,0.0000,-1.0000
0.414,0.0000,0.0000,0.0000,-1.0000
0.421,0.0000,0.0000,0.0000,-1.0000
0.429,0.0000,0.0000,0.0000,-1.0000
0.437,0.0000,0.0000,0.0000,-1.0000
0.445,0.0000,0.0000,0.0000,-1.0000
0.454,0.0000,0.0000,0.0000,-1.0000
0.461,0.0000,0.0000,0.0000,-1.0000
0.470,0.0000,0.0000,0.0000,-1.0000
0.478,0.0000,0.0000,0.0000,-1.0000
0.487,0.0000,0.0000,0.0000,-1.0000
0.494,0.0000,0.0000,0.0000,-1.0000
