Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.032,0.0000,0.0000,0.0000,-1.0000
0.046,0.0000,0.0000,0.0000,-1.0000
0.056,0.0000,0.0000,0.0000,-1.0000
0.066,0.0000,0.0000,0.0000,-1.0000
0.078,0.0000,0.0000,0.0000,-1.0000
0.092,0.0000,0.0000,0.0000,-1.0000
0.102,0.0000,0.0000,0.0000,-1.0000
0.112,0.0000,0.0000,0.0000,-1.0000
0.121,0.0000,0.0000,0.0000,-1.0000
0.130,0.0000,0.0000,0.0000,-1.0000
0.140,0.0000,0.0000,0.0000,-1.0000
0.149,0.0000,0.0000,0.0000,-1.0000
0.159,0.0000,0.0000,0.0000,-1.0000
0.166,0.0000,0.0000,0.0000,-1.0000
0.175,0.0000,0.0000,0.0000,-1.0000
0.183,0.0000,0.0000,0.0000,-1.0000
0.193,0.0000,0.0000,0.0000,-1.0000
0.206,0.0000,0.0000,0.0000,-1.0000
0.223,0.0000,0.0000,0.0000,-1.0000
0.233,0.0000,0.0000,0.0000,-1.0000
0.241,0.0000,0.0000,0.0000,-1.0000
0.249,0.0000,0.0000,0.0000,-1.0000
0.258,0.0000,0.0000,0.0000,-1.0000
0.270,0.0000,0.0000,0.0000,-1.0000
0.281,0.0000,0.0000,0.0000,-1.0000
0.296,0.0000,0.0000,0.0000,-1.0000
0.314,0.0000,0.0000,0.0000,-1.0000
0.330,0.0000,0.0000,0.0000,-1.0000
0.341,0.0000,0.0000,0.0000,-1.0000
0.352,0.0000,0.0000,0.0000,-1.0000
0.362,0.0000,0.0000,0.0000,-1.0000
0.371,0.0000,0.0000,0.0000,-1.0000
0.380,0.0000,0.0000,0.0000,-1.0000
0.389,0.0000,0.0000,0.0000,-1.0000
0.400,0.0000,0.0000,0.0000,-1.0000
0.407,0.0000,0.0000,0.0000,-1.0000
0.417,0.0000,0.0000,0.0000,-1.0000
0.426,0.0000,0.0000,0.0000,-1.0000
0.435,0.0000,0.0000,0.0000,-1.0000
0.442,0.0000,0.0000,0.0000,-1.0000
0.450,0.0000,0.0000,0.0000,-1.0000
0.460,0.0000,0.0000,0.0000,-1.0000
0.468,0.0000,0.0000,0.0000,-1.0000
0.482,0.0000,0.0000,0.0000,-1.0000
0.492,0.0000,0.0000,0.0000,-1.0000
0.506,0.0000,0.0000,0.0000,-1.0000
0.516,0.0000,0.0000,0.0000,-1.0000
0.528,0.0000,0.0000,0.0000,-1.0000
0.538,0.0000,0.0000,0.0000,-1.0000
0.554,0.0000,0.0000,0.0000,-1.0000
0.570,0.0000,0.0000,0.0000,-1.0000
0.582,0.0000,0.0000,0.0000,-1.0000
0.594,0.0000,0.0000,0.0000,-1.0000
0.612,0.0000,0.0000,0.0000,-1.0000
0.627,0.0000,0.0000,0.0000,-1.0000
0.638,0.0000,0.0000,0.0000,-1.0000
0.654,0.0000,0.0000,0.0000,-1.0000
0.667,0.0000,0.0000,0.0000,-1.0000
0.675,0.0000,0.0000,0.0000,-1.0000
0.684,0.0000,0.0000,0.0000,-1.0000
0.694,0.0000,0.0000,0.0000,-1.0000
0.703,0.0000,0.0000,0.0000,-1.0000
0.710,0.0000,0.0000,0.0000,-1.0000
0.719,0.0000,0.0000,0.0000,-1.0000
0.728,0.0000,0.0000,0.0000,-1.0000
0.736,0.0000,0.0000,0.0000,-1.0000
0.744,0.0000,0.0000,0.0000,-1.0000
0.754,0.0000,0.0000,0.0000,-1.0000
0.761,0.0000,0.0000,0.0000,-1.0000
0.770,0.0000,0.0000,0.0000,-1.0000
0.780,0.0000,0.0000,0.0000,-1.0000
0.788,0.0000,0.0000,0.0000,-1.0000
0.796,0.0000,0.0000,0.0000,-1.0000
0.807,0.0000,0.0000,0.0000,-1.0000
0.817,0.0000,0.0000,0.0000,-1.0000
0.826,0.0000,0.0000,0.0000,-1.0000
0.838,0.0000,0.0000,0.0000,-1.0000
0.851,0.0000,0.0000,0.0000,-1.0000
0.861,0.0000,0.0000,0.0000,-1.0000
0.871,0.0000,0.0000,0.0000,-1.0000
0.888,0.0000,0.0000,0.0000,-1.0000
0.900,0.0000,0.0000,0.0000,-1.0000
0.908,0.0000,0.0000,0.0000,-1.0000
0.918,0.0000,0.0000,0.0000,-1.0000
0.930,0.0000,0.0000,0.0000,-1.0000
0.939,0.0000,0.0000,0.0000,-1.0000
0.949,0.0000,0.0000,0.0000,-1.0000
