Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.049,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.055,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.063,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.071,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.077,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.084,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.091,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.099,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.135,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.153,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.161,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.167,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.174,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.181,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.223,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.230,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.238,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.245,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.253,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.260,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.277,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.297,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.314,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.321,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.329,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.335,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.341,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.349,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.356,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.364,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.372,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.379,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.386,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.393,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.399,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.414,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.421,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.427,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.434,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.441,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.455,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.461,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.468,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.474,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.482,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.491,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.508,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.516,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.523,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
