sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0221,True,True,1,727.25,271.34,727.25,271.34,0.378778,0.251237,727.25,271.34,1920,1080
1,0.0342,True,True,1,727.25,271.34,727.25,271.34,0.378778,0.251237,727.25,271.34,1920,1080
2,0.0555,True,True,1,719.14,270.72,719.14,270.72,0.374554,0.250671,719.14,270.72,1920,1080
3,0.0708,True,True,1,719.14,270.72,719.14,270.72,0.374554,0.250671,719.14,270.72,1920,1080
4,0.0909,True,True,1,713.95,270.93,713.95,270.93,0.371847,0.250864,713.95,270.93,1920,1080
5,0.1116,True,True,1,713.95,270.93,713.95,270.93,0.371847,0.250864,713.95,270.93,1920,1080
6,0.1348,True,True,1,710.87,270.76,710.87,270.76,0.370246,0.250702,710.87,270.76,1920,1080
7,0.1532,True,True,1,708.07,269.09,708.07,269.09,0.368787,0.249153,708.07,269.09,1920,1080
8,0.1737,True,True,1,708.07,269.09,708.07,269.09,0.368787,0.249153,708.07,269.09,1920,1080
9,0.1969,True,True,1,706.19,268.32,706.19,268.32,0.367809,0.248448,706.19,268.32,1920,1080
10,0.2167,True,True,1,704.51,267.74,704.51,267.74,0.366932,0.247911,704.51,267.74,1920,1080
11,0.2378,True,True,1,702.88,267.16,702.88,267.16,0.366084,0.247371,702.88,267.16,1920,1080
12,0.2528,True,True,1,702.88,267.16,702.88,267.16,0.366084,0.247371,702.88,267.16,1920,1080
13,0.2767,True,True,1,705.39,268.31,705.39,268.31,0.367388,0.248436,705.39,268.31,1920,1080
14,0.2973,True,True,1,722.59,280.32,722.59,280.32,0.376346,0.259552,722.59,280.32,1920,1080
15,0.3136,True,True,1,722.59,280.32,722.59,280.32,0.376346,0.259552,722.59,280.32,1920,1080
16,0.3347,True,True,1,768.69,310.59,768.69,310.59,0.400361,0.287579,768.69,310.59,1920,1080
17,0.3563,True,True,1,768.69,310.59,768.69,310.59,0.400361,0.287579,768.69,310.59,1920,1080
18,0.3716,True,True,1,812.87,341.17,812.87,341.17,0.423369,0.315901,812.87,341.17,1920,1080
19,0.3930,True,True,1,847.20,365.19,847.20,365.19,0.441250,0.338134,847.20,365.19,1920,1080
20,0.4138,True,True,1,847.20,365.19,847.20,365.19,0.441250,0.338134,847.20,365.19,1920,1080
21,0.4344,True,True,1,870.72,381.26,870.72,381.26,0.453499,0.353019,870.72,381.26,1920,1080
22,0.4547,True,True,1,884.06,391.37,884.06,391.37,0.460450,0.362384,884.06,391.37,1920,1080
23,0.4742,True,True,1,884.06,391.37,884.06,391.37,0.460450,0.362384,884.06,391.37,1920,1080
24,0.4913,True,True,1,882.30,362.88,882.30,362.88,0.459530,0.335998,882.30,362.88,1920,1080
25,0.5158,True,True,1,877.23,329.82,877.23,329.82,0.456888,0.305385,877.23,329.82,1920,1080
26,0.5320,True,True,1,877.23,329.82,877.23,329.82,0.456888,0.305385,877.23,329.82,1920,1080
27,0.5541,True,True,1,869.24,286.37,869.24,286.37,0.452729,0.265161,869.24,286.37,1920,1080
28,0.5766,True,True,1,862.73,245.11,862.73,245.11,0.449337,0.226949,862.73,245.11,1920,1080
29,0.5915,True,True,1,862.73,245.11,862.73,245.11,0.449337,0.226949,862.73,245.11,1920,1080
30,0.6161,True,True,1,857.37,212.61,857.37,212.61,0.446549,0.196862,857.37,212.61,1920,1080
31,0.6310,True,True,1,854.83,190.85,854.83,190.85,0.445226,0.176717,854.83,190.85,1920,1080
32,0.6537,True,True,1,854.83,190.85,854.83,190.85,0.445226,0.176717,854.83,190.85,1920,1080
33,0.6778,True,True,1,853.43,177.33,853.43,177.33,0.444497,0.164190,853.43,177.33,1920,1080
34,0.6958,True,True,1,800.22,161.89,800.22,161.89,0.416779,0.149897,800.22,161.89,1920,1080
35,0.7148,True,True,1,800.22,161.89,800.22,161.89,0.416779,0.149897,800.22,161.89,1920,1080
36,0.7370,True,True,1,728.81,155.24,728.81,155.24,0.379587,0.143743,728.81,155.24,1920,1080
37,0.7565,True,True,1,672.09,152.66,672.09,152.66,0.350046,0.141350,672.09,152.66,1920,1080
38,0.7777,True,True,1,672.09,152.66,672.09,152.66,0.350046,0.141350,672.09,152.66,1920,1080
39,0.7992,True,True,1,635.18,150.59,635.18,150.59,0.330824,0.139432,635.18,150.59,1920,1080
40,0.8109,True,True,1,608.29,145.66,608.29,145.66,0.316817,0.134867,608.29,145.66,1920,1080
41,0.8311,True,True,1,608.29,145.66,608.29,145.66,0.316817,0.134867,608.29,145.66,1920,1080
42,0.8513,True,True,1,589.54,143.97,589.54,143.97,0.307053,0.133306,589.54,143.97,1920,1080
43,0.8714,True,True,1,574.80,142.77,574.80,142.77,0.299375,0.132190,574.80,142.77,1920,1080
44,0.8960,True,True,1,574.80,142.77,574.80,142.77,0.299375,0.132190,574.80,142.77,1920,1080
45,0.9121,True,True,1,565.06,142.49,565.06,142.49,0.294304,0.131932,565.06,142.49,1920,1080
46,0.9341,True,True,1,556.97,141.30,556.97,141.30,0.290089,0.130838,556.97,141.30,1920,1080
