sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0000,True,True,1,1040.54,213.93,1040.54,213.93,0.541948,0.198080,1040.54,213.93,1920,1080
1,0.0275,True,True,1,1040.54,213.93,1040.54,213.93,0.541948,0.198080,1040.54,213.93,1920,1080
2,0.0419,True,True,1,1045.70,207.96,1045.70,207.96,0.544636,0.192556,1045.70,207.96,1920,1080
3,0.0657,True,True,1,1045.70,207.96,1045.70,207.96,0.544636,0.192556,1045.70,207.96,1920,1080
4,0.0841,True,True,1,1047.41,204.79,1047.41,204.79,0.545525,0.189622,1047.41,204.79,1920,1080
5,0.1023,True,True,1,1048.68,205.33,1048.68,205.33,0.546190,0.190120,1048.68,205.33,1920,1080
6,0.1282,True,True,1,1048.68,205.33,1048.68,205.33,0.546190,0.190120,1048.68,205.33,1920,1080
7,0.1461,True,True,1,1049.30,206.56,1049.30,206.56,0.546508,0.191255,1049.30,206.56,1920,1080
8,0.1646,True,True,1,1050.14,205.78,1050.14,205.78,0.546946,0.190540,1050.14,205.78,1920,1080
9,0.1831,True,True,1,1050.14,205.78,1050.14,205.78,0.546946,0.190540,1050.14,205.78,1920,1080
10,0.2020,True,True,1,1051.66,205.99,1051.66,205.99,0.547742,0.190733,1051.66,205.99,1920,1080
11,0.2217,True,True,1,1052.66,205.49,1052.66,205.49,0.548258,0.190267,1052.66,205.49,1920,1080
12,0.2402,True,True,1,1052.66,205.49,1052.66,205.49,0.548258,0.190267,1052.66,205.49,1920,1080
13,0.2666,True,True,1,1052.26,206.09,1052.26,206.09,0.548049,0.190828,1052.26,206.09,1920,1080
14,0.2848,True,True,1,1051.66,205.67,1051.66,205.67,0.547741,0.190432,1051.66,205.67,1920,1080
15,0.3034,True,True,1,1051.66,205.67,1051.66,205.67,0.547741,0.190432,1051.66,205.67,1920,1080
16,0.3210,True,True,1,1051.78,206.11,1051.78,206.11,0.547804,0.190842,1051.78,206.11,1920,1080
17,0.3469,True,True,1,1051.29,207.19,1051.29,207.19,0.547548,0.191840,1051.29,207.19,1920,1080
18,0.3650,True,True,1,1051.29,207.19,1051.29,207.19,0.547548,0.191840,1051.29,207.19,1920,1080
19,0.3809,True,True,1,1035.06,223.04,1035.06,223.04,0.539094,0.206515,1035.06,223.04,1920,1080
20,0.4041,True,True,1,959.59,276.09,959.59,276.09,0.499788,0.255639,959.59,276.09,1920,1080
21,0.4284,True,True,1,959.59,276.09,959.59,276.09,0.499788,0.255639,959.59,276.09,1920,1080
22,0.4452,True,True,1,860.16,379.70,860.16,379.70,0.448002,0.351570,860.16,379.70,1920,1080
23,0.4638,True,True,1,811.00,442.21,811.00,442.21,0.422396,0.409450,811.00,442.21,1920,1080
24,0.4858,True,True,1,811.00,442.21,811.00,442.21,0.422396,0.409450,811.00,442.21,1920,1080
25,0.5119,True,True,1,834.50,507.08,834.50,507.08,0.434638,0.469517,834.50,507.08,1920,1080
26,0.5216,True,True,1,867.01,571.38,867.01,571.38,0.451568,0.529052,867.01,571.38,1920,1080
27,0.5447,True,True,1,867.01,571.38,867.01,571.38,0.451568,0.529052,867.01,571.38,1920,1080
28,0.5688,True,True,1,875.90,604.90,875.90,604.90,0.456196,0.560091,875.90,604.90,1920,1080
29,0.5812,True,True,1,875.90,604.90,875.90,604.90,0.456196,0.560091,875.90,604.90,1920,1080
30,0.6001,True,True,1,880.05,625.95,880.05,625.95,0.458357,0.579582,880.05,625.95,1920,1080
31,0.6279,True,True,1,881.35,644.35,881.35,644.35,0.459034,0.596619,881.35,644.35,1920,1080
32,0.6449,True,True,1,882.37,652.43,882.37,652.43,0.459569,0.604099,882.37,652.43,1920,1080
33,0.6621,True,True,1,882.37,652.43,882.37,652.43,0.459569,0.604099,882.37,652.43,1920,1080
34,0.6898,True,True,1,883.11,657.87,883.11,657.87,0.459951,0.609143,883.11,657.87,1920,1080
35,0.7065,True,True,1,859.16,645.78,859.16,645.78,0.447477,0.597940,859.16,645.78,1920,1080
36,0.7224,True,True,1,859.16,645.78,859.16,645.78,0.447477,0.597940,859.16,645.78,1920,1080
37,0.7517,True,True,1,822.51,618.80,822.51,618.80,0.428392,0.572963,822.51,618.80,1920,1080
38,0.7614,True,True,1,822.51,618.80,822.51,618.80,0.428392,0.572963,822.51,618.80,1920,1080
39,0.7854,True,True,1,786.40,588.04,786.40,588.04,0.409583,0.544482,786.40,588.04,1920,1080
40,0.8000,True,True,1,752.10,555.53,752.10,555.53,0.391718,0.514382,752.10,555.53,1920,1080
41,0.8233,True,True,1,724.06,525.18,724.06,525.18,0.377113,0.486280,724.06,525.18,1920,1080
42,0.8462,True,True,1,724.06,525.18,724.06,525.18,0.377113,0.486280,724.06,525.18,1920,1080
43,0.8679,True,True,1,702.16,496.11,702.16,496.11,0.365711,0.459362,702.16,496.11,1920,1080
44,0.8817,True,True,1,702.16,496.11,702.16,496.11,0.365711,0.459362,702.16,496.11,1920,1080
45,0.9103,True,True,1,687.26,471.49,687.26,471.49,0.357946,0.436569,687.26,471.49,1920,1080
46,0.9286,True,True,1,680.65,421.59,680.65,421.59,0.354504,0.390360,680.65,421.59,1920,1080
47,0.9482,True,True,1,692.17,332.87,692.17,332.87,0.360506,0.308209,692.17,332.87,1920,1080
48,0.9667,True,True,1,692.17,332.87,692.17,332.87,0.360506,0.308209,692.17,332.87,1920,1080
49,0.9857,True,True,1,700.64,264.57,700.64,264.57,0.364916,0.244969,700.64,264.57,1920,1080
50,1.0048,True,True,1,710.39,225.95,710.39,225.95,0.369995,0.209217,710.39,225.95,1920,1080
51,1.0247,True,True,1,710.39,225.95,710.39,225.95,0.369995,0.209217,710.39,225.95,1920,1080
52,1.0501,True,True,1,716.73,203.26,716.73,203.26,0.373298,0.188201,716.73,203.26,1920,1080
53,1.0622,True,True,1,716.73,203.26,716.73,203.26,0.373298,0.188201,716.73,203.26,1920,1080
54,1.0887,True,True,1,715.17,183.79,715.17,183.79,0.372482,0.170180,715.17,183.79,1920,1080
55,1.1017,True,True,1,717.41,166.22,717.41,166.22,0.373653,0.153908,717.41,166.22,1920,1080
56,1.1300,True,True,1,709.96,156.51,709.96,156.51,0.369773,0.144916,709.96,156.51,1920,1080
57,1.1404,True,True,1,709.96,156.51,709.96,156.51,0.369773,0.144916,709.96,156.51,1920,1080
58,1.1714,True,True,1,700.46,147.98,700.46,147.98,0.364821,0.137023,700.46,147.98,1920,1080
59,1.1863,True,True,1,696.94,145.40,696.94,145.40,0.362988,0.134634,696.94,145.40,1920,1080
60,1.2028,True,True,1,696.94,145.40,696.94,145.40,0.362988,0.134634,696.94,145.40,1920,1080
61,1.2252,True,True,1,692.55,140.91,692.55,140.91,0.360704,0.130475,692.55,140.91,1920,1080
62,1.2506,True,True,1,694.55,122.20,694.55,122.20,0.361745,0.113144,694.55,122.20,1920,1080
63,1.2617,True,True,1,694.55,122.20,694.55,122.20,0.361745,0.113144,694.55,122.20,1920,1080
64,1.2864,True,True,1,698.27,101.63,698.27,101.63,0.363681,0.094105,698.27,101.63,1920,1080
65,1.3021,True,True,1,698.27,101.63,698.27,101.63,0.363681,0.094105,698.27,101.63,1920,1080
66,1.3227,True,True,1,700.54,85.58,700.54,85.58,0.364863,0.079245,700.54,85.58,1920,1080
67,1.3436,True,True,1,704.99,71.56,704.99,71.56,0.367180,0.066262,704.99,71.56,1920,1080
68,1.3647,True,True,1,704.99,71.56,704.99,71.56,0.367180,0.066262,704.99,71.56,1920,1080
69,1.3879,True,True,1,704.59,65.10,704.59,65.10,0.366972,0.060277,704.59,65.10,1920,1080
70,1.4138,True,True,1,708.14,58.98,708.14,58.98,0.368821,0.054614,708.14,58.98,1920,1080
71,1.4228,True,True,1,708.14,58.98,708.14,58.98,0.368821,0.054614,708.14,58.98,1920,1080
72,1.4484,True,True,1,686.22,56.09,686.22,56.09,0.357407,0.051939,686.22,56.09,1920,1080
73,1.4597,True,True,1,663.36,55.30,663.36,55.30,0.345500,0.051203,663.36,55.30,1920,1080
74,1.4802,True,True,1,663.36,55.30,663.36,55.30,0.345500,0.051203,663.36,55.30,1920,1080
75,1.5003,True,True,1,641.33,52.66,641.33,52.66,0.334024,0.048764,641.33,52.66,1920,1080
