Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.024,0.0000,9.3638,0.0000
0.037,0.0000,9.3638,0.0000
0.045,0.0000,9.3638,0.0000
0.052,0.0000,9.3638,0.0000
0.061,0.0000,9.3638,0.0000
0.069,0.0000,9.3638,0.0000
0.080,0.0000,9.3638,0.0000
0.088,0.0000,9.3638,0.0000
0.097,0.0000,9.3638,0.0000
0.104,0.0000,9.3638,0.0000
0.111,0.0000,9.3638,0.0000
0.120,0.0000,9.3638,0.0000
0.127,0.0000,9.3638,0.0000
0.136,0.0000,9.3638,0.0000
0.144,0.0000,9.3638,0.0000
0.151,0.0000,9.3638,0.0000
0.160,0.0000,9.3638,0.0000
0.168,0.0000,9.3638,0.0000
0.176,0.0000,9.3638,0.0000
0.184,0.0000,9.3638,0.0000
0.191,0.0000,9.3638,0.0000
0.199,0.0000,9.3638,0.0000
0.205,0.0000,9.3638,0.0000
0.214,0.0000,9.3638,0.0000
0.222,0.0000,9.3638,0.0000
0.230,0.0000,9.3638,0.0000
0.238,0.0000,9.3638,0.0000
0.247,0.0000,9.3638,0.0000
0.255,0.0000,9.3638,0.0000
0.263,0.0000,9.3638,0.0000
0.270,0.0000,9.3638,0.0000
0.280,0.0000,9.3638,0.0000
0.288,0.0000,9.3638,0.0000
0.296,0.0000,9.3638,0.0000
0.304,0.0000,9.3638,0.0000
0.311,0.0000,9.3638,0.0000
0.321,0.0000,9.3638,0.0000
0.328,0.0000,9.3638,0.0000
0.338,0.0000,9.3638,0.0000
0.345,0.0000,9.3638,0.0000
0.354,0.0000,9.3638,0.0000
0.363,0.0000,9.3638,0.0000
0.371,0.0000,9.3638,0.0000
0.380,0.0000,9.3638,0.0000
0.388,0.0000,9.3638,0.0000
0.398,0.0000,9.3638,0.0000
0.405,0.0000,9.3638,0.0000
0.413,0.0000,9.3638,0.0000
0.422,0.0000,9.3638,0.0000
0.431,0.0000,9.3638,0.0000
0.438,0.0000,9.3638,0.0000
0.447,0.0000,9.3638,0.0000
0.456,0.0000,9.3638,0.0000
0.464,0.0000,9.3638,0.0000
0.471,0.0000,9.3638,0.0000
0.481,0.0000,9.3638,0.0000
0.488,0.0000,9.3638,0.0000
0.498,0.0000,9.3638,0.0000
0.504,0.0000,9.3638,0.0000
0.513,0.0000,9.3638,0.0000
0.521,0.0000,9.3638,0.0000
0.529,0.0000,9.3638,0.0000
0.537,0.0000,9.3638,0.0000
0.546,0.0000,9.3638,0.0000
0.555,0.0000,9.3638,0.0000
0.563,0.0000,9.3638,0.0000
0.571,0.0000,9.3638,0.0000
0.581,0.0000,9.3638,0.0000
0.588,0.0000,9.3638,0.0000
0.597,0.0000,9.3638,0.0000
0.604,0.0000,9.3638,0.0000
0.612,0.0000,9.3638,0.0000
0.621,0.0000,9.3638,0.0000
0.628,0.0000,9.3638,0.0000
0.636,0.0000,9.3638,0.0000
0.643,0.0000,9.3638,0.0000
0.650,0.0000,9.3638,0.0000
0.658,0.0000,9.3638,0.0000
0.666,0.0000,9.3638,0.0000
0.674,0.0000,9.3638,0.0000
0.681,0.0000,9.3638,0.0000
0.688,0.0000,9.3638,0.0000
0.696,0.0000,9.3638,0.0000
0.703,0.0000,9.3638,0.0000
0.710,0.0000,9.3638,0.0000
0.718,0.0000,9.3638,0.0000
0.723,0.0000,9.3638,0.0000
0.731,0.0000,9.3638,0.0000
0.740,0.0000,9.3638,0.0000
0.748,0.0000,9.3638,0.0000
0.755,0.0000,9.3638,0.0000
0.763,0.0000,9.3638,0.0000
0.770,0.0000,9.3638,0.0000
0.778,0.0000,9.3638,0.0000
0.786,0.0000,9.3638,0.0000
0.794,0.0000,9.3638,0.0000
0.801,0.0000,9.3638,0.0000
0.807,0.0000,9.3638,0.0000
0.816,0.0000,9.3638,0.0000
0.822,0.0000,9.3638,0.0000
0.829,0.0000,9.3638,0.0000
0.837,0.0000,9.3638,0.0000
0.845,0.0000,9.3638,0.0000
0.852,0.0000,9.3638,0.0000
0.859,0.0000,9.3638,0.0000
0.866,0.0000,9.3638,0.0000
0.874,0.0000,9.3638,0.0000
0.883,0.0000,9.3638,0.0000
0.889,0.0000,9.3638,0.0000
0.898,0.0000,9.3638,0.0000
0.904,0.0000,9.3638,0.0000
0.911,0.0000,9.3638,0.0000
0.918,0.0000,9.3638,0.0000
0.926,0.0000,9.3638,0.0000
0.934,0.0000,9.3638,0.0000
0.941,0.0000,9.3638,0.0000
0.948,0.0000,9.3638,0.0000
0.955,0.0000,9.3638,0.0000
0.963,0.0000,9.3638,0.0000
0.970,0.0000,9.3638,0.0000
0.978,0.0000,9.3638,0.0000
0.985,0.0000,9.3638,0.0000
0.993,0.0000,9.3638,0.0000
1.001,0.0000,9.3638,0.0000
1.008,0.0000,9.3638,0.0000
1.016,0.0000,9.3638,0.0000
1.023,0.0000,9.3638,0.0000
1.030,0.0000,9.3638,0.0000
1.038,0.0000,9.3638,0.0000
1.044,0.0000,9.3638,0.0000
1.051,0.0000,9.3638,0.0000
1.059,0.0000,9.3638,0.0000
1.067,0.0000,9.3638,0.0000
1.074,0.0000,9.3638,0.0000
1.081,0.0000,9.3638,0.0000
1.088,0.0000,9.3638,0.0000
1.096,0.0000,9.3638,0.0000
1.102,0.0000,9.3638,0.0000
1.109,0.0000,9.3638,0.0000
1.117,0.0000,9.3638,0.0000
1.124,0.0000,9.3638,0.0000
1.130,0.0000,9.3638,0.0000
1.138,0.0000,9.3638,0.0000
1.146,0.0000,9.3638,0.0000
1.153,0.0000,9.3638,0.0000
1.160,0.0000,9.3638,0.0000
1.167,0.0000,9.3638,0.0000
1.175,0.0000,9.3638,0.0000
1.183,0.0000,9.3638,0.0000
1.189,0.0000,9.3638,0.0000
1.197,0.0000,9.3638,0.0000
1.204,0.0000,9.3638,0.0000
1.211,0.0000,9.3638,0.0000
1.220,0.0000,9.3638,0.0000
1.226,0.0000,9.3638,0.0000
1.233,0.0000,9.3638,0.0000
1.240,0.0000,9.3638,0.0000
1.248,0.0000,9.3638,0.0000
1.254,0.0000,9.3638,0.0000
1.261,0.0000,9.3638,0.0000
1.269,0.0000,9.3638,0.0000
1.277,0.0000,9.3638,0.0000
1.284,0.0000,9.3638,0.0000
1.291,0.0000,9.3638,0.0000
1.299,0.0000,9.3638,0.0000
1.305,0.0000,9.3638,0.0000
1.313,0.0000,9.3638,0.0000
1.321,0.0000,9.3638,0.0000
1.328,0.0000,9.3638,0.0000
1.336,0.0000,9.3638,0.0000
1.343,0.0000,9.3638,0.0000
1.350,0.0000,9.3638,0.0000
1.357,0.0000,9.3638,0.0000
1.364,0.0000,9.3638,0.0000
1.370,0.0000,9.3638,0.0000
1.379,0.0000,9.3638,0.0000
1.386,0.0000,9.3638,0.0000
1.394,0.0000,9.3638,0.0000
1.400,0.0000,9.3638,0.0000
1.407,0.0000,9.3638,0.0000
1.416,0.0000,9.3638,0.0000
1.424,0.0000,9.3638,0.0000
1.431,0.0000,9.3638,0.0000
1.439,0.0000,9.3638,0.0000
1.446,0.0000,9.3638,0.0000
1.455,0.0000,9.3638,0.0000
1.462,0.0000,9.3638,0.0000
1.469,0.0000,9.3638,0.0000
1.476,0.0000,9.3638,0.0000
1.484,0.0000,9.3638,0.0000
1.491,0.0000,9.3638,0.0000
1.500,0.0000,9.3638,0.0000
1.507,0.0000,9.3638,0.0000
1.518,0.0000,9.3638,0.0000
1.524,0.0000,9.3638,0.0000
1.533,0.0000,9.3638,0.0000
1.540,0.0000,9.3638,0.0000
1.550,0.0000,9.3638,0.0000
1.557,0.0000,9.3638,0.0000
1.565,0.0000,9.3638,0.0000
1.572,0.0000,9.3638,0.0000
1.580,0.0000,9.3638,0.0000
1.588,0.0000,9.3638,0.0000
1.598,0.0000,9.3638,0.0000
1.605,0.0000,9.3638,0.0000
1.614,0.0000,9.3638,0.0000
1.623,0.0000,9.3638,0.0000
1.630,0.0000,9.3638,0.0000
1.638,0.0000,9.3638,0.0000
1.647,0.0000,9.3638,0.0000
1.655,0.0000,9.3638,0.0000
1.662,0.0000,9.3638,0.0000
1.670,0.0000,9.3638,0.0000
1.678,0.0000,9.3638,0.0000
1.687,0.0000,9.3638,0.0000
1.695,0.0000,9.3638,0.0000
1.702,0.0000,9.3638,0.0000
1.710,0.0000,9.3638,0.0000
1.718,0.0000,9.3638,0.0000
1.725,0.0000,9.3638,0.0000
1.733,0.0000,9.3638,0.0000
1.741,0.0000,9.3638,0.0000
1.749,0.0000,9.3638,0.0000
1.758,0.0000,9.3638,0.0000
1.765,0.0000,9.3638,0.0000
1.772,0.0000,9.3638,0.0000
1.780,0.0000,9.3638,0.0000
1.788,0.0000,9.3638,0.0000
1.797,0.0000,9.3638,0.0000
1.804,0.0000,9.3638,0.0000
1.812,0.0000,9.3638,0.0000
1.821,0.0000,9.3638,0.0000
1.829,0.0000,9.3638,0.0000
1.838,0.0000,9.3638,0.0000
1.845,0.0000,9.3638,0.0000
1.854,0.0000,9.3638,0.0000
1.863,0.0000,9.3638,0.0000
1.870,0.0000,9.3638,0.0000
1.879,0.0000,9.3638,0.0000
1.888,0.0000,9.3638,0.0000
1.896,0.0000,9.3638,0.0000
1.903,0.0000,9.3638,0.0000
1.910,0.0000,9.3638,0.0000
1.918,0.0000,9.3638,0.0000
1.924,0.0000,9.3638,0.0000
1.932,0.0000,9.3638,0.0000
1.940,0.0000,9.3638,0.0000
1.947,0.0000,9.3638,0.0000
1.955,0.0000,9.3638,0.0000
1.963,0.0000,9.3638,0.0000
1.969,0.0000,9.3638,0.0000
1.976,0.0000,9.3638,0.0000
