Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.020,0.0000,0.0000,0.0000,-1.0000
0.033,0.0000,0.0000,0.0000,-1.0000
0.040,0.0000,0.0000,0.0000,-1.0000
0.049,0.0000,0.0000,0.0000,-1.0000
0.057,0.0000,0.0000,0.0000,-1.0000
0.066,0.0000,0.0000,0.0000,-1.0000
0.074,0.0000,0.0000,0.0000,-1.0000
0.082,0.0000,0.0000,0.0000,-1.0000
0.090,0.0000,0.0000,0.0000,-1.0000
0.098,0.0000,0.0000,0.0000,-1.0000
0.106,0.0000,0.0000,0.0000,-1.0000
0.116,0.0000,0.0000,0.0000,-1.0000
0.124,0.0000,0.0000,0.0000,-1.0000
0.132,0.0000,0.0000,0.0000,-1.0000
0.140,0.0000,0.0000,0.0000,-1.0000
0.148,0.0000,0.0000,0.0000,-1.0000
0.159,0.0000,0.0000,0.0000,-1.0000
0.169,0.0000,0.0000,0.0000,-1.0000
0.182,0.0000,0.0000,0.0000,-1.0000
0.190,0.0000,0.0000,0.0000,-1.0000
0.200,0.0000,0.0000,0.0000,-1.0000
0.210,0.0000,0.0000,0.0000,-1.0000
0.219,0.0000,0.0000,0.0000,-1.0000
0.226,0.0000,0.0000,0.0000,-1.0000
0.235,0.0000,0.0000,0.0000,-1.0000
0.242,0.0000,0.0000,0.0000,-1.0000
0.251,0.0000,0.0000,0.0000,-1.0000
0.259,0.0000,0.0000,0.0000,-1.0000
0.267,0.0000,0.0000,0.0000,-1.0000
0.276,0.0000,0.0000,0.0000,-1.0000
0.283,0.0000,0.0000,0.0000,-1.0000
0.291,0.0000,0.0000,0.0000,-1.0000
0.300,0.0000,0.0000,0.0000,-1.0000
0.317,0.0000,0.0000,0.0000,-1.0000
0.328,0.0000,0.0000,0.0000,-1.0000
0.336,0.0000,0.0000,0.0000,-1.0000
0.346,0.0000,0.0000,0.0000,-1.0000
0.355,0.0000,0.0000,0.0000,-1.0000
0.364,0.0000,0.0000,0.0000,-1.0000
0.372,0.0000,0.0000,0.0000,-1.0000
0.382,0.0000,0.0000,0.0000,-1.0000
0.390,0.0000,0.0000,0.0000,-1.0000
0.400,0.0000,0.0000,0.0000,-1.0000
0.407,0.0000,0.0000,0.0000,-1.0000
0.419,0.0000,0.0000,0.0000,-1.0000
0.427,0.0000,0.0000,0.0000,-1.0000
0.437,0.0000,0.0000,0.0000,-1.0000
0.445,0.0000,0.0000,0.0000,-1.0000
0.455,0.0000,0.0000,0.0000,-1.0000
0.466,0.0000,0.0000,0.0000,-1.0000
0.475,0.0000,0.0000,0.0000,-1.0000
0.485,0.0000,0.0000,0.0000,-1.0000
0.495,0.0000,0.0000,0.0000,-1.0000
0.508,0.0000,0.0000,0.0000,-1.0000
0.518,0.0000,0.0000,0.0000,-1.0000
0.527,0.0000,0.0000,0.0000,-1.0000
0.538,0.0000,0.0000,0.0000,-1.0000
0.549,0.0000,0.0000,0.0000,-1.0000
0.559,0.0000,0.0000,0.0000,-1.0000
0.571,0.0000,0.0000,0.0000,-1.0000
0.582,0.0000,0.0000,0.0000,-1.0000
0.591,0.0000,0.0000,0.0000,-1.0000
0.603,0.0000,0.0000,0.0000,-1.0000
0.611,0.0000,0.0000,0.0000,-1.0000
0.621,0.0000,0.0000,0.0000,-1.0000
0.629,0.0000,0.0000,0.0000,-1.0000
0.639,0.0000,0.0000,0.0000,-1.0000
0.650,0.0000,0.0000,0.0000,-1.0000
0.657,0.0000,0.0000,0.0000,-1.0000
0.667,0.0000,0.0000,0.0000,-1.0000
0.676,0.0000,0.0000,0.0000,-1.0000
0.686,0.0000,0.0000,0.0000,-1.0000
0.695,0.0000,0.0000,0.0000,-1.0000
0.704,0.0000,0.0000,0.0000,-1.0000
0.710,0.0000,0.0000,0.0000,-1.0000
0.719,0.0000,0.0000,0.0000,-1.0000
0.725,0.0000,0.0000,0.0000,-1.0000
0.732,0.0000,0.0000,0.0000,-1.0000
0.739,0.0000,0.0000,0.0000,-1.0000
0.747,0.0000,0.0000,0.0000,-1.0000
0.755,0.0000,0.0000,0.0000,-1.0000
0.762,0.0000,0.0000,0.0000,-1.0000
0.768,0.0000,0.0000,0.0000,-1.0000
0.777,0.0000,0.0000,0.0000,-1.0000
0.788,0.0000,0.0000,0.0000,-1.0000
0.798,0.0000,0.0000,0.0000,-1.0000
0.806,0.0000,0.0000,0.0000,-1.0000
0.816,0.0000,0.0000,0.0000,-1.0000
0.825,0.0000,0.0000,0.0000,-1.0000
0.833,0.0000,0.0000,0.0000,-1.0000
0.843,0.0000,0.0000,0.0000,-1.0000
0.853,0.0000,0.0000,0.0000,-1.0000
0.861,0.0000,0.0000,0.0000,-1.0000
0.871,0.0000,0.0000,0.0000,-1.0000
0.879,0.0000,0.0000,0.0000,-1.0000
0.887,0.0000,0.0000,0.0000,-1.0000
0.896,0.0000,0.0000,0.0000,-1.0000
0.905,0.0000,0.0000,0.0000,-1.0000
0.916,0.0000,0.0000,0.0000,-1.0000
0.923,0.0000,0.0000,0.0000,-1.0000
0.933,0.0000,0.0000,0.0000,-1.0000
0.943,0.0000,0.0000,0.0000,-1.0000
0.953,0.0000,0.0000,0.0000,-1.0000
0.961,0.0000,0.0000,0.0000,-1.0000
0.968,0.0000,0.0000,0.0000,-1.0000
0.977,0.0000,0.0000,0.0000,-1.0000
0.985,0.0000,0.0000,0.0000,-1.0000
0.994,0.0000,0.0000,0.0000,-1.0000
1.003,0.0000,0.0000,0.0000,-1.0000
1.014,0.0000,0.0000,0.0000,-1.0000
1.022,0.0000,0.0000,0.0000,-1.0000
1.030,0.0000,0.0000,0.0000,-1.0000
1.038,0.0000,0.0000,0.0000,-1.0000
1.045,0.0000,0.0000,0.0000,-1.0000
1.053,0.0000,0.0000,0.0000,-1.0000
1.060,0.0000,0.0000,0.0000,-1.0000
1.068,0.0000,0.0000,0.0000,-1.0000
1.076,0.0000,0.0000,0.0000,-1.0000
1.084,0.0000,0.0000,0.0000,-1.0000
1.093,0.0000,0.0000,0.0000,-1.0000
1.104,0.0000,0.0000,0.0000,-1.0000
1.113,0.0000,0.0000,0.0000,-1.0000
1.124,0.0000,0.0000,0.0000,-1.0000
1.133,0.0000,0.0000,0.0000,-1.0000
1.143,0.0000,0.0000,0.0000,-1.0000
1.153,0.0000,0.0000,0.0000,-1.0000
1.163,0.0000,0.0000,0.0000,-1.0000
1.171,0.0000,0.0000,0.0000,-1.0000
1.182,0.0000,0.0000,0.0000,-1.0000
1.189,0.0000,0.0000,0.0000,-1.0000
1.199,0.0000,0.0000,0.0000,-1.0000
1.208,0.0000,0.0000,0.0000,-1.0000
1.219,0.0000,0.0000,0.0000,-1.0000
1.228,0.0000,0.0000,0.0000,-1.0000
1.238,0.0000,0.0000,0.0000,-1.0000
1.246,0.0000,0.0000,0.0000,-1.0000
1.255,0.0000,0.0000,0.0000,-1.0000
1.264,0.0000,0.0000,0.0000,-1.0000
1.273,0.0000,0.0000,0.0000,-1.0000
1.281,0.0000,0.0000,0.0000,-1.0000
1.291,0.0000,0.0000,0.0000,-1.0000
1.299,0.0000,0.0000,0.0000,-1.0000
1.306,0.0000,0.0000,0.0000,-1.0000
1.315,0.0000,0.0000,0.0000,-1.0000
1.323,0.0000,0.0000,0.0000,-1.0000
1.330,0.0000,0.0000,0.0000,-1.0000
1.338,0.0000,0.0000,0.0000,-1.0000
1.344,0.0000,0.0000,0.0000,-1.0000
1.355,0.0000,0.0000,0.0000,-1.0000
1.364,0.0000,0.0000,0.0000,-1.0000
1.371,0.0000,0.0000,0.0000,-1.0000
1.380,0.0000,0.0000,0.0000,-1.0000
1.387,0.0000,0.0000,0.0000,-1.0000
1.396,0.0000,0.0000,0.0000,-1.0000
1.403,0.0000,0.0000,0.0000,-1.0000
1.412,0.0000,0.0000,0.0000,-1.0000
1.424,0.0000,0.0000,0.0000,-1.0000
1.432,0.0000,0.0000,0.0000,-1.0000
1.442,0.0000,0.0000,0.0000,-1.0000
1.451,0.0000,0.0000,0.0000,-1.0000
1.461,0.0000,0.0000,0.0000,-1.0000
1.470,0.0000,0.0000,0.0000,-1.0000
1.480,0.0000,0.0000,0.0000,-1.0000
1.489,0.0000,0.0000,0.0000,-1.0000
1.499,0.0000,0.0000,0.0000,-1.0000
1.507,0.0000,0.0000,0.0000,-1.0000
1.517,0.0000,0.0000,0.0000,-1.0000
1.525,0.0000,0.0000,0.0000,-1.0000
1.536,0.0000,0.0000,0.0000,-1.0000
1.550,0.0000,0.0000,0.0000,-1.0000
1.559,0.0000,0.0000,0.0000,-1.0000
1.568,0.0000,0.0000,0.0000,-1.0000
1.578,0.0000,0.0000,0.0000,-1.0000
1.587,0.0000,0.0000,0.0000,-1.0000
1.597,0.0000,0.0000,0.0000,-1.0000
1.605,0.0000,0.0000,0.0000,-1.0000
1.616,0.0000,0.0000,0.0000,-1.0000
1.624,0.0000,0.0000,0.0000,-1.0000
1.634,0.0000,0.0000,0.0000,-1.0000
1.644,0.0000,0.0000,0.0000,-1.0000
1.653,0.0000,0.0000,0.0000,-1.0000
1.664,0.0000,0.0000,0.0000,-1.0000
1.672,0.0000,0.0000,0.0000,-1.0000
1.681,0.0000,0.0000,0.0000,-1.0000
1.692,0.0000,0.0000,0.0000,-1.0000
1.702,0.0000,0.0000,0.0000,-1.0000
1.711,0.0000,0.0000,0.0000,-1.0000
1.721,0.0000,0.0000,0.0000,-1.0000
1.732,0.0000,0.0000,0.0000,-1.0000
1.741,0.0000,0.0000,0.0000,-1.0000
1.751,0.0000,0.0000,0.0000,-1.0000
1.764,0.0000,0.0000,0.0000,-1.0000
1.773,0.0000,0.0000,0.0000,-1.0000
1.784,0.0000,0.0000,0.0000,-1.0000
1.793,0.0000,0.0000,0.0000,-1.0000
1.802,0.0000,0.0000,0.0000,-1.0000
1.811,0.0000,0.0000,0.0000,-1.0000
1.821,0.0000,0.0000,0.0000,-1.0000
1.829,0.0000,0.0000,0.0000,-1.0000
1.839,0.0000,0.0000,0.0000,-1.0000
1.847,0.0000,0.0000,0.0000,-1.0000
1.856,0.0000,0.0000,0.0000,-1.0000
1.863,0.0000,0.0000,0.0000,-1.0000
1.870,0.0000,0.0000,0.0000,-1.0000
1.878,0.0000,0.0000,0.0000,-1.0000
1.886,0.0000,0.0000,0.0000,-1.0000
1.892,0.0000,0.0000,0.0000,-1.0000
1.900,0.0000,0.0000,0.0000,-1.0000
1.907,0.0000,0.0000,0.0000,-1.0000
1.918,0.0000,0.0000,0.0000,-1.0000
1.925,0.0000,0.0000,0.0000,-1.0000
1.935,0.0000,0.0000,0.0000,-1.0000
1.943,0.0000,0.0000,0.0000,-1.0000
