Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.028,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.076,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.084,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.092,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.109,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.136,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.186,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.220,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.239,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.274,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.306,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.317,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.328,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.341,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.351,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.367,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.375,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.385,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.396,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.408,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.419,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.426,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.434,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.442,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.459,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.468,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.476,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.484,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.492,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.502,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.509,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.518,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.526,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.535,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.546,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.557,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.567,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.577,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.588,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.599,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.610,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.626,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.635,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.643,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.661,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.668,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.677,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.686,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.695,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.705,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.712,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
