Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.030,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.044,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.071,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.078,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.085,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.115,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.135,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.169,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.226,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.233,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.246,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.253,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.261,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.274,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.281,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.288,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
