Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.021,0.0000,0.0000,0.0000,-1.0000
0.035,0.0000,0.0000,0.0000,-1.0000
0.043,0.0000,0.0000,0.0000,-1.0000
0.053,0.0000,0.0000,0.0000,-1.0000
0.061,0.0000,0.0000,0.0000,-1.0000
0.072,0.0000,0.0000,0.0000,-1.0000
0.080,0.0000,0.0000,0.0000,-1.0000
0.090,0.0000,0.0000,0.0000,-1.0000
0.100,0.0000,0.0000,0.0000,-1.0000
0.111,0.0000,0.0000,0.0000,-1.0000
0.123,0.0000,0.0000,0.0000,-1.0000
0.133,0.0000,0.0000,0.0000,-1.0000
0.142,0.0000,0.0000,0.0000,-1.0000
0.151,0.0000,0.0000,0.0000,-1.0000
0.159,0.0000,0.0000,0.0000,-1.0000
0.169,0.0000,0.0000,0.0000,-1.0000
0.176,0.0000,0.0000,0.0000,-1.0000
0.184,0.0000,0.0000,0.0000,-1.0000
0.192,0.0000,0.0000,0.0000,-1.0000
0.201,0.0000,0.0000,0.0000,-1.0000
0.209,0.0000,0.0000,0.0000,-1.0000
0.217,0.0000,0.0000,0.0000,-1.0000
0.224,0.0000,0.0000,0.0000,-1.0000
0.234,0.0000,0.0000,0.0000,-1.0000
0.241,0.0000,0.0000,0.0000,-1.0000
0.251,0.0000,0.0000,0.0000,-1.0000
0.258,0.0000,0.0000,0.0000,-1.0000
0.268,0.0000,0.0000,0.0000,-1.0000
0.280,0.0000,0.0000,0.0000,-1.0000
0.290,0.0000,0.0000,0.0000,-1.0000
0.299,0.0000,0.0000,0.0000,-1.0000
0.311,0.0000,0.0000,0.0000,-1.0000
0.320,0.0000,0.0000,0.0000,-1.0000
0.330,0.0000,0.0000,0.0000,-1.0000
0.341,0.0000,0.0000,0.0000,-1.0000
0.356,0.0000,0.0000,0.0000,-1.0000
0.367,0.0000,0.0000,0.0000,-1.0000
0.378,0.0000,0.0000,0.0000,-1.0000
0.385,0.0000,0.0000,0.0000,-1.0000
0.392,0.0000,0.0000,0.0000,-1.0000
0.401,0.0000,0.0000,0.0000,-1.0000
0.409,0.0000,0.0000,0.0000,-1.0000
0.417,0.0000,0.0000,0.0000,-1.0000
0.423,0.0000,0.0000,0.0000,-1.0000
0.433,0.0000,0.0000,0.0000,-1.0000
0.441,0.0000,0.0000,0.0000,-1.0000
0.449,0.0000,0.0000,0.0000,-1.0000
0.457,0.0000,0.0000,0.0000,-1.0000
0.467,0.0000,0.0000,0.0000,-1.0000
0.475,0.0000,0.0000,0.0000,-1.0000
0.483,0.0000,0.0000,0.0000,-1.0000
0.490,0.0000,0.0000,0.0000,-1.0000
0.500,0.0000,0.0000,0.0000,-1.0000
0.509,0.0000,0.0000,0.0000,-1.0000
0.517,0.0000,0.0000,0.0000,-1.0000
0.526,0.0000,0.0000,0.0000,-1.0000
0.537,0.0000,0.0000,0.0000,-1.0000
0.548,0.0000,0.0000,0.0000,-1.0000
0.559,0.0000,0.0000,0.0000,-1.0000
