Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.035,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.043,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.053,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.072,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.080,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.169,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.184,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.224,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.234,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
