sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0212,True,True,1,969.12,447.65,969.12,447.65,0.504751,0.414490,969.12,447.65,1920,1080
1,0.0349,True,True,1,970.95,449.49,970.95,449.49,0.505702,0.416195,970.95,449.49,1920,1080
2,0.0432,True,True,1,970.95,449.49,970.95,449.49,0.505702,0.416195,970.95,449.49,1920,1080
3,0.0716,True,True,1,972.72,450.56,972.72,450.56,0.506625,0.417189,972.72,450.56,1920,1080
4,0.0903,True,True,1,973.72,450.70,973.72,450.70,0.507148,0.417314,973.72,450.70,1920,1080
5,0.1105,True,True,1,973.72,450.70,973.72,450.70,0.507148,0.417314,973.72,450.70,1920,1080
6,0.1232,True,True,1,974.79,450.30,974.79,450.30,0.507704,0.416945,974.79,450.30,1920,1080
7,0.1506,True,True,1,975.09,450.32,975.09,450.32,0.507861,0.416962,975.09,450.32,1920,1080
8,0.1686,True,True,1,975.09,450.32,975.09,450.32,0.507861,0.416962,975.09,450.32,1920,1080
9,0.1844,True,True,1,975.97,450.27,975.97,450.27,0.508318,0.416918,975.97,450.27,1920,1080
10,0.2089,True,True,1,975.97,450.27,975.97,450.27,0.508318,0.416918,975.97,450.27,1920,1080
11,0.2241,True,True,1,976.33,450.13,976.33,450.13,0.508504,0.416788,976.33,450.13,1920,1080
12,0.2507,True,True,1,976.58,450.28,976.58,450.28,0.508633,0.416928,976.58,450.28,1920,1080
13,0.2681,True,True,1,976.58,450.28,976.58,450.28,0.508633,0.416928,976.58,450.28,1920,1080
14,0.2896,True,True,1,976.93,450.35,976.93,450.35,0.508816,0.416987,976.93,450.35,1920,1080
15,0.3106,True,True,1,965.42,439.89,965.42,439.89,0.502825,0.407307,965.42,439.89,1920,1080
16,0.3300,True,True,1,905.68,390.88,905.68,390.88,0.471708,0.361922,905.68,390.88,1920,1080
17,0.3560,True,True,1,905.68,390.88,905.68,390.88,0.471708,0.361922,905.68,390.88,1920,1080
18,0.3668,True,True,1,832.37,330.27,832.37,330.27,0.433527,0.305808,832.37,330.27,1920,1080
19,0.3853,True,True,1,832.37,330.27,832.37,330.27,0.433527,0.305808,832.37,330.27,1920,1080
20,0.4089,True,True,1,778.91,285.23,778.91,285.23,0.405683,0.264101,778.91,285.23,1920,1080
21,0.4233,True,True,1,746.59,257.43,746.59,257.43,0.388847,0.238363,746.59,257.43,1920,1080
22,0.4494,True,True,1,746.59,257.43,746.59,257.43,0.388847,0.238363,746.59,257.43,1920,1080
23,0.4673,True,True,1,728.46,240.62,728.46,240.62,0.379408,0.222792,728.46,240.62,1920,1080
24,0.4834,True,True,1,717.58,229.67,717.58,229.67,0.373742,0.212653,717.58,229.67,1920,1080
