Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.024,0.0000,9.3638,0.0000
0.036,0.0000,9.3638,0.0000
0.043,0.0000,9.3638,0.0000
0.054,0.0000,9.3638,0.0000
0.062,0.0000,9.3638,0.0000
0.070,0.0000,9.3638,0.0000
0.081,0.0000,9.3638,0.0000
0.093,0.0000,9.3638,0.0000
0.101,0.0000,9.3638,0.0000
0.108,0.0000,9.3638,0.0000
0.118,0.0000,9.3638,0.0000
0.126,0.0000,9.3638,0.0000
0.133,0.0000,9.3638,0.0000
0.142,0.0000,9.3638,0.0000
0.149,0.0000,9.3638,0.0000
0.158,0.0000,9.3638,0.0000
0.164,0.0000,9.3638,0.0000
0.174,0.0000,9.3638,0.0000
0.182,0.0000,9.3638,0.0000
0.191,0.0000,9.3638,0.0000
0.199,0.0000,9.3638,0.0000
0.207,0.0000,9.3638,0.0000
0.214,0.0000,9.3638,0.0000
0.223,0.0000,9.3638,0.0000
0.229,0.0000,9.3638,0.0000
0.238,0.0000,9.3638,0.0000
0.245,0.0000,9.3638,0.0000
0.253,0.0000,9.3638,0.0000
0.260,0.0000,9.3638,0.0000
0.268,0.0000,9.3638,0.0000
0.277,0.0000,9.3638,0.0000
0.284,0.0000,9.3638,0.0000
0.293,0.0000,9.3638,0.0000
0.300,0.0000,9.3638,0.0000
0.307,0.0000,9.3638,0.0000
0.316,0.0000,9.3638,0.0000
0.324,0.0000,9.3638,0.0000
0.332,0.0000,9.3638,0.0000
0.340,0.0000,9.3638,0.0000
0.348,0.0000,9.3638,0.0000
0.358,0.0000,9.3638,0.0000
0.365,0.0000,9.3638,0.0000
0.375,0.0000,9.3638,0.0000
0.382,0.0000,9.3638,0.0000
0.390,0.0000,9.3638,0.0000
0.398,0.0000,9.3638,0.0000
0.405,0.0000,9.3638,0.0000
0.412,0.0000,9.3638,0.0000
0.419,0.0000,9.3638,0.0000
0.427,0.0000,9.3638,0.0000
0.434,0.0000,9.3638,0.0000
0.441,0.0000,9.3638,0.0000
0.448,0.0000,9.3638,0.0000
0.457,0.0000,9.3638,0.0000
0.463,0.0000,9.3638,0.0000
0.470,0.0000,9.3638,0.0000
0.478,0.0000,9.3638,0.0000
0.485,0.0000,9.3638,0.0000
0.495,0.0000,9.3638,0.0000
0.503,0.0000,9.3638,0.0000
0.515,0.0000,9.3638,0.0000
0.524,0.0000,9.3638,0.0000
0.533,0.0000,9.3638,0.0000
0.541,0.0000,9.3638,0.0000
0.550,0.0000,9.3638,0.0000
0.560,0.0000,9.3638,0.0000
0.568,0.0000,9.3638,0.0000
0.579,0.0000,9.3638,0.0000
0.591,0.0000,9.3638,0.0000
0.599,0.0000,9.3638,0.0000
0.611,0.0000,9.3638,0.0000
0.624,0.0000,9.3638,0.0000
0.637,0.0000,9.3638,0.0000
0.646,0.0000,9.3638,0.0000
0.659,0.0000,9.3638,0.0000
0.670,0.0000,9.3638,0.0000
0.688,0.0000,9.3638,0.0000
0.703,0.0000,9.3638,0.0000
0.712,0.0000,9.3638,0.0000
0.721,0.0000,9.3638,0.0000
0.729,0.0000,9.3638,0.0000
0.738,0.0000,9.3638,0.0000
0.745,0.0000,9.3638,0.0000
0.755,0.0000,9.3638,0.0000
0.763,0.0000,9.3638,0.0000
0.770,0.0000,9.3638,0.0000
0.780,0.0000,9.3638,0.0000
0.788,0.0000,9.3638,0.0000
0.798,0.0000,9.3638,0.0000
0.806,0.0000,9.3638,0.0000
0.816,0.0000,9.3638,0.0000
0.825,0.0000,9.3638,0.0000
0.834,0.0000,9.3638,0.0000
0.842,0.0000,9.3638,0.0000
0.850,0.0000,9.3638,0.0000
0.862,0.0000,9.3638,0.0000
0.872,0.0000,9.3638,0.0000
0.888,0.0000,9.3638,0.0000
0.898,0.0000,9.3638,0.0000
0.909,0.0000,9.3638,0.0000
0.922,0.0000,9.3638,0.0000
0.935,0.0000,9.3638,0.0000
0.946,0.0000,9.3638,0.0000
0.958,0.0000,9.3638,0.0000
0.968,0.0000,9.3638,0.0000
0.988,0.0000,9.3638,0.0000
1.000,0.0000,9.3638,0.0000
1.013,0.0000,9.3638,0.0000
1.026,0.0000,9.3638,0.0000
1.036,0.0000,9.3638,0.0000
1.048,0.0000,9.3638,0.0000
1.058,0.0000,9.3638,0.0000
1.068,0.0000,9.3638,0.0000
1.078,0.0000,9.3638,0.0000
1.088,0.0000,9.3638,0.0000
1.099,0.0000,9.3638,0.0000
1.111,0.0000,9.3638,0.0000
1.124,0.0000,9.3638,0.0000
1.138,0.0000,9.3638,0.0000
1.154,0.0000,9.3638,0.0000
1.168,0.0000,9.3638,0.0000
1.178,0.0000,9.3638,0.0000
1.191,0.0000,9.3638,0.0000
1.203,0.0000,9.3638,0.0000
1.216,0.0000,9.3638,0.0000
1.227,0.0000,9.3638,0.0000
1.239,0.0000,9.3638,0.0000
1.249,0.0000,9.3638,0.0000
1.259,0.0000,9.3638,0.0000
1.268,0.0000,9.3638,0.0000
1.278,0.0000,9.3638,0.0000
1.292,0.0000,9.3638,0.0000
1.300,0.0000,9.3638,0.0000
1.313,0.0000,9.3638,0.0000
1.328,0.0000,9.3638,0.0000
1.340,0.0000,9.3638,0.0000
1.349,0.0000,9.3638,0.0000
1.361,0.0000,9.3638,0.0000
1.373,0.0000,9.3638,0.0000
1.388,0.0000,9.3638,0.0000
1.402,0.0000,9.3638,0.0000
1.413,0.0000,9.3638,0.0000
1.426,0.0000,9.3638,0.0000
1.437,0.0000,9.3638,0.0000
1.445,0.0000,9.3638,0.0000
1.456,0.0000,9.3638,0.0000
1.463,0.0000,9.3638,0.0000
1.473,0.0000,9.3638,0.0000
1.479,0.0000,9.3638,0.0000
1.489,0.0000,9.3638,0.0000
1.500,0.0000,9.3638,0.0000
1.507,0.0000,9.3638,0.0000
1.516,0.0000,9.3638,0.0000
1.523,0.0000,9.3638,0.0000
1.530,0.0000,9.3638,0.0000
1.538,0.0000,9.3638,0.0000
1.547,0.0000,9.3638,0.0000
1.555,0.0000,9.3638,0.0000
1.562,0.0000,9.3638,0.0000
1.569,0.0000,9.3638,0.0000
1.578,0.0000,9.3638,0.0000
1.585,0.0000,9.3638,0.0000
1.596,0.0000,9.3638,0.0000
1.605,0.0000,9.3638,0.0000
1.613,0.0000,9.3638,0.0000
1.623,0.0000,9.3638,0.0000
1.630,0.0000,9.3638,0.0000
1.641,0.0000,9.3638,0.0000
1.649,0.0000,9.3638,0.0000
1.659,0.0000,9.3638,0.0000
1.674,0.0000,9.3638,0.0000
1.685,0.0000,9.3638,0.0000
1.696,0.0000,9.3638,0.0000
1.709,0.0000,9.3638,0.0000
1.725,0.0000,9.3638,0.0000
1.735,0.0000,9.3638,0.0000
1.754,0.0000,9.3638,0.0000
1.764,0.0000,9.3638,0.0000
1.774,0.0000,9.3638,0.0000
1.781,0.0000,9.3638,0.0000
1.793,0.0000,9.3638,0.0000
1.807,0.0000,9.3638,0.0000
1.819,0.0000,9.3638,0.0000
1.827,0.0000,9.3638,0.0000
1.834,0.0000,9.3638,0.0000
1.844,0.0000,9.3638,0.0000
1.853,0.0000,9.3638,0.0000
1.861,0.0000,9.3638,0.0000
1.872,0.0000,9.3638,0.0000
1.887,0.0000,9.3638,0.0000
1.897,0.0000,9.3638,0.0000
1.909,0.0000,9.3638,0.0000
1.919,0.0000,9.3638,0.0000
1.930,0.0000,9.3638,0.0000
1.942,0.0000,9.3638,0.0000
1.952,0.0000,9.3638,0.0000
1.967,0.0000,9.3638,0.0000
1.978,0.0000,9.3638,0.0000
1.990,0.0000,9.3638,0.0000
2.001,0.0000,9.3638,0.0000
2.014,0.0000,9.3638,0.0000
2.026,0.0000,9.3638,0.0000
2.037,0.0000,9.3638,0.0000
2.047,0.0000,9.3638,0.0000
2.057,0.0000,9.3638,0.0000
2.065,0.0000,9.3638,0.0000
2.074,0.0000,9.3638,0.0000
2.082,0.0000,9.3638,0.0000
2.091,0.0000,9.3638,0.0000
2.100,0.0000,9.3638,0.0000
2.110,0.0000,9.3638,0.0000
2.117,0.0000,9.3638,0.0000
2.125,0.0000,9.3638,0.0000
2.133,0.0000,9.3638,0.0000
2.141,0.0000,9.3638,0.0000
2.156,0.0000,9.3638,0.0000
2.165,0.0000,9.3638,0.0000
2.175,0.0000,9.3638,0.0000
2.185,0.0000,9.3638,0.0000
2.194,0.0000,9.3638,0.0000
2.203,0.0000,9.3638,0.0000
2.211,0.0000,9.3638,0.0000
2.221,0.0000,9.3638,0.0000
2.230,0.0000,9.3638,0.0000
2.240,0.0000,9.3638,0.0000
2.248,0.0000,9.3638,0.0000
2.258,0.0000,9.3638,0.0000
2.266,0.0000,9.3638,0.0000
2.278,0.0000,9.3638,0.0000
2.289,0.0000,9.3638,0.0000
2.299,0.0000,9.3638,0.0000
2.314,0.0000,9.3638,0.0000
2.327,0.0000,9.3638,0.0000
2.338,0.0000,9.3638,0.0000
2.348,0.0000,9.3638,0.0000
2.361,0.0000,9.3638,0.0000
2.370,0.0000,9.3638,0.0000
2.382,0.0000,9.3638,0.0000
2.393,0.0000,9.3638,0.0000
2.404,0.0000,9.3638,0.0000
2.414,0.0000,9.3638,0.0000
2.426,0.0000,9.3638,0.0000
2.438,0.0000,9.3638,0.0000
2.452,0.0000,9.3638,0.0000
2.461,0.0000,9.3638,0.0000
2.470,0.0000,9.3638,0.0000
2.482,0.0000,9.3638,0.0000
2.490,0.0000,9.3638,0.0000
2.498,0.0000,9.3638,0.0000
2.505,0.0000,9.3638,0.0000
2.514,0.0000,9.3638,0.0000
2.522,0.0000,9.3638,0.0000
