sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0241,True,True,1,890.56,303.22,890.56,303.22,0.463836,0.280762,890.56,303.22,1920,1080
1,0.0362,True,True,1,890.56,303.22,890.56,303.22,0.463836,0.280762,890.56,303.22,1920,1080
2,0.0535,True,True,1,890.56,303.22,890.56,303.22,0.463836,0.280762,890.56,303.22,1920,1080
3,0.0703,True,True,1,890.56,303.22,890.56,303.22,0.463836,0.280762,890.56,303.22,1920,1080
4,0.0929,True,True,1,888.13,301.54,888.13,301.54,0.462568,0.279205,888.13,301.54,1920,1080
5,0.1083,True,True,1,888.13,301.54,888.13,301.54,0.462568,0.279205,888.13,301.54,1920,1080
6,0.1334,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
7,0.1487,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
8,0.1740,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
9,0.1910,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
10,0.2137,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
11,0.2292,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
12,0.2534,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
13,0.2769,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
14,0.2928,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
15,0.3162,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
16,0.3322,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
17,0.3578,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
18,0.3745,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
19,0.3896,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
20,0.4123,True,True,1,889.63,300.11,889.63,300.11,0.463350,0.277881,889.63,300.11,1920,1080
