Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.042,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.075,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.084,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.102,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.165,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.174,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.193,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.257,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.274,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.295,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.303,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.313,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.321,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.338,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.347,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.356,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.365,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.373,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.381,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.389,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.396,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.404,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.412,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.420,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.428,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.437,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.445,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.454,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.473,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.486,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.497,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.512,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.522,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.534,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.545,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.559,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.569,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.581,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.591,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.610,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.618,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.628,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.636,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.645,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.653,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.662,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.670,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.679,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.690,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.697,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.707,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.714,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.722,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.731,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.739,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.752,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.761,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.772,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.785,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.812,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.823,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.835,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.846,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
