Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.028,0.0000,0.0000,0.0000,-1.0000
0.044,0.0000,0.0000,0.0000,-1.0000
0.057,0.0000,0.0000,0.0000,-1.0000
0.065,0.0000,0.0000,0.0000,-1.0000
0.075,0.0000,0.0000,0.0000,-1.0000
0.082,0.0000,0.0000,0.0000,-1.0000
0.092,0.0000,0.0000,0.0000,-1.0000
0.098,0.0000,0.0000,0.0000,-1.0000
0.107,0.0000,0.0000,0.0000,-1.0000
0.115,0.0000,0.0000,0.0000,-1.0000
0.123,0.0000,0.0000,0.0000,-1.0000
0.130,0.0000,0.0000,0.0000,-1.0000
0.139,0.0000,0.0000,0.0000,-1.0000
0.146,0.0000,0.0000,0.0000,-1.0000
0.156,0.0000,0.0000,0.0000,-1.0000
0.165,0.0000,0.0000,0.0000,-1.0000
0.174,0.0000,0.0000,0.0000,-1.0000
0.183,0.0000,0.0000,0.0000,-1.0000
0.191,0.0000,0.0000,0.0000,-1.0000
0.198,0.0000,0.0000,0.0000,-1.0000
0.206,0.0000,0.0000,0.0000,-1.0000
0.215,0.0000,0.0000,0.0000,-1.0000
0.224,0.0000,0.0000,0.0000,-1.0000
0.233,0.0000,0.0000,0.0000,-1.0000
0.241,0.0000,0.0000,0.0000,-1.0000
0.248,0.0000,0.0000,0.0000,-1.0000
0.257,0.0000,0.0000,0.0000,-1.0000
0.265,0.0000,0.0000,0.0000,-1.0000
0.274,0.0000,0.0000,0.0000,-1.0000
0.281,0.0000,0.0000,0.0000,-1.0000
0.291,0.0000,0.0000,0.0000,-1.0000
0.298,0.0000,0.0000,0.0000,-1.0000
0.307,0.0000,0.0000,0.0000,-1.0000
0.314,0.0000,0.0000,0.0000,-1.0000
0.321,0.0000,0.0000,0.0000,-1.0000
0.330,0.0000,0.0000,0.0000,-1.0000
0.338,0.0000,0.0000,0.0000,-1.0000
0.345,0.0000,0.0000,0.0000,-1.0000
0.352,0.0000,0.0000,0.0000,-1.0000
0.361,0.0000,0.0000,0.0000,-1.0000
0.368,0.0000,0.0000,0.0000,-1.0000
0.377,0.0000,0.0000,0.0000,-1.0000
0.385,0.0000,0.0000,0.0000,-1.0000
0.394,0.0000,0.0000,0.0000,-1.0000
0.400,0.0000,0.0000,0.0000,-1.0000
0.408,0.0000,0.0000,0.0000,-1.0000
0.416,0.0000,0.0000,0.0000,-1.0000
0.423,0.0000,0.0000,0.0000,-1.0000
0.430,0.0000,0.0000,0.0000,-1.0000
0.437,0.0000,0.0000,0.0000,-1.0000
0.444,0.0000,0.0000,0.0000,-1.0000
0.453,0.0000,0.0000,0.0000,-1.0000
0.460,0.0000,0.0000,0.0000,-1.0000
0.468,0.0000,0.0000,0.0000,-1.0000
0.476,0.0000,0.0000,0.0000,-1.0000
0.483,0.0000,0.0000,0.0000,-1.0000
0.493,0.0000,0.0000,0.0000,-1.0000
0.500,0.0000,0.0000,0.0000,-1.0000
0.508,0.0000,0.0000,0.0000,-1.0000
0.517,0.0000,0.0000,0.0000,-1.0000
0.526,0.0000,0.0000,0.0000,-1.0000
0.535,0.0000,0.0000,0.0000,-1.0000
