Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.037,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.045,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.080,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.088,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.097,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.120,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.136,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.184,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.191,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.230,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.238,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.247,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.270,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.280,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.288,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.311,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.321,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.328,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.338,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.345,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.354,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.363,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.371,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.380,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.398,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.413,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.431,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.438,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.447,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.456,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.471,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.481,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.488,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.498,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.504,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.513,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.521,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.529,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.537,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.546,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.555,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
