Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.028,0.0000,9.3638,0.0000
0.041,0.0000,9.3638,0.0000
0.050,0.0000,9.3638,0.0000
0.059,0.0000,9.3638,0.0000
0.067,0.0000,9.3638,0.0000
0.076,0.0000,9.3638,0.0000
0.084,0.0000,9.3638,0.0000
0.092,0.0000,9.3638,0.0000
0.101,0.0000,9.3638,0.0000
0.109,0.0000,9.3638,0.0000
0.117,0.0000,9.3638,0.0000
0.125,0.0000,9.3638,0.0000
0.136,0.0000,9.3638,0.0000
0.148,0.0000,9.3638,0.0000
0.159,0.0000,9.3638,0.0000
0.168,0.0000,9.3638,0.0000
0.177,0.0000,9.3638,0.0000
0.186,0.0000,9.3638,0.0000
0.194,0.0000,9.3638,0.0000
0.203,0.0000,9.3638,0.0000
0.209,0.0000,9.3638,0.0000
0.220,0.0000,9.3638,0.0000
0.229,0.0000,9.3638,0.0000
0.239,0.0000,9.3638,0.0000
0.258,0.0000,9.3638,0.0000
0.274,0.0000,9.3638,0.0000
0.287,0.0000,9.3638,0.0000
0.296,0.0000,9.3638,0.0000
0.306,0.0000,9.3638,0.0000
0.317,0.0000,9.3638,0.0000
0.328,0.0000,9.3638,0.0000
0.341,0.0000,9.3638,0.0000
0.351,0.0000,9.3638,0.0000
0.367,0.0000,9.3638,0.0000
0.375,0.0000,9.3638,0.0000
0.385,0.0000,9.3638,0.0000
0.396,0.0000,9.3638,0.0000
0.408,0.0000,9.3638,0.0000
0.419,0.0000,9.3638,0.0000
0.426,0.0000,9.3638,0.0000
0.434,0.0000,9.3638,0.0000
0.442,0.0000,9.3638,0.0000
0.451,0.0000,9.3638,0.0000
0.459,0.0000,9.3638,0.0000
0.468,0.0000,9.3638,0.0000
0.476,0.0000,9.3638,0.0000
0.484,0.0000,9.3638,0.0000
0.492,0.0000,9.3638,0.0000
0.502,0.0000,9.3638,0.0000
0.509,0.0000,9.3638,0.0000
0.518,0.0000,9.3638,0.0000
0.526,0.0000,9.3638,0.0000
0.535,0.0000,9.3638,0.0000
0.546,0.0000,9.3638,0.0000
0.557,0.0000,9.3638,0.0000
0.567,0.0000,9.3638,0.0000
0.577,0.0000,9.3638,0.0000
0.588,0.0000,9.3638,0.0000
0.599,0.0000,9.3638,0.0000
0.610,0.0000,9.3638,0.0000
0.626,0.0000,9.3638,0.0000
0.635,0.0000,9.3638,0.0000
0.643,0.0000,9.3638,0.0000
0.652,0.0000,9.3638,0.0000
0.661,0.0000,9.3638,0.0000
0.668,0.0000,9.3638,0.0000
0.677,0.0000,9.3638,0.0000
0.686,0.0000,9.3638,0.0000
0.695,0.0000,9.3638,0.0000
0.705,0.0000,9.3638,0.0000
0.712,0.0000,9.3638,0.0000
0.722,0.0000,9.3638,0.0000
0.729,0.0000,9.3638,0.0000
0.739,0.0000,9.3638,0.0000
0.748,0.0000,9.3638,0.0000
0.758,0.0000,9.3638,0.0000
0.765,0.0000,9.3638,0.0000
0.773,0.0000,9.3638,0.0000
0.783,0.0000,9.3638,0.0000
0.791,0.0000,9.3638,0.0000
0.801,0.0000,9.3638,0.0000
0.814,0.0000,9.3638,0.0000
0.826,0.0000,9.3638,0.0000
0.835,0.0000,9.3638,0.0000
0.844,0.0000,9.3638,0.0000
0.854,0.0000,9.3638,0.0000
0.864,0.0000,9.3638,0.0000
0.872,0.0000,9.3638,0.0000
0.883,0.0000,9.3638,0.0000
0.891,0.0000,9.3638,0.0000
0.901,0.0000,9.3638,0.0000
0.910,0.0000,9.3638,0.0000
0.920,0.0000,9.3638,0.0000
0.928,0.0000,9.3638,0.0000
0.937,0.0000,9.3638,0.0000
0.946,0.0000,9.3638,0.0000
0.958,0.0000,9.3638,0.0000
0.971,0.0000,9.3638,0.0000
0.982,0.0000,9.3638,0.0000
