sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0277,True,True,1,775.27,364.98,775.27,364.98,0.403787,0.337948,775.27,364.98,1920,1080
1,0.0412,True,True,1,775.27,364.98,775.27,364.98,0.403787,0.337948,775.27,364.98,1920,1080
2,0.0501,True,True,1,775.27,364.98,775.27,364.98,0.403787,0.337948,775.27,364.98,1920,1080
3,0.0669,True,True,1,765.88,358.40,765.88,358.40,0.398896,0.331856,765.88,358.40,1920,1080
4,0.0842,True,True,1,765.88,358.40,765.88,358.40,0.398896,0.331856,765.88,358.40,1920,1080
5,0.1089,True,True,1,759.37,352.76,759.37,352.76,0.395505,0.326630,759.37,352.76,1920,1080
6,0.1251,True,True,1,755.15,348.12,755.15,348.12,0.393306,0.322335,755.15,348.12,1920,1080
7,0.1477,True,True,1,753.22,343.80,753.22,343.80,0.392304,0.318331,753.22,343.80,1920,1080
8,0.1679,True,True,1,753.22,343.80,753.22,343.80,0.392304,0.318331,753.22,343.80,1920,1080
9,0.1862,True,True,1,751.63,340.38,751.63,340.38,0.391472,0.315171,751.63,340.38,1920,1080
10,0.2093,True,True,1,750.33,338.04,750.33,338.04,0.390796,0.312996,750.33,338.04,1920,1080
11,0.2293,True,True,1,750.33,338.04,750.33,338.04,0.390796,0.312996,750.33,338.04,1920,1080
12,0.2582,True,True,1,748.74,335.70,748.74,335.70,0.389966,0.310831,748.74,335.70,1920,1080
13,0.2736,True,True,1,747.82,334.67,747.82,334.67,0.389491,0.309881,747.82,334.67,1920,1080
14,0.2869,True,True,1,747.82,334.67,747.82,334.67,0.389491,0.309881,747.82,334.67,1920,1080
15,0.3060,True,True,1,746.84,334.04,746.84,334.04,0.388982,0.309295,746.84,334.04,1920,1080
16,0.3276,True,True,1,745.98,333.06,745.98,333.06,0.388532,0.308387,745.98,333.06,1920,1080
17,0.3512,True,True,1,745.98,333.06,745.98,333.06,0.388532,0.308387,745.98,333.06,1920,1080
18,0.3670,True,True,1,745.02,332.82,745.02,332.82,0.388032,0.308169,745.02,332.82,1920,1080
19,0.3854,True,True,1,745.02,332.82,745.02,332.82,0.388032,0.308169,745.02,332.82,1920,1080
20,0.4076,True,True,1,743.79,332.84,743.79,332.84,0.387393,0.308186,743.79,332.84,1920,1080
21,0.4259,True,True,1,743.32,333.19,743.32,333.19,0.387146,0.308510,743.32,333.19,1920,1080
22,0.4511,True,True,1,623.01,238.64,623.01,238.64,0.324482,0.220963,623.01,238.64,1920,1080
23,0.4683,True,True,1,623.01,238.64,623.01,238.64,0.324482,0.220963,623.01,238.64,1920,1080
24,0.4841,True,True,1,623.01,238.64,623.01,238.64,0.324482,0.220963,623.01,238.64,1920,1080
25,0.5087,True,True,1,623.01,238.64,623.01,238.64,0.324482,0.220963,623.01,238.64,1920,1080
26,0.5257,True,True,1,623.01,238.64,623.01,238.64,0.324482,0.220963,623.01,238.64,1920,1080
27,0.5459,True,True,1,472.93,207.46,472.93,207.46,0.246315,0.192091,472.93,207.46,1920,1080
28,0.5674,True,True,1,472.93,207.46,472.93,207.46,0.246315,0.192091,472.93,207.46,1920,1080
29,0.5879,True,True,1,591.70,235.21,591.70,235.21,0.308177,0.217789,591.70,235.21,1920,1080
30,0.6104,True,True,1,579.24,227.54,579.24,227.54,0.301690,0.210688,579.24,227.54,1920,1080
31,0.6255,True,True,1,579.24,227.54,579.24,227.54,0.301690,0.210688,579.24,227.54,1920,1080
32,0.6522,True,True,1,570.75,234.09,570.75,234.09,0.297267,0.216749,570.75,234.09,1920,1080
33,0.6684,True,True,1,565.62,239.26,565.62,239.26,0.294592,0.221539,565.62,239.26,1920,1080
34,0.6860,True,True,1,565.62,239.26,565.62,239.26,0.294592,0.221539,565.62,239.26,1920,1080
35,0.7048,True,True,1,559.54,241.88,559.54,241.88,0.291426,0.223964,559.54,241.88,1920,1080
36,0.7294,True,True,1,555.16,243.79,555.16,243.79,0.289145,0.225735,555.16,243.79,1920,1080
37,0.7483,True,True,1,555.16,243.79,555.16,243.79,0.289145,0.225735,555.16,243.79,1920,1080
38,0.7654,True,True,1,551.23,244.28,551.23,244.28,0.287101,0.226184,551.23,244.28,1920,1080
