Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.024,0.0000,9.3638,0.0000
0.036,0.0000,9.3638,0.0000
0.044,0.0000,9.3638,0.0000
0.052,0.0000,9.3638,0.0000
0.059,0.0000,9.3638,0.0000
0.066,0.0000,9.3638,0.0000
0.074,0.0000,9.3638,0.0000
0.080,0.0000,9.3638,0.0000
0.089,0.0000,9.3638,0.0000
0.096,0.0000,9.3638,0.0000
0.104,0.0000,9.3638,0.0000
0.112,0.0000,9.3638,0.0000
0.119,0.0000,9.3638,0.0000
0.130,0.0000,9.3638,0.0000
0.138,0.0000,9.3638,0.0000
0.150,0.0000,9.3638,0.0000
0.157,0.0000,9.3638,0.0000
0.164,0.0000,9.3638,0.0000
0.172,0.0000,9.3638,0.0000
0.180,0.0000,9.3638,0.0000
0.186,0.0000,9.3638,0.0000
0.194,0.0000,9.3638,0.0000
0.200,0.0000,9.3638,0.0000
0.210,0.0000,9.3638,0.0000
0.217,0.0000,9.3638,0.0000
0.226,0.0000,9.3638,0.0000
0.232,0.0000,9.3638,0.0000
0.242,0.0000,9.3638,0.0000
0.249,0.0000,9.3638,0.0000
0.257,0.0000,9.3638,0.0000
0.264,0.0000,9.3638,0.0000
0.272,0.0000,9.3638,0.0000
0.280,0.0000,9.3638,0.0000
0.288,0.0000,9.3638,0.0000
0.295,0.0000,9.3638,0.0000
0.303,0.0000,9.3638,0.0000
0.312,0.0000,9.3638,0.0000
0.320,0.0000,9.3638,0.0000
0.328,0.0000,9.3638,0.0000
0.336,0.0000,9.3638,0.0000
0.344,0.0000,9.3638,0.0000
0.354,0.0000,9.3638,0.0000
0.360,0.0000,9.3638,0.0000
0.369,0.0000,9.3638,0.0000
0.376,0.0000,9.3638,0.0000
0.383,0.0000,9.3638,0.0000
0.391,0.0000,9.3638,0.0000
0.398,0.0000,9.3638,0.0000
0.407,0.0000,9.3638,0.0000
0.414,0.0000,9.3638,0.0000
0.423,0.0000,9.3638,0.0000
0.432,0.0000,9.3638,0.0000
0.442,0.0000,9.3638,0.0000
0.451,0.0000,9.3638,0.0000
0.460,0.0000,9.3638,0.0000
0.467,0.0000,9.3638,0.0000
0.475,0.0000,9.3638,0.0000
0.482,0.0000,9.3638,0.0000
0.489,0.0000,9.3638,0.0000
0.496,0.0000,9.3638,0.0000
0.502,0.0000,9.3638,0.0000
0.510,0.0000,9.3638,0.0000
0.517,0.0000,9.3638,0.0000
0.525,0.0000,9.3638,0.0000
0.531,0.0000,9.3638,0.0000
0.538,0.0000,9.3638,0.0000
0.546,0.0000,9.3638,0.0000
0.553,0.0000,9.3638,0.0000
0.561,0.0000,9.3638,0.0000
0.569,0.0000,9.3638,0.0000
0.578,0.0000,9.3638,0.0000
0.587,0.0000,9.3638,0.0000
0.593,0.0000,9.3638,0.0000
0.599,0.0000,9.3638,0.0000
0.608,0.0000,9.3638,0.0000
0.618,0.0000,9.3638,0.0000
0.626,0.0000,9.3638,0.0000
0.632,0.0000,9.3638,0.0000
0.639,0.0000,9.3638,0.0000
0.648,0.0000,9.3638,0.0000
0.654,0.0000,9.3638,0.0000
0.661,0.0000,9.3638,0.0000
0.669,0.0000,9.3638,0.0000
0.678,0.0000,9.3638,0.0000
0.687,0.0000,9.3638,0.0000
0.695,0.0000,9.3638,0.0000
0.701,0.0000,9.3638,0.0000
0.711,0.0000,9.3638,0.0000
0.718,0.0000,9.3638,0.0000
0.727,0.0000,9.3638,0.0000
0.734,0.0000,9.3638,0.0000
0.742,0.0000,9.3638,0.0000
0.748,0.0000,9.3638,0.0000
0.756,0.0000,9.3638,0.0000
0.762,0.0000,9.3638,0.0000
0.771,0.0000,9.3638,0.0000
0.779,0.0000,9.3638,0.0000
0.787,0.0000,9.3638,0.0000
0.794,0.0000,9.3638,0.0000
0.805,0.0000,9.3638,0.0000
0.816,0.0000,9.3638,0.0000
0.828,0.0000,9.3638,0.0000
0.836,0.0000,9.3638,0.0000
0.842,0.0000,9.3638,0.0000
0.850,0.0000,9.3638,0.0000
0.857,0.0000,9.3638,0.0000
0.865,0.0000,9.3638,0.0000
0.872,0.0000,9.3638,0.0000
0.880,0.0000,9.3638,0.0000
0.888,0.0000,9.3638,0.0000
0.896,0.0000,9.3638,0.0000
0.903,0.0000,9.3638,0.0000
0.912,0.0000,9.3638,0.0000
0.918,0.0000,9.3638,0.0000
0.927,0.0000,9.3638,0.0000
0.933,0.0000,9.3638,0.0000
0.940,0.0000,9.3638,0.0000
0.948,0.0000,9.3638,0.0000
0.957,0.0000,9.3638,0.0000
0.964,0.0000,9.3638,0.0000
0.976,0.0000,9.3638,0.0000
0.985,0.0000,9.3638,0.0000
0.996,0.0000,9.3638,0.0000
1.005,0.0000,9.3638,0.0000
1.017,0.0000,9.3638,0.0000
1.027,0.0000,9.3638,0.0000
1.036,0.0000,9.3638,0.0000
1.045,0.0000,9.3638,0.0000
1.057,0.0000,9.3638,0.0000
1.065,0.0000,9.3638,0.0000
1.075,0.0000,9.3638,0.0000
1.084,0.0000,9.3638,0.0000
1.096,0.0000,9.3638,0.0000
1.107,0.0000,9.3638,0.0000
1.117,0.0000,9.3638,0.0000
1.129,0.0000,9.3638,0.0000
1.138,0.0000,9.3638,0.0000
1.148,0.0000,9.3638,0.0000
1.156,0.0000,9.3638,0.0000
1.165,0.0000,9.3638,0.0000
1.175,0.0000,9.3638,0.0000
1.186,0.0000,9.3638,0.0000
1.196,0.0000,9.3638,0.0000
1.205,0.0000,9.3638,0.0000
1.219,0.0000,9.3638,0.0000
1.230,0.0000,9.3638,0.0000
1.243,0.0000,9.3638,0.0000
1.252,0.0000,9.3638,0.0000
1.261,0.0000,9.3638,0.0000
1.269,0.0000,9.3638,0.0000
1.278,0.0000,9.3638,0.0000
1.287,0.0000,9.3638,0.0000
1.295,0.0000,9.3638,0.0000
1.306,0.0000,9.3638,0.0000
1.314,0.0000,9.3638,0.0000
1.325,0.0000,9.3638,0.0000
1.335,0.0000,9.3638,0.0000
1.346,0.0000,9.3638,0.0000
1.354,0.0000,9.3638,0.0000
1.362,0.0000,9.3638,0.0000
1.379,0.0000,9.3638,0.0000
1.389,0.0000,9.3638,0.0000
1.398,0.0000,9.3638,0.0000
1.414,0.0000,9.3638,0.0000
1.423,0.0000,9.3638,0.0000
1.440,0.0000,9.3638,0.0000
1.450,0.0000,9.3638,0.0000
1.459,0.0000,9.3638,0.0000
1.467,0.0000,9.3638,0.0000
1.475,0.0000,9.3638,0.0000
1.482,0.0000,9.3638,0.0000
1.490,0.0000,9.3638,0.0000
1.497,0.0000,9.3638,0.0000
1.504,0.0000,9.3638,0.0000
1.513,0.0000,9.3638,0.0000
1.520,0.0000,9.3638,0.0000
1.528,0.0000,9.3638,0.0000
1.535,0.0000,9.3638,0.0000
1.543,0.0000,9.3638,0.0000
1.552,0.0000,9.3638,0.0000
1.559,0.0000,9.3638,0.0000
1.567,0.0000,9.3638,0.0000
1.575,0.0000,9.3638,0.0000
1.583,0.0000,9.3638,0.0000
1.591,0.0000,9.3638,0.0000
1.598,0.0000,9.3638,0.0000
1.606,0.0000,9.3638,0.0000
1.614,0.0000,9.3638,0.0000
1.621,0.0000,9.3638,0.0000
1.630,0.0000,9.3638,0.0000
1.637,0.0000,9.3638,0.0000
1.645,0.0000,9.3638,0.0000
1.653,0.0000,9.3638,0.0000
1.661,0.0000,9.3638,0.0000
1.669,0.0000,9.3638,0.0000
1.677,0.0000,9.3638,0.0000
1.684,0.0000,9.3638,0.0000
1.694,0.0000,9.3638,0.0000
1.701,0.0000,9.3638,0.0000
1.711,0.0000,9.3638,0.0000
1.718,0.0000,9.3638,0.0000
1.727,0.0000,9.3638,0.0000
1.734,0.0000,9.3638,0.0000
1.742,0.0000,9.3638,0.0000
1.750,0.0000,9.3638,0.0000
1.759,0.0000,9.3638,0.0000
1.768,0.0000,9.3638,0.0000
1.778,0.0000,9.3638,0.0000
1.786,0.0000,9.3638,0.0000
1.794,0.0000,9.3638,0.0000
1.802,0.0000,9.3638,0.0000
1.811,0.0000,9.3638,0.0000
1.818,0.0000,9.3638,0.0000
1.828,0.0000,9.3638,0.0000
1.834,0.0000,9.3638,0.0000
1.842,0.0000,9.3638,0.0000
1.849,0.0000,9.3638,0.0000
1.858,0.0000,9.3638,0.0000
1.864,0.0000,9.3638,0.0000
1.870,0.0000,9.3638,0.0000
1.878,0.0000,9.3638,0.0000
1.886,0.0000,9.3638,0.0000
1.893,0.0000,9.3638,0.0000
1.899,0.0000,9.3638,0.0000
1.907,0.0000,9.3638,0.0000
1.914,0.0000,9.3638,0.0000
1.921,0.0000,9.3638,0.0000
1.929,0.0000,9.3638,0.0000
1.936,0.0000,9.3638,0.0000
1.945,0.0000,9.3638,0.0000
1.954,0.0000,9.3638,0.0000
1.963,0.0000,9.3638,0.0000
1.972,0.0000,9.3638,0.0000
1.981,0.0000,9.3638,0.0000
1.993,0.0000,9.3638,0.0000
2.000,0.0000,9.3638,0.0000
2.009,0.0000,9.3638,0.0000
2.017,0.0000,9.3638,0.0000
2.025,0.0000,9.3638,0.0000
2.033,0.0000,9.3638,0.0000
2.042,0.0000,9.3638,0.0000
2.050,0.0000,9.3638,0.0000
2.059,0.0000,9.3638,0.0000
2.068,0.0000,9.3638,0.0000
2.080,0.0000,9.3638,0.0000
2.090,0.0000,9.3638,0.0000
2.100,0.0000,9.3638,0.0000
2.113,0.0000,9.3638,0.0000
2.122,0.0000,9.3638,0.0000
2.131,0.0000,9.3638,0.0000
2.138,0.0000,9.3638,0.0000
2.148,0.0000,9.3638,0.0000
