Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.054,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.062,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.072,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.081,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.099,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.156,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.163,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.173,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.189,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.196,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.226,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.235,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.248,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.256,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.264,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.281,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.310,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.325,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.341,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.353,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.366,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.381,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.394,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.408,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.421,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.428,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.438,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.446,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.456,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.463,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.473,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.481,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.490,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.501,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
