Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.039,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.046,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.063,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.072,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.080,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.092,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.102,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.166,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.174,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.182,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.224,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.248,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.256,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.270,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.303,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.314,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.323,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.339,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.347,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.357,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.367,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.376,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.386,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.396,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.408,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.418,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.440,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.450,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.461,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
