sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0209,True,True,1,704.62,338.18,704.62,338.18,0.366988,0.313130,704.62,338.18,1920,1080
1,0.0317,True,True,1,704.62,338.18,704.62,338.18,0.366988,0.313130,704.62,338.18,1920,1080
2,0.0482,True,True,1,703.15,338.38,703.15,338.38,0.366226,0.313314,703.15,338.38,1920,1080
3,0.0714,True,True,1,703.15,338.38,703.15,338.38,0.366226,0.313314,703.15,338.38,1920,1080
4,0.0911,True,True,1,701.66,338.52,701.66,338.52,0.365446,0.313449,701.66,338.52,1920,1080
5,0.1134,True,True,1,700.59,338.39,700.59,338.39,0.364889,0.313323,700.59,338.39,1920,1080
6,0.1283,True,True,1,700.59,338.39,700.59,338.39,0.364889,0.313323,700.59,338.39,1920,1080
7,0.1495,True,True,1,699.70,338.31,699.70,338.31,0.364426,0.313251,699.70,338.31,1920,1080
8,0.1749,True,True,1,698.92,338.23,698.92,338.23,0.364020,0.313173,698.92,338.23,1920,1080
9,0.1880,True,True,1,698.92,338.23,698.92,338.23,0.364020,0.313173,698.92,338.23,1920,1080
10,0.2104,True,True,1,698.24,338.16,698.24,338.16,0.363667,0.313110,698.24,338.16,1920,1080
11,0.2292,True,True,1,697.83,338.10,697.83,338.10,0.363453,0.313059,697.83,338.10,1920,1080
12,0.2510,True,True,1,697.83,338.10,697.83,338.10,0.363453,0.313059,697.83,338.10,1920,1080
13,0.2756,True,True,1,697.29,337.81,697.29,337.81,0.363174,0.312786,697.29,337.81,1920,1080
14,0.2896,True,True,1,696.87,337.37,696.87,337.37,0.362954,0.312379,696.87,337.37,1920,1080
15,0.3116,True,True,1,696.87,337.37,696.87,337.37,0.362954,0.312379,696.87,337.37,1920,1080
16,0.3317,True,True,1,696.45,337.06,696.45,337.06,0.362733,0.312090,696.45,337.06,1920,1080
17,0.3487,True,True,1,696.14,336.82,696.14,336.82,0.362571,0.311874,696.14,336.82,1920,1080
