sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0255,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
1,0.0384,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
2,0.0481,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
3,0.0682,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
4,0.0889,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
5,0.1063,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
6,0.1254,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
7,0.1441,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
8,0.1640,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
9,0.1860,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
10,0.2035,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
11,0.2237,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
12,0.2502,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
13,0.2683,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
14,0.2872,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
15,0.3062,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
16,0.3258,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
17,0.3436,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
18,0.3624,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
19,0.3885,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
20,0.4063,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
21,0.4260,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
22,0.4445,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
23,0.4653,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
24,0.4880,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
25,0.5095,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
26,0.5378,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
27,0.5537,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
28,0.5696,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
29,0.5853,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
30,0.6019,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
31,0.6255,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
32,0.6478,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
33,0.6707,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
34,0.6870,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
35,0.7044,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
36,0.7288,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
37,0.7443,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
38,0.7617,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
39,0.7874,True,True,1,961.02,506.23,961.02,506.23,0.500531,0.468731,961.02,506.23,1920,1080
