Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.044,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.074,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.080,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.089,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.096,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.150,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.157,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.172,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.186,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.226,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.242,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.257,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.264,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.280,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.288,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.295,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.303,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.312,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.328,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.336,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.344,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.354,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.360,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.369,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.376,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.383,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.391,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.398,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.414,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.423,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.442,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.460,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.467,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.475,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.482,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.489,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.496,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.502,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.510,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.517,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.525,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.531,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
