Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.026,0.0000,9.3638,0.0000
0.041,0.0000,9.3638,0.0000
0.054,0.0000,9.3638,0.0000
0.062,0.0000,9.3638,0.0000
0.072,0.0000,9.3638,0.0000
0.081,0.0000,9.3638,0.0000
0.090,0.0000,9.3638,0.0000
0.099,0.0000,9.3638,0.0000
0.108,0.0000,9.3638,0.0000
0.116,0.0000,9.3638,0.0000
0.125,0.0000,9.3638,0.0000
0.132,0.0000,9.3638,0.0000
0.140,0.0000,9.3638,0.0000
0.147,0.0000,9.3638,0.0000
0.156,0.0000,9.3638,0.0000
0.163,0.0000,9.3638,0.0000
0.173,0.0000,9.3638,0.0000
0.180,0.0000,9.3638,0.0000
0.189,0.0000,9.3638,0.0000
0.196,0.0000,9.3638,0.0000
0.205,0.0000,9.3638,0.0000
0.212,0.0000,9.3638,0.0000
0.219,0.0000,9.3638,0.0000
0.226,0.0000,9.3638,0.0000
0.235,0.0000,9.3638,0.0000
0.241,0.0000,9.3638,0.0000
0.248,0.0000,9.3638,0.0000
0.256,0.0000,9.3638,0.0000
0.264,0.0000,9.3638,0.0000
0.272,0.0000,9.3638,0.0000
0.281,0.0000,9.3638,0.0000
0.296,0.0000,9.3638,0.0000
0.310,0.0000,9.3638,0.0000
0.325,0.0000,9.3638,0.0000
0.341,0.0000,9.3638,0.0000
0.353,0.0000,9.3638,0.0000
0.366,0.0000,9.3638,0.0000
0.381,0.0000,9.3638,0.0000
0.394,0.0000,9.3638,0.0000
0.408,0.0000,9.3638,0.0000
0.421,0.0000,9.3638,0.0000
0.428,0.0000,9.3638,0.0000
0.438,0.0000,9.3638,0.0000
0.446,0.0000,9.3638,0.0000
0.456,0.0000,9.3638,0.0000
0.463,0.0000,9.3638,0.0000
0.473,0.0000,9.3638,0.0000
0.481,0.0000,9.3638,0.0000
0.490,0.0000,9.3638,0.0000
0.501,0.0000,9.3638,0.0000
0.510,0.0000,9.3638,0.0000
0.520,0.0000,9.3638,0.0000
0.528,0.0000,9.3638,0.0000
0.538,0.0000,9.3638,0.0000
0.546,0.0000,9.3638,0.0000
0.555,0.0000,9.3638,0.0000
0.563,0.0000,9.3638,0.0000
0.572,0.0000,9.3638,0.0000
0.581,0.0000,9.3638,0.0000
0.590,0.0000,9.3638,0.0000
0.599,0.0000,9.3638,0.0000
0.607,0.0000,9.3638,0.0000
0.617,0.0000,9.3638,0.0000
0.626,0.0000,9.3638,0.0000
0.635,0.0000,9.3638,0.0000
0.643,0.0000,9.3638,0.0000
0.652,0.0000,9.3638,0.0000
0.662,0.0000,9.3638,0.0000
0.677,0.0000,9.3638,0.0000
0.690,0.0000,9.3638,0.0000
0.711,0.0000,9.3638,0.0000
0.725,0.0000,9.3638,0.0000
0.735,0.0000,9.3638,0.0000
0.755,0.0000,9.3638,0.0000
0.764,0.0000,9.3638,0.0000
0.775,0.0000,9.3638,0.0000
0.786,0.0000,9.3638,0.0000
0.816,0.0000,9.3638,0.0000
0.843,0.0000,9.3638,0.0000
0.877,0.0000,9.3638,0.0000
0.893,0.0000,9.3638,0.0000
0.909,0.0000,9.3638,0.0000
0.924,0.0000,9.3638,0.0000
0.934,0.0000,9.3638,0.0000
0.943,0.0000,9.3638,0.0000
0.954,0.0000,9.3638,0.0000
0.963,0.0000,9.3638,0.0000
0.974,0.0000,9.3638,0.0000
0.989,0.0000,9.3638,0.0000
1.000,0.0000,9.3638,0.0000
1.015,0.0000,9.3638,0.0000
1.029,0.0000,9.3638,0.0000
1.039,0.0000,9.3638,0.0000
1.050,0.0000,9.3638,0.0000
1.060,0.0000,9.3638,0.0000
1.067,0.0000,9.3638,0.0000
1.076,0.0000,9.3638,0.0000
1.084,0.0000,9.3638,0.0000
1.094,0.0000,9.3638,0.0000
1.101,0.0000,9.3638,0.0000
1.111,0.0000,9.3638,0.0000
1.121,0.0000,9.3638,0.0000
1.129,0.0000,9.3638,0.0000
1.139,0.0000,9.3638,0.0000
1.146,0.0000,9.3638,0.0000
1.156,0.0000,9.3638,0.0000
1.164,0.0000,9.3638,0.0000
1.177,0.0000,9.3638,0.0000
1.191,0.0000,9.3638,0.0000
1.202,0.0000,9.3638,0.0000
1.213,0.0000,9.3638,0.0000
1.224,0.0000,9.3638,0.0000
1.236,0.0000,9.3638,0.0000
1.250,0.0000,9.3638,0.0000
1.266,0.0000,9.3638,0.0000
1.281,0.0000,9.3638,0.0000
1.295,0.0000,9.3638,0.0000
1.306,0.0000,9.3638,0.0000
1.315,0.0000,9.3638,0.0000
1.324,0.0000,9.3638,0.0000
1.332,0.0000,9.3638,0.0000
1.341,0.0000,9.3638,0.0000
1.349,0.0000,9.3638,0.0000
1.365,0.0000,9.3638,0.0000
1.379,0.0000,9.3638,0.0000
1.393,0.0000,9.3638,0.0000
1.410,0.0000,9.3638,0.0000
1.424,0.0000,9.3638,0.0000
1.433,0.0000,9.3638,0.0000
1.445,0.0000,9.3638,0.0000
1.461,0.0000,9.3638,0.0000
1.473,0.0000,9.3638,0.0000
1.489,0.0000,9.3638,0.0000
1.503,0.0000,9.3638,0.0000
1.517,0.0000,9.3638,0.0000
1.556,0.0000,9.3638,0.0000
1.572,0.0000,9.3638,0.0000
1.581,0.0000,9.3638,0.0000
1.596,0.0000,9.3638,0.0000
1.608,0.0000,9.3638,0.0000
1.618,0.0000,9.3638,0.0000
1.627,0.0000,9.3638,0.0000
1.638,0.0000,9.3638,0.0000
1.648,0.0000,9.3638,0.0000
1.659,0.0000,9.3638,0.0000
1.665,0.0000,9.3638,0.0000
1.677,0.0000,9.3638,0.0000
1.688,0.0000,9.3638,0.0000
1.697,0.0000,9.3638,0.0000
1.708,0.0000,9.3638,0.0000
1.719,0.0000,9.3638,0.0000
1.726,0.0000,9.3638,0.0000
1.736,0.0000,9.3638,0.0000
1.745,0.0000,9.3638,0.0000
1.759,0.0000,9.3638,0.0000
1.770,0.0000,9.3638,0.0000
1.780,0.0000,9.3638,0.0000
1.790,0.0000,9.3638,0.0000
1.798,0.0000,9.3638,0.0000
1.808,0.0000,9.3638,0.0000
1.815,0.0000,9.3638,0.0000
1.823,0.0000,9.3638,0.0000
1.834,0.0000,9.3638,0.0000
1.842,0.0000,9.3638,0.0000
1.851,0.0000,9.3638,0.0000
1.861,0.0000,9.3638,0.0000
1.871,0.0000,9.3638,0.0000
1.879,0.0000,9.3638,0.0000
1.888,0.0000,9.3638,0.0000
1.905,0.0000,9.3638,0.0000
1.916,0.0000,9.3638,0.0000
1.935,0.0000,9.3638,0.0000
1.946,0.0000,9.3638,0.0000
1.960,0.0000,9.3638,0.0000
1.969,0.0000,9.3638,0.0000
1.983,0.0000,9.3638,0.0000
1.992,0.0000,9.3638,0.0000
2.000,0.0000,9.3638,0.0000
2.009,0.0000,9.3638,0.0000
2.019,0.0000,9.3638,0.0000
2.025,0.0000,9.3638,0.0000
2.034,0.0000,9.3638,0.0000
2.043,0.0000,9.3638,0.0000
2.052,0.0000,9.3638,0.0000
2.060,0.0000,9.3638,0.0000
