Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.024,0.0000,0.0000,0.0000,-1.0000
0.037,0.0000,0.0000,0.0000,-1.0000
0.044,0.0000,0.0000,0.0000,-1.0000
0.052,0.0000,0.0000,0.0000,-1.0000
0.059,0.0000,0.0000,0.0000,-1.0000
0.068,0.0000,0.0000,0.0000,-1.0000
0.075,0.0000,0.0000,0.0000,-1.0000
0.084,0.0000,0.0000,0.0000,-1.0000
0.091,0.0000,0.0000,0.0000,-1.0000
0.099,0.0000,0.0000,0.0000,-1.0000
0.108,0.0000,0.0000,0.0000,-1.0000
0.118,0.0000,0.0000,0.0000,-1.0000
0.125,0.0000,0.0000,0.0000,-1.0000
0.133,0.0000,0.0000,0.0000,-1.0000
0.139,0.0000,0.0000,0.0000,-1.0000
0.148,0.0000,0.0000,0.0000,-1.0000
0.155,0.0000,0.0000,0.0000,-1.0000
0.161,0.0000,0.0000,0.0000,-1.0000
0.169,0.0000,0.0000,0.0000,-1.0000
0.176,0.0000,0.0000,0.0000,-1.0000
0.184,0.0000,0.0000,0.0000,-1.0000
0.191,0.0000,0.0000,0.0000,-1.0000
0.198,0.0000,0.0000,0.0000,-1.0000
0.208,0.0000,0.0000,0.0000,-1.0000
0.217,0.0000,0.0000,0.0000,-1.0000
0.226,0.0000,0.0000,0.0000,-1.0000
0.236,0.0000,0.0000,0.0000,-1.0000
0.245,0.0000,0.0000,0.0000,-1.0000
0.256,0.0000,0.0000,0.0000,-1.0000
0.266,0.0000,0.0000,0.0000,-1.0000
0.274,0.0000,0.0000,0.0000,-1.0000
0.283,0.0000,0.0000,0.0000,-1.0000
0.292,0.0000,0.0000,0.0000,-1.0000
0.301,0.0000,0.0000,0.0000,-1.0000
0.315,0.0000,0.0000,0.0000,-1.0000
0.325,0.0000,0.0000,0.0000,-1.0000
0.337,0.0000,0.0000,0.0000,-1.0000
0.345,0.0000,0.0000,0.0000,-1.0000
0.355,0.0000,0.0000,0.0000,-1.0000
0.363,0.0000,0.0000,0.0000,-1.0000
0.374,0.0000,0.0000,0.0000,-1.0000
0.384,0.0000,0.0000,0.0000,-1.0000
0.394,0.0000,0.0000,0.0000,-1.0000
0.405,0.0000,0.0000,0.0000,-1.0000
0.416,0.0000,0.0000,0.0000,-1.0000
0.428,0.0000,0.0000,0.0000,-1.0000
0.437,0.0000,0.0000,0.0000,-1.0000
0.446,0.0000,0.0000,0.0000,-1.0000
0.455,0.0000,0.0000,0.0000,-1.0000
0.464,0.0000,0.0000,0.0000,-1.0000
0.475,0.0000,0.0000,0.0000,-1.0000
0.483,0.0000,0.0000,0.0000,-1.0000
0.491,0.0000,0.0000,0.0000,-1.0000
0.498,0.0000,0.0000,0.0000,-1.0000
0.508,0.0000,0.0000,0.0000,-1.0000
0.515,0.0000,0.0000,0.0000,-1.0000
0.524,0.0000,0.0000,0.0000,-1.0000
0.532,0.0000,0.0000,0.0000,-1.0000
0.541,0.0000,0.0000,0.0000,-1.0000
0.552,0.0000,0.0000,0.0000,-1.0000
0.562,0.0000,0.0000,0.0000,-1.0000
