Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.037,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.044,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.068,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.075,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.084,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.091,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.099,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.118,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.155,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.161,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.169,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.184,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.191,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.198,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.226,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.236,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.245,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.256,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.266,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.274,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.315,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.325,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.337,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.345,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.355,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.363,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.374,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.384,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.394,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.416,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.428,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.437,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.446,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.455,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.475,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.483,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.491,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.498,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.508,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.515,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.524,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.532,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.541,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.552,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.562,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.573,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.583,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.603,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
