sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0264,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
1,0.0387,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
2,0.0459,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
3,0.0634,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
4,0.0916,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
5,0.1133,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
6,0.1293,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
7,0.1435,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
8,0.1663,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
9,0.1904,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
10,0.2078,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
11,0.2239,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
12,0.2475,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
13,0.2704,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
14,0.2868,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
15,0.3034,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
16,0.3233,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
17,0.3466,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
18,0.3668,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
19,0.3860,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
20,0.4079,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
21,0.4293,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
22,0.4498,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
23,0.4703,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
24,0.4936,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
25,0.5051,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
26,0.5354,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
27,0.5471,True,True,1,335.00,834.89,335.00,834.89,0.174481,0.773042,335.00,834.89,1920,1080
28,0.5688,True,True,1,471.43,564.74,471.43,564.74,0.245538,0.522906,471.43,564.74,1920,1080
29,0.5837,True,True,1,504.22,512.25,504.22,512.25,0.262616,0.474306,504.22,512.25,1920,1080
30,0.6048,True,True,1,504.22,512.25,504.22,512.25,0.262616,0.474306,504.22,512.25,1920,1080
31,0.6336,True,True,1,548.32,447.29,548.32,447.29,0.285583,0.414156,548.32,447.29,1920,1080
32,0.6450,True,True,1,590.34,396.32,590.34,396.32,0.307471,0.366963,590.34,396.32,1920,1080
33,0.6647,True,True,1,590.34,396.32,590.34,396.32,0.307471,0.366963,590.34,396.32,1920,1080
34,0.6932,True,True,1,626.65,378.90,626.65,378.90,0.326379,0.350831,626.65,378.90,1920,1080
35,0.7146,True,True,1,616.08,353.21,616.08,353.21,0.320875,0.327045,616.08,353.21,1920,1080
36,0.7275,True,True,1,616.08,353.21,616.08,353.21,0.320875,0.327045,616.08,353.21,1920,1080
37,0.7479,True,True,1,604.41,298.72,604.41,298.72,0.314798,0.276591,604.41,298.72,1920,1080
38,0.7682,True,True,1,604.41,298.72,604.41,298.72,0.314798,0.276591,604.41,298.72,1920,1080
39,0.7910,True,True,1,604.41,298.72,604.41,298.72,0.314798,0.276591,604.41,298.72,1920,1080
40,0.8152,True,True,1,604.41,298.72,604.41,298.72,0.314798,0.276591,604.41,298.72,1920,1080
