Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.021,0.0000,9.3638,0.0000
0.036,0.0000,9.3638,0.0000
0.045,0.0000,9.3638,0.0000
0.054,0.0000,9.3638,0.0000
0.063,0.0000,9.3638,0.0000
0.072,0.0000,9.3638,0.0000
0.082,0.0000,9.3638,0.0000
0.090,0.0000,9.3638,0.0000
0.100,0.0000,9.3638,0.0000
0.109,0.0000,9.3638,0.0000
0.119,0.0000,9.3638,0.0000
0.130,0.0000,9.3638,0.0000
0.142,0.0000,9.3638,0.0000
0.150,0.0000,9.3638,0.0000
0.160,0.0000,9.3638,0.0000
0.168,0.0000,9.3638,0.0000
0.177,0.0000,9.3638,0.0000
0.186,0.0000,9.3638,0.0000
0.196,0.0000,9.3638,0.0000
0.204,0.0000,9.3638,0.0000
0.212,0.0000,9.3638,0.0000
0.221,0.0000,9.3638,0.0000
0.230,0.0000,9.3638,0.0000
0.238,0.0000,9.3638,0.0000
0.247,0.0000,9.3638,0.0000
0.254,0.0000,9.3638,0.0000
0.263,0.0000,9.3638,0.0000
0.270,0.0000,9.3638,0.0000
0.280,0.0000,9.3638,0.0000
0.287,0.0000,9.3638,0.0000
0.297,0.0000,9.3638,0.0000
0.304,0.0000,9.3638,0.0000
0.314,0.0000,9.3638,0.0000
0.322,0.0000,9.3638,0.0000
0.331,0.0000,9.3638,0.0000
0.341,0.0000,9.3638,0.0000
0.350,0.0000,9.3638,0.0000
0.359,0.0000,9.3638,0.0000
0.367,0.0000,9.3638,0.0000
0.377,0.0000,9.3638,0.0000
0.384,0.0000,9.3638,0.0000
0.394,0.0000,9.3638,0.0000
0.403,0.0000,9.3638,0.0000
0.411,0.0000,9.3638,0.0000
0.422,0.0000,9.3638,0.0000
0.430,0.0000,9.3638,0.0000
0.440,0.0000,9.3638,0.0000
0.449,0.0000,9.3638,0.0000
0.458,0.0000,9.3638,0.0000
0.468,0.0000,9.3638,0.0000
0.480,0.0000,9.3638,0.0000
0.487,0.0000,9.3638,0.0000
0.497,0.0000,9.3638,0.0000
0.505,0.0000,9.3638,0.0000
0.515,0.0000,9.3638,0.0000
0.522,0.0000,9.3638,0.0000
0.532,0.0000,9.3638,0.0000
0.542,0.0000,9.3638,0.0000
0.550,0.0000,9.3638,0.0000
0.559,0.0000,9.3638,0.0000
0.568,0.0000,9.3638,0.0000
0.578,0.0000,9.3638,0.0000
0.585,0.0000,9.3638,0.0000
0.596,0.0000,9.3638,0.0000
0.605,0.0000,9.3638,0.0000
0.615,0.0000,9.3638,0.0000
0.629,0.0000,9.3638,0.0000
0.644,0.0000,9.3638,0.0000
0.663,0.0000,9.3638,0.0000
0.678,0.0000,9.3638,0.0000
0.695,0.0000,9.3638,0.0000
0.710,0.0000,9.3638,0.0000
0.725,0.0000,9.3638,0.0000
0.748,0.0000,9.3638,0.0000
0.764,0.0000,9.3638,0.0000
0.783,0.0000,9.3638,0.0000
0.798,0.0000,9.3638,0.0000
0.811,0.0000,9.3638,0.0000
0.822,0.0000,9.3638,0.0000
0.833,0.0000,9.3638,0.0000
0.845,0.0000,9.3638,0.0000
0.857,0.0000,9.3638,0.0000
0.870,0.0000,9.3638,0.0000
0.882,0.0000,9.3638,0.0000
0.900,0.0000,9.3638,0.0000
0.912,0.0000,9.3638,0.0000
