Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.040,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.048,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.071,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.078,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.085,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.091,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.098,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.135,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.157,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.165,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
