Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.047,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.075,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.245,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.274,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.303,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.334,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.363,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.391,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.420,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.478,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.516,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.549,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.581,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.608,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.635,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.664,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.692,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.716,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.744,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.772,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.830,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.859,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.891,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.921,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.953,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.982,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.097,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.173,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.260,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.316,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.343,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.372,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.430,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.457,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.486,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.517,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.545,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.573,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.601,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.630,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.658,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.686,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.717,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.745,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.775,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.804,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.838,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.870,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.897,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.922,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.949,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.977,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.062,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.120,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.233,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.261,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.319,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.348,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
