sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0000,True,True,1,889.08,45.45,889.08,45.45,0.463064,0.042083,889.08,45.45,1920,1080
1,0.0470,True,True,1,890.16,45.71,890.16,45.71,0.463624,0.042326,890.16,45.71,1920,1080
2,0.0755,True,True,1,890.16,45.71,890.16,45.71,0.463624,0.042326,890.16,45.71,1920,1080
3,0.1121,True,True,1,892.01,45.90,892.01,45.90,0.464589,0.042500,892.01,45.90,1920,1080
4,0.1483,True,True,1,892.47,46.08,892.47,46.08,0.464826,0.042667,892.47,46.08,1920,1080
5,0.1745,True,True,1,893.17,45.65,893.17,45.65,0.465192,0.042270,893.17,45.65,1920,1080
6,0.2071,True,True,1,893.55,46.08,893.55,46.08,0.465392,0.042666,893.55,46.08,1920,1080
7,0.2453,True,True,1,893.77,46.02,893.77,46.02,0.465505,0.042611,893.77,46.02,1920,1080
8,0.2741,True,True,1,894.22,45.82,894.22,45.82,0.465739,0.042423,894.22,45.82,1920,1080
9,0.3026,True,True,1,894.55,45.21,894.55,45.21,0.465910,0.041864,894.55,45.21,1920,1080
10,0.3339,True,True,1,894.47,45.37,894.47,45.37,0.465870,0.042008,894.47,45.37,1920,1080
11,0.3626,True,True,1,894.38,45.10,894.38,45.10,0.465824,0.041758,894.38,45.10,1920,1080
12,0.3908,True,True,1,894.35,44.70,894.35,44.70,0.465810,0.041388,894.35,44.70,1920,1080
13,0.4198,True,True,1,894.08,44.41,894.08,44.41,0.465667,0.041123,894.08,44.41,1920,1080
14,0.4482,True,True,1,875.01,47.92,875.01,47.92,0.455734,0.044366,875.01,47.92,1920,1080
15,0.4780,True,True,1,817.71,59.92,817.71,59.92,0.425889,0.055485,817.71,59.92,1920,1080
16,0.5163,True,True,1,751.42,73.20,751.42,73.20,0.391364,0.067777,751.42,73.20,1920,1080
17,0.5489,True,True,1,691.18,86.60,691.18,86.60,0.359989,0.080184,691.18,86.60,1920,1080
18,0.5808,True,True,1,645.44,97.98,645.44,97.98,0.336169,0.090720,645.44,97.98,1920,1080
19,0.6078,True,True,1,611.39,108.65,611.39,108.65,0.318432,0.100603,611.39,108.65,1920,1080
20,0.6350,True,True,1,587.32,116.05,587.32,116.05,0.305895,0.107456,587.32,116.05,1920,1080
21,0.6641,True,True,1,570.09,122.59,570.09,122.59,0.296924,0.113510,570.09,122.59,1920,1080
22,0.6923,True,True,1,556.69,128.57,556.69,128.57,0.289945,0.119042,556.69,128.57,1920,1080
23,0.7161,True,True,1,595.10,130.38,595.10,130.38,0.309950,0.120720,595.10,130.38,1920,1080
24,0.7443,True,True,1,629.73,130.13,629.73,130.13,0.327987,0.120492,629.73,130.13,1920,1080
25,0.7724,True,True,1,677.09,129.67,677.09,129.67,0.352651,0.120068,677.09,129.67,1920,1080
26,0.7999,True,True,1,677.09,129.67,677.09,129.67,0.352651,0.120068,677.09,129.67,1920,1080
27,0.8304,True,True,1,735.41,129.11,735.41,129.11,0.383024,0.119545,735.41,129.11,1920,1080
28,0.8591,True,True,1,790.58,129.99,790.58,129.99,0.411758,0.120362,790.58,129.99,1920,1080
29,0.8911,True,True,1,837.22,129.61,837.22,129.61,0.436051,0.120009,837.22,129.61,1920,1080
30,0.9211,True,True,1,831.65,166.97,831.65,166.97,0.433149,0.154606,831.65,166.97,1920,1080
31,0.9527,True,True,1,688.70,280.76,688.70,280.76,0.358698,0.259967,688.70,280.76,1920,1080
32,0.9825,True,True,1,485.41,474.37,485.41,474.37,0.252819,0.439235,485.41,474.37,1920,1080
33,1.0141,True,True,1,342.15,618.00,342.15,618.00,0.178204,0.572227,342.15,618.00,1920,1080
34,1.0414,True,True,1,342.15,618.00,342.15,618.00,0.178204,0.572227,342.15,618.00,1920,1080
35,1.0689,True,True,1,260.20,702.69,260.20,702.69,0.135522,0.650636,260.20,702.69,1920,1080
36,1.0969,True,True,1,215.64,759.29,215.64,759.29,0.112311,0.703050,215.64,759.29,1920,1080
37,1.1218,True,True,1,191.08,794.63,191.08,794.63,0.099522,0.735764,191.08,794.63,1920,1080
38,1.1463,True,True,1,182.15,820.78,182.15,820.78,0.094871,0.759978,182.15,820.78,1920,1080
39,1.1729,True,True,1,175.33,836.94,175.33,836.94,0.091319,0.774940,175.33,836.94,1920,1080
40,1.2010,True,True,1,275.06,839.17,275.06,839.17,0.143260,0.777011,275.06,839.17,1920,1080
41,1.2294,True,True,1,388.76,831.66,388.76,831.66,0.202478,0.770052,388.76,831.66,1920,1080
42,1.2603,True,True,1,478.79,826.02,478.79,826.02,0.249369,0.764835,478.79,826.02,1920,1080
43,1.2872,True,True,1,547.39,821.52,547.39,821.52,0.285101,0.760669,547.39,821.52,1920,1080
44,1.3157,True,True,1,598.73,817.61,598.73,817.61,0.311840,0.757043,598.73,817.61,1920,1080
45,1.3433,True,True,1,598.73,817.61,598.73,817.61,0.311840,0.757043,598.73,817.61,1920,1080
