Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.026,0.0000,9.3638,0.0000
0.036,0.0000,9.3638,0.0000
0.043,0.0000,9.3638,0.0000
0.049,0.0000,9.3638,0.0000
0.055,0.0000,9.3638,0.0000
0.062,0.0000,9.3638,0.0000
0.068,0.0000,9.3638,0.0000
0.075,0.0000,9.3638,0.0000
0.082,0.0000,9.3638,0.0000
0.088,0.0000,9.3638,0.0000
0.095,0.0000,9.3638,0.0000
0.101,0.0000,9.3638,0.0000
0.107,0.0000,9.3638,0.0000
0.114,0.0000,9.3638,0.0000
0.120,0.0000,9.3638,0.0000
0.126,0.0000,9.3638,0.0000
0.133,0.0000,9.3638,0.0000
0.139,0.0000,9.3638,0.0000
0.147,0.0000,9.3638,0.0000
0.156,0.0000,9.3638,0.0000
0.163,0.0000,9.3638,0.0000
0.169,0.0000,9.3638,0.0000
0.175,0.0000,9.3638,0.0000
0.180,0.0000,9.3638,0.0000
0.193,0.0000,9.3638,0.0000
0.201,0.0000,9.3638,0.0000
0.207,0.0000,9.3638,0.0000
0.214,0.0000,9.3638,0.0000
0.220,0.0000,9.3638,0.0000
0.227,0.0000,9.3638,0.0000
0.233,0.0000,9.3638,0.0000
0.239,0.0000,9.3638,0.0000
0.246,0.0000,9.3638,0.0000
0.252,0.0000,9.3638,0.0000
0.258,0.0000,9.3638,0.0000
0.264,0.0000,9.3638,0.0000
0.270,0.0000,9.3638,0.0000
0.276,0.0000,9.3638,0.0000
0.282,0.0000,9.3638,0.0000
0.289,0.0000,9.3638,0.0000
0.295,0.0000,9.3638,0.0000
0.301,0.0000,9.3638,0.0000
0.307,0.0000,9.3638,0.0000
0.315,0.0000,9.3638,0.0000
0.322,0.0000,9.3638,0.0000
0.328,0.0000,9.3638,0.0000
0.334,0.0000,9.3638,0.0000
0.340,0.0000,9.3638,0.0000
0.346,0.0000,9.3638,0.0000
0.353,0.0000,9.3638,0.0000
0.359,0.0000,9.3638,0.0000
0.366,0.0000,9.3638,0.0000
0.373,0.0000,9.3638,0.0000
0.380,0.0000,9.3638,0.0000
0.386,0.0000,9.3638,0.0000
0.394,0.0000,9.3638,0.0000
0.400,0.0000,9.3638,0.0000
0.406,0.0000,9.3638,0.0000
0.414,0.0000,9.3638,0.0000
0.421,0.0000,9.3638,0.0000
0.428,0.0000,9.3638,0.0000
0.435,0.0000,9.3638,0.0000
0.443,0.0000,9.3638,0.0000
0.450,0.0000,9.3638,0.0000
0.458,0.0000,9.3638,0.0000
0.465,0.0000,9.3638,0.0000
0.472,0.0000,9.3638,0.0000
0.479,0.0000,9.3638,0.0000
0.486,0.0000,9.3638,0.0000
0.495,0.0000,9.3638,0.0000
0.501,0.0000,9.3638,0.0000
0.509,0.0000,9.3638,0.0000
0.517,0.0000,9.3638,0.0000
0.524,0.0000,9.3638,0.0000
0.531,0.0000,9.3638,0.0000
0.538,0.0000,9.3638,0.0000
0.545,0.0000,9.3638,0.0000
0.551,0.0000,9.3638,0.0000
0.557,0.0000,9.3638,0.0000
0.563,0.0000,9.3638,0.0000
0.570,0.0000,9.3638,0.0000
0.576,0.0000,9.3638,0.0000
0.582,0.0000,9.3638,0.0000
0.590,0.0000,9.3638,0.0000
0.596,0.0000,9.3638,0.0000
0.602,0.0000,9.3638,0.0000
0.608,0.0000,9.3638,0.0000
0.615,0.0000,9.3638,0.0000
0.622,0.0000,9.3638,0.0000
0.628,0.0000,9.3638,0.0000
0.635,0.0000,9.3638,0.0000
0.641,0.0000,9.3638,0.0000
0.648,0.0000,9.3638,0.0000
0.654,0.0000,9.3638,0.0000
0.661,0.0000,9.3638,0.0000
0.667,0.0000,9.3638,0.0000
0.673,0.0000,9.3638,0.0000
0.680,0.0000,9.3638,0.0000
0.686,0.0000,9.3638,0.0000
0.692,0.0000,9.3638,0.0000
0.699,0.0000,9.3638,0.0000
0.704,0.0000,9.3638,0.0000
0.712,0.0000,9.3638,0.0000
0.717,0.0000,9.3638,0.0000
0.723,0.0000,9.3638,0.0000
0.731,0.0000,9.3638,0.0000
0.737,0.0000,9.3638,0.0000
0.744,0.0000,9.3638,0.0000
0.750,0.0000,9.3638,0.0000
0.757,0.0000,9.3638,0.0000
0.763,0.0000,9.3638,0.0000
0.770,0.0000,9.3638,0.0000
0.778,0.0000,9.3638,0.0000
0.785,0.0000,9.3638,0.0000
0.792,0.0000,9.3638,0.0000
0.799,0.0000,9.3638,0.0000
0.806,0.0000,9.3638,0.0000
0.814,0.0000,9.3638,0.0000
0.820,0.0000,9.3638,0.0000
0.827,0.0000,9.3638,0.0000
0.835,0.0000,9.3638,0.0000
0.842,0.0000,9.3638,0.0000
0.850,0.0000,9.3638,0.0000
0.857,0.0000,9.3638,0.0000
0.864,0.0000,9.3638,0.0000
0.871,0.0000,9.3638,0.0000
0.879,0.0000,9.3638,0.0000
0.887,0.0000,9.3638,0.0000
0.894,0.0000,9.3638,0.0000
0.902,0.0000,9.3638,0.0000
0.910,0.0000,9.3638,0.0000
0.917,0.0000,9.3638,0.0000
0.924,0.0000,9.3638,0.0000
0.931,0.0000,9.3638,0.0000
0.937,0.0000,9.3638,0.0000
0.944,0.0000,9.3638,0.0000
0.951,0.0000,9.3638,0.0000
0.956,0.0000,9.3638,0.0000
0.962,0.0000,9.3638,0.0000
0.969,0.0000,9.3638,0.0000
0.977,0.0000,9.3638,0.0000
0.983,0.0000,9.3638,0.0000
0.989,0.0000,9.3638,0.0000
0.995,0.0000,9.3638,0.0000
1.001,0.0000,9.3638,0.0000
1.009,0.0000,9.3638,0.0000
1.016,0.0000,9.3638,0.0000
1.022,0.0000,9.3638,0.0000
1.029,0.0000,9.3638,0.0000
1.035,0.0000,9.3638,0.0000
1.041,0.0000,9.3638,0.0000
1.047,0.0000,9.3638,0.0000
1.053,0.0000,9.3638,0.0000
1.060,0.0000,9.3638,0.0000
1.066,0.0000,9.3638,0.0000
1.073,0.0000,9.3638,0.0000
1.079,0.0000,9.3638,0.0000
1.084,0.0000,9.3638,0.0000
1.091,0.0000,9.3638,0.0000
1.098,0.0000,9.3638,0.0000
1.104,0.0000,9.3638,0.0000
1.111,0.0000,9.3638,0.0000
1.117,0.0000,9.3638,0.0000
1.123,0.0000,9.3638,0.0000
1.130,0.0000,9.3638,0.0000
1.136,0.0000,9.3638,0.0000
1.142,0.0000,9.3638,0.0000
1.148,0.0000,9.3638,0.0000
1.154,0.0000,9.3638,0.0000
1.161,0.0000,9.3638,0.0000
1.167,0.0000,9.3638,0.0000
1.174,0.0000,9.3638,0.0000
1.180,0.0000,9.3638,0.0000
1.186,0.0000,9.3638,0.0000
1.193,0.0000,9.3638,0.0000
1.200,0.0000,9.3638,0.0000
1.205,0.0000,9.3638,0.0000
1.212,0.0000,9.3638,0.0000
1.219,0.0000,9.3638,0.0000
1.224,0.0000,9.3638,0.0000
1.231,0.0000,9.3638,0.0000
1.237,0.0000,9.3638,0.0000
1.244,0.0000,9.3638,0.0000
1.251,0.0000,9.3638,0.0000
1.258,0.0000,9.3638,0.0000
