sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0256,True,True,1,664.38,655.71,664.38,655.71,0.346032,0.607140,664.38,655.71,1920,1080
1,0.0361,True,True,1,664.38,655.71,664.38,655.71,0.346032,0.607140,664.38,655.71,1920,1080
2,0.0552,True,True,1,664.38,655.71,664.38,655.71,0.346032,0.607140,664.38,655.71,1920,1080
3,0.0751,True,True,1,1472.99,211.94,1472.99,211.94,0.767181,0.196245,1472.99,211.94,1920,1080
4,0.0951,True,True,1,1061.25,389.86,1061.25,389.86,0.552736,0.360986,1061.25,389.86,1920,1080
5,0.1141,True,True,1,1061.25,389.86,1061.25,389.86,0.552736,0.360986,1061.25,389.86,1920,1080
6,0.1327,True,True,1,1429.81,219.06,1429.81,219.06,0.744693,0.202836,1429.81,219.06,1920,1080
7,0.1560,True,True,1,1268.64,276.64,1268.64,276.64,0.660752,0.256145,1268.64,276.64,1920,1080
8,0.1748,True,True,1,1268.64,276.64,1268.64,276.64,0.660752,0.256145,1268.64,276.64,1920,1080
9,0.1927,True,True,1,1307.90,227.76,1307.90,227.76,0.681197,0.210884,1307.90,227.76,1920,1080
10,0.2136,True,True,1,1337.07,176.73,1337.07,176.73,0.696392,0.163638,1337.07,176.73,1920,1080
11,0.2330,True,True,1,1337.07,176.73,1337.07,176.73,0.696392,0.163638,1337.07,176.73,1920,1080
12,0.2521,True,True,1,1057.47,246.07,1057.47,246.07,0.550767,0.227840,1057.47,246.07,1920,1080
13,0.2763,True,True,1,788.46,296.01,788.46,296.01,0.410658,0.274083,788.46,296.01,1920,1080
14,0.2955,True,True,1,788.46,296.01,788.46,296.01,0.410658,0.274083,788.46,296.01,1920,1080
15,0.3154,True,True,1,620.42,344.02,620.42,344.02,0.323134,0.318533,620.42,344.02,1920,1080
16,0.3339,True,True,1,1268.03,41.08,1268.03,41.08,0.660432,0.038037,1268.03,41.08,1920,1080
