sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0000,False,True,0,,,,,,,,,1920,1080
1,0.0874,False,True,0,,,,,,,,,1920,1080
2,0.1513,False,True,0,,,,,,,,,1920,1080
3,0.2233,False,True,0,,,,,,,,,1920,1080
4,0.2905,False,True,0,,,,,,,,,1920,1080
5,0.3622,False,True,0,,,,,,,,,1920,1080
6,0.4279,False,True,0,,,,,,,,,1920,1080
7,0.4919,False,True,0,,,,,,,,,1920,1080
8,0.5636,False,True,0,,,,,,,,,1920,1080
9,0.6344,False,True,0,,,,,,,,,1920,1080
10,0.7049,False,True,0,,,,,,,,,1920,1080
11,0.7688,False,True,0,,,,,,,,,1920,1080
12,0.8329,False,True,0,,,,,,,,,1920,1080
13,0.8945,False,True,0,,,,,,,,,1920,1080
14,0.9582,False,True,0,,,,,,,,,1920,1080
15,1.0249,False,True,0,,,,,,,,,1920,1080
16,1.0907,False,True,0,,,,,,,,,1920,1080
17,1.1582,False,True,0,,,,,,,,,1920,1080
18,1.2266,False,True,0,,,,,,,,,1920,1080
19,1.2985,False,True,0,,,,,,,,,1920,1080
20,1.3633,False,True,0,,,,,,,,,1920,1080
21,1.4338,False,True,0,,,,,,,,,1920,1080
22,1.5009,False,True,0,,,,,,,,,1920,1080
23,1.5664,False,True,0,,,,,,,,,1920,1080
24,1.6445,False,True,0,,,,,,,,,1920,1080
25,1.7184,False,True,0,,,,,,,,,1920,1080
26,1.7819,False,True,0,,,,,,,,,1920,1080
27,1.8535,False,True,0,,,,,,,,,1920,1080
28,1.9241,False,True,0,,,,,,,,,1920,1080
29,1.9918,False,True,0,,,,,,,,,1920,1080
30,2.0578,False,True,0,,,,,,,,,1920,1080
31,2.1241,False,True,0,,,,,,,,,1920,1080
32,2.1906,False,True,0,,,,,,,,,1920,1080
33,2.2578,False,True,0,,,,,,,,,1920,1080
34,2.3589,False,True,0,,,,,,,,,1920,1080
35,2.4220,False,True,0,,,,,,,,,1920,1080
36,2.4684,False,True,0,,,,,,,,,1920,1080
