Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-0.2744
0.087,0.0000,0.0000,0.0000,-0.2744
0.151,0.0000,0.0000,0.0000,-0.2744
0.223,0.0000,0.0000,0.0000,-0.2744
0.290,0.0000,0.0000,0.0000,-0.2744
0.362,0.0000,0.0000,0.0000,-0.2744
0.428,0.0000,0.0000,0.0000,-0.2744
0.492,0.0000,0.0000,0.0000,-0.2744
0.564,0.0000,0.0000,0.0000,-0.2744
0.634,0.0000,0.0000,0.0000,-0.2744
0.705,0.0000,0.0000,0.0000,-0.2744
0.769,0.0000,0.0000,0.0000,-0.2744
0.833,0.0000,0.0000,0.0000,-0.2744
0.894,0.0000,0.0000,0.0000,-0.2744
0.958,0.0000,0.0000,0.0000,-0.2744
1.025,0.0000,0.0000,0.0000,-0.2744
1.091,0.0000,0.0000,0.0000,-0.2744
1.158,0.0000,0.0000,0.0000,-0.2744
1.227,0.0000,0.0000,0.0000,-0.2744
1.298,0.0000,0.0000,0.0000,-0.2744
1.363,0.0000,0.0000,0.0000,-0.2744
1.434,0.0000,0.0000,0.0000,-0.2744
1.501,0.0000,0.0000,0.0000,-0.2744
1.566,0.0000,0.0000,0.0000,-0.2744
1.644,0.0000,0.0000,0.0000,-0.2744
1.718,0.0000,0.0000,0.0000,-0.2744
1.782,0.0000,0.0000,0.0000,-0.2744
1.854,0.0000,0.0000,0.0000,-0.2744
1.924,0.0000,0.0000,0.0000,-0.2744
1.992,0.0000,0.0000,0.0000,-0.2744
2.058,0.0000,0.0000,0.0000,-0.2744
2.124,0.0000,0.0000,0.0000,-0.2744
2.191,0.0000,0.0000,0.0000,-0.2744
2.258,0.0000,0.0000,0.0000,-0.2744
2.359,0.0000,0.0000,0.0000,-0.2744
2.422,0.0000,0.0000,0.0000,-0.2744
2.468,0.0000,0.0000,0.0000,-0.2744
2.499,0.0000,0.0000,0.0000,-0.2744
2.532,0.0000,0.0000,0.0000,-0.2744
2.567,0.0000,0.0000,0.0000,-0.2744
2.602,0.0000,0.0000,0.0000,-0.2744
2.633,0.0000,0.0000,0.0000,-0.2744
2.660,0.0000,0.0000,0.0000,-0.2744
2.688,0.0000,0.0000,0.0000,-0.2744
2.720,0.0000,0.0000,0.0000,-0.2744
2.751,0.0000,0.0000,0.0000,-0.2744
2.783,0.0000,0.0000,0.0000,-0.2744
2.814,0.0000,0.0000,0.0000,-0.2744
2.849,0.0000,0.0000,0.0000,-0.2744
2.878,0.0000,0.0000,0.0000,-0.2744
2.911,0.0000,0.0000,0.0000,-0.2744
2.944,0.0000,0.0000,0.0000,-0.2744
2.971,0.0000,0.0000,0.0000,-0.2744
3.013,0.0000,0.0000,0.0000,-0.2744
3.047,0.0000,0.0000,0.0000,-0.2744
3.082,0.0000,0.0000,0.0000,-0.2744
3.111,0.0000,0.0000,0.0000,-0.2744
3.141,0.0000,0.0000,0.0000,-0.2744
3.174,0.0000,0.0000,0.0000,-0.2744
3.202,0.0000,0.0000,0.0000,-0.2744
3.231,0.0000,0.0000,0.0000,-0.2744
3.259,0.0000,0.0000,0.0000,-0.2744
3.289,0.0000,0.0000,0.0000,-0.2744
3.318,0.0000,0.0000,0.0000,-0.2744
3.347,0.0000,0.0000,0.0000,-0.2744
3.377,0.0000,0.0000,0.0000,-0.2744
3.406,0.0000,0.0000,0.0000,-0.2744
3.437,0.0000,0.0000,0.0000,-0.2744
3.465,0.0000,0.0000,0.0000,-0.2744
3.499,0.0000,0.0000,0.0000,-0.2744
3.527,0.0000,0.0000,0.0000,-0.2744
3.557,0.0000,0.0000,0.0000,-0.2744
3.591,0.0000,0.0000,0.0000,-0.2744
3.622,0.0000,0.0000,0.0000,-0.2744
3.656,0.0000,0.0000,0.0000,-0.2744
3.686,0.0000,0.0000,0.0000,-0.2744
3.716,0.0000,0.0000,0.0000,-0.2744
3.746,0.0000,0.0000,0.0000,-0.2744
3.772,0.0000,0.0000,0.0000,-0.2744
3.808,0.0000,0.0000,0.0000,-0.2744
3.842,0.0000,0.0000,0.0000,-0.2744
3.864,0.0000,0.0000,0.0000,-0.2744
3.898,0.0000,0.0000,0.0000,-0.2744
3.934,0.0000,0.0000,0.0000,-0.2744
3.965,0.0000,0.0000,0.0000,-0.2744
3.999,0.0000,0.0000,0.0000,-0.2744
4.029,0.0000,0.0000,0.0000,-0.2744
4.060,0.0000,0.0000,0.0000,-0.2744
4.095,0.0000,0.0000,0.0000,-0.2744
4.121,0.0000,0.0000,0.0000,-0.2744
4.150,0.0000,0.0000,0.0000,-0.2744
4.184,0.0000,0.0000,0.0000,-0.2744
4.216,0.0000,0.0000,0.0000,-0.2744
4.248,0.0000,0.0000,0.0000,-0.2744
4.278,0.0000,0.0000,0.0000,-0.2744
4.316,0.0000,0.0000,0.0000,-0.2744
4.349,0.0000,0.0000,0.0000,-0.2744
4.375,0.0000,0.0000,0.0000,-0.2744
4.403,0.0000,0.0000,0.0000,-0.2744
4.435,0.0000,0.0000,0.0000,-0.2744
4.462,0.0000,0.0000,0.0000,-0.2744
4.497,0.0000,0.0000,0.0000,-0.2744
4.530,0.0000,0.0000,0.0000,-0.2744
4.559,0.0000,0.0000,0.0000,-0.2744
4.592,0.0000,0.0000,0.0000,-0.2744
4.624,0.0000,0.0000,0.0000,-0.2744
4.653,0.0000,0.0000,0.0000,-0.2744
4.687,0.0000,0.0000,0.0000,-0.2744
4.722,0.0000,0.0000,0.0000,-0.2744
4.754,0.0000,0.0000,0.0000,-0.2744
4.788,0.0000,0.0000,0.0000,-0.2744
4.821,0.0000,0.0000,0.0000,-0.2744
4.851,0.0000,0.0000,0.0000,-0.2744
4.874,0.0000,0.0000,0.0000,-0.2744
4.902,0.0000,0.0000,0.0000,-0.2744
4.927,0.0000,0.0000,0.0000,-0.2744
4.964,0.0000,0.0000,0.0000,-0.2744
4.993,0.0000,0.0000,0.0000,-0.2744
5.018,0.0000,0.0000,0.0000,-0.2744
5.045,0.0000,0.0000,0.0000,-0.2744
5.081,0.0000,0.0000,0.0000,-0.2744
5.110,0.0000,0.0000,0.0000,-0.2744
5.145,0.0000,0.0000,0.0000,-0.2744
5.176,0.0000,0.0000,0.0000,-0.2744
5.210,0.0000,0.0000,0.0000,-0.2744
5.236,0.0000,0.0000,0.0000,-0.2744
5.269,0.0000,0.0000,0.0000,-0.2744
5.300,0.0000,0.0000,0.0000,-0.2744
5.329,0.0000,0.0000,0.0000,-0.2744
5.353,0.0000,0.0000,0.0000,-0.2744
5.378,0.0000,0.0000,0.0000,-0.2744
5.412,0.0000,0.0000,0.0000,-0.2744
5.442,0.0000,0.0000,0.0000,-0.2744
5.473,0.0000,0.0000,0.0000,-0.2744
5.505,0.0000,0.0000,0.0000,-0.2744
5.534,0.0000,0.0000,0.0000,-0.2744
5.563,0.0000,0.0000,0.0000,-0.2744
5.592,0.0000,0.0000,0.0000,-0.2744
5.631,0.0000,0.0000,0.0000,-0.2744
5.665,0.0000,0.0000,0.0000,-0.2744
5.695,0.0000,0.0000,0.0000,-0.2744
5.732,0.0000,0.0000,0.0000,-0.2744
5.765,0.0000,0.0000,0.0000,-0.2744
5.791,0.0000,0.0000,0.0000,-0.2744
5.823,0.0000,0.0000,0.0000,-0.2744
5.849,0.0000,0.0000,0.0000,-0.2744
5.880,0.0000,0.0000,0.0000,-0.2744
5.909,0.0000,0.0000,0.0000,-0.2744
5.944,0.0000,0.0000,0.0000,-0.2744
5.979,0.0000,0.0000,0.0000,-0.2744
6.010,0.0000,0.0000,0.0000,-0.2744
6.043,0.0000,0.0000,0.0000,-0.2744
6.077,0.0000,0.0000,0.0000,-0.2744
6.113,0.0000,0.0000,0.0000,-0.2744
6.141,0.0000,0.0000,0.0000,-0.2744
6.171,0.0000,0.0000,0.0000,-0.2744
6.201,0.0000,0.0000,0.0000,-0.2744
6.230,0.0000,0.0000,0.0000,-0.2744
6.258,0.0000,0.0000,0.0000,-0.2744
6.288,0.0000,0.0000,0.0000,-0.2744
6.319,0.0000,0.0000,0.0000,-0.2744
6.350,0.0000,0.0000,0.0000,-0.2744
6.377,0.0000,0.0000,0.0000,-0.2744
6.410,0.0000,0.0000,0.0000,-0.2744
6.443,0.0000,0.0000,0.0000,-0.2744
6.471,0.0000,0.0000,0.0000,-0.2744
6.500,0.0000,0.0000,0.0000,-0.2744
6.533,0.0000,0.0000,0.0000,-0.2744
6.561,0.0000,0.0000,0.0000,-0.2744
6.597,0.0000,0.0000,0.0000,-0.2744
6.632,0.0000,0.0000,0.0000,-0.2744
6.661,0.0000,0.0000,0.0000,-0.2744
6.698,0.0000,0.0000,0.0000,-0.2744
6.726,0.0000,0.0000,0.0000,-0.2744
6.752,0.0000,0.0000,0.0000,-0.2744
6.782,0.0000,0.0000,0.0000,-0.2744
6.814,0.0000,0.0000,0.0000,-0.2744
6.842,0.0000,0.0000,0.0000,-0.2744
6.876,0.0000,0.0000,0.0000,-0.2744
6.898,0.0000,0.0000,0.0000,-0.2744
6.925,0.0000,0.0000,0.0000,-0.2744
6.954,0.0000,0.0000,0.0000,-0.2744
6.986,0.0000,0.0000,0.0000,-0.2744
7.021,0.0000,0.0000,0.0000,-0.2744
7.049,0.0000,0.0000,0.0000,-0.2744
7.080,0.0000,0.0000,0.0000,-0.2744
7.111,0.0000,0.0000,0.0000,-0.2744
7.142,0.0000,0.0000,0.0000,-0.2744
7.171,0.0000,0.0000,0.0000,-0.2744
7.203,0.0000,0.0000,0.0000,-0.2744
7.233,0.0000,0.0000,0.0000,-0.2744
7.265,0.0000,0.0000,0.0000,-0.2744
7.297,0.0000,0.0000,0.0000,-0.2744
7.331,0.0000,0.0000,0.0000,-0.2744
7.361,0.0000,0.0000,0.0000,-0.2744
7.392,0.0000,0.0000,0.0000,-0.2744
7.423,0.0000,0.0000,0.0000,-0.2744
7.451,0.0000,0.0000,0.0000,-0.2744
7.484,0.0000,0.0000,0.0000,-0.2744
7.519,0.0000,0.0000,0.0000,-0.2744
7.552,0.0000,0.0000,0.0000,-0.2744
7.581,0.0000,0.0000,0.0000,-0.2744
7.613,0.0000,0.0000,0.0000,-0.2744
7.642,0.0000,0.0000,0.0000,-0.2744
7.674,0.0000,0.0000,0.0000,-0.2744
7.700,0.0000,0.0000,0.0000,-0.2744
7.729,0.0000,0.0000,0.0000,-0.2744
7.759,0.0000,0.0000,0.0000,-0.2744
7.791,0.0000,0.0000,0.0000,-0.2744
7.828,0.0000,0.0000,0.0000,-0.2744
7.857,0.0000,0.0000,0.0000,-0.2744
7.890,0.0000,0.0000,0.0000,-0.2744
7.920,0.0000,0.0000,0.0000,-0.2744
7.953,0.0000,0.0000,0.0000,-0.2744
7.985,0.0000,0.0000,0.0000,-0.2744
8.015,0.0000,0.0000,0.0000,-0.2744
8.048,0.0000,0.0000,0.0000,-0.2744
8.077,0.0000,0.0000,0.0000,-0.2744
8.110,0.0000,0.0000,0.0000,-0.2744
8.142,0.0000,0.0000,0.0000,-0.2744
8.177,0.0000,0.0000,0.0000,-0.2744
8.209,0.0000,0.0000,0.0000,-0.2744
8.242,0.0000,0.0000,0.0000,-0.2744
8.276,0.0000,0.0000,0.0000,-0.2744
8.312,0.0000,0.0000,0.0000,-0.2744
8.341,0.0000,0.0000,0.0000,-0.2744
8.371,0.0000,0.0000,0.0000,-0.2744
8.399,0.0000,0.0000,0.0000,-0.2744
8.430,0.0000,0.0000,0.0000,-0.2744
8.465,0.0000,0.0000,0.0000,-0.2744
8.495,0.0000,0.0000,0.0000,-0.2744
8.528,0.0000,0.0000,0.0000,-0.2744
8.560,0.0000,0.0000,0.0000,-0.2744
8.593,0.0000,0.0000,0.0000,-0.2744
8.629,0.0000,0.0000,0.0000,-0.2744
8.666,0.0000,0.0000,0.0000,-0.2744
8.696,0.0000,0.0000,0.0000,-0.2744
8.723,0.0000,0.0000,0.0000,-0.2744
8.758,0.0000,0.0000,0.0000,-0.2744
8.789,0.0000,0.0000,0.0000,-0.2744
8.822,0.0000,0.0000,0.0000,-0.2744
8.851,0.0000,0.0000,0.0000,-0.2744
8.880,0.0000,0.0000,0.0000,-0.2744
8.909,0.0000,0.0000,0.0000,-0.2744
8.940,0.0000,0.0000,0.0000,-0.2744
8.970,0.0000,0.0000,0.0000,-0.2744
9.001,0.0000,0.0000,0.0000,-0.2744
9.033,0.0000,0.0000,0.0000,-0.2744
9.064,0.0000,0.0000,0.0000,-0.2744
9.103,0.0000,0.0000,0.0000,-0.2744
9.137,0.0000,0.0000,0.0000,-0.2744
9.166,0.0000,0.0000,0.0000,-0.2744
9.199,0.0000,0.0000,0.0000,-0.2744
9.233,0.0000,0.0000,0.0000,-0.2744
9.259,0.0000,0.0000,0.0000,-0.2744
9.290,0.0000,0.0000,0.0000,-0.2744
9.325,0.0000,0.0000,0.0000,-0.2744
9.358,0.0000,0.0000,0.0000,-0.2744
9.388,0.0000,0.0000,0.0000,-0.2744
9.421,0.0000,0.0000,0.0000,-0.2744
9.453,0.0000,0.0000,0.0000,-0.2744
9.483,0.0000,0.0000,0.0000,-0.2744
9.511,0.0000,0.0000,0.0000,-0.2744
9.540,0.0000,0.0000,0.0000,-0.2744
9.568,0.0000,0.0000,0.0000,-0.2744
9.602,0.0000,0.0000,0.0000,-0.2744
9.629,0.0000,0.0000,0.0000,-0.2744
9.657,0.0000,0.0000,0.0000,-0.2744
9.690,0.0000,0.0000,0.0000,-0.2744
9.718,0.0000,0.0000,0.0000,-0.2744
