Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.087,0.0000,9.3638,0.0000
0.151,0.0000,9.3638,0.0000
0.223,0.0000,9.3638,0.0000
0.290,0.0000,9.3638,0.0000
0.362,0.0000,9.3638,0.0000
0.428,0.0000,9.3638,0.0000
0.492,0.0000,9.3638,0.0000
0.564,0.0000,9.3638,0.0000
0.634,0.0000,9.3638,0.0000
0.705,0.0000,9.3638,0.0000
0.769,0.0000,9.3638,0.0000
0.833,0.0000,9.3638,0.0000
0.894,0.0000,9.3638,0.0000
0.958,0.0000,9.3638,0.0000
1.025,0.0000,9.3638,0.0000
1.091,0.0000,9.3638,0.0000
1.158,0.0000,9.3638,0.0000
1.227,0.0000,9.3638,0.0000
1.298,0.0000,9.3638,0.0000
1.363,0.0000,9.3638,0.0000
1.434,0.0000,9.3638,0.0000
1.501,0.0000,9.3638,0.0000
1.566,0.0000,9.3638,0.0000
1.644,0.0000,9.3638,0.0000
1.718,0.0000,9.3638,0.0000
1.782,0.0000,9.3638,0.0000
1.854,0.0000,9.3638,0.0000
1.924,0.0000,9.3638,0.0000
1.992,0.0000,9.3638,0.0000
2.058,0.0000,9.3638,0.0000
2.124,0.0000,9.3638,0.0000
2.191,0.0000,9.3638,0.0000
2.258,0.0000,9.3638,0.0000
2.359,0.0000,9.3638,0.0000
2.422,0.0000,9.3640,0.0000
2.468,0.0000,9.3640,0.0000
2.499,0.0000,9.3640,0.0000
2.532,0.0000,9.3640,0.0000
2.567,0.0000,9.3640,0.0000
2.602,0.0000,9.3640,0.0000
2.633,0.0000,9.3640,0.0000
2.660,0.0000,9.3640,0.0000
2.688,0.0000,9.3640,0.0000
2.720,0.0000,9.3640,0.0000
2.751,0.0000,9.3640,0.0000
2.783,0.0000,9.3640,0.0000
2.814,0.0000,9.3640,0.0000
2.849,0.0000,9.3640,0.0000
2.878,0.0000,9.3640,0.0000
2.911,0.0000,9.3640,0.0000
2.944,0.0000,9.3640,0.0000
2.971,0.0000,9.3640,0.0000
3.013,0.0000,9.3640,0.0000
3.047,0.0000,9.3640,0.0000
3.082,0.0000,9.3640,0.0000
3.111,0.0000,9.3640,0.0000
3.141,0.0000,9.3640,0.0000
3.174,0.0000,9.3640,0.0000
3.202,0.0000,9.3640,0.0000
3.231,0.0000,9.3640,0.0000
3.259,0.0000,9.3640,0.0000
3.289,0.0000,9.3640,0.0000
3.318,0.0000,9.3640,0.0000
3.347,0.0000,9.3640,0.0000
3.377,0.0000,9.3640,0.0000
3.406,0.0000,9.3640,0.0000
3.437,0.0000,9.3640,0.0000
3.465,0.0000,9.3640,0.0000
3.499,0.0000,9.3640,0.0000
3.527,0.0000,9.3640,0.0000
3.557,0.0000,9.3640,0.0000
3.591,0.0000,9.3640,0.0000
3.622,0.0000,9.3640,0.0000
3.656,0.0000,9.3640,0.0000
3.686,0.0000,9.3640,0.0000
3.716,0.0000,9.3640,0.0000
3.746,0.0000,9.3640,0.0000
3.772,0.0000,9.3640,0.0000
3.808,0.0000,9.3640,0.0000
3.842,0.0000,9.3640,0.0000
3.864,0.0000,9.3640,0.0000
3.898,0.0000,9.3640,0.0000
3.934,0.0000,9.3640,0.0000
3.965,0.0000,9.3640,0.0000
3.999,0.0000,9.3640,0.0000
4.029,0.0000,9.3640,0.0000
4.060,0.0000,9.3640,0.0000
4.095,0.0000,9.3640,0.0000
4.121,0.0000,9.3640,0.0000
4.150,0.0000,9.3640,0.0000
4.184,0.0000,9.3640,0.0000
4.216,0.0000,9.3640,0.0000
4.248,0.0000,9.3640,0.0000
4.278,0.0000,9.3640,0.0000
4.316,0.0000,9.3640,0.0000
4.349,0.0000,9.3640,0.0000
4.375,0.0000,9.3640,0.0000
4.403,0.0000,9.3640,0.0000
4.435,0.0000,9.3640,0.0000
4.462,0.0000,9.3640,0.0000
4.497,0.0000,9.3640,0.0000
4.530,0.0000,9.3640,0.0000
4.559,0.0000,9.3640,0.0000
4.592,0.0000,9.3640,0.0000
4.624,0.0000,9.3640,0.0000
4.653,0.0000,9.3640,0.0000
4.687,0.0000,9.3640,0.0000
4.722,0.0000,9.3640,0.0000
4.754,0.0000,9.3640,0.0000
4.788,0.0000,9.3640,0.0000
4.821,0.0000,9.3640,0.0000
4.851,0.0000,9.3640,0.0000
4.874,0.0000,9.3640,0.0000
4.902,0.0000,9.3640,0.0000
4.927,0.0000,9.3640,0.0000
