Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.087,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.223,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.362,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.428,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.492,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.564,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.634,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.705,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.769,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.833,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.894,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.958,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.091,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.158,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.227,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.363,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.434,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.501,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.566,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.644,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.718,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.782,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.854,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.924,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.058,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.124,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.191,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.359,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.468,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.499,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.532,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.567,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.602,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.633,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.660,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.688,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.720,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.751,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.783,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.814,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.849,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.878,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.911,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.944,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.971,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.047,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.082,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
