sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,clampedGameScreenX,clampedGameScreenY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0222,True,True,1,720.40,280.69,720.40,280.69,0.375210,0.259894,720.40,280.69,1920,1080
1,0.0338,True,True,1,720.40,280.69,720.40,280.69,0.375210,0.259894,720.40,280.69,1920,1080
2,0.0519,True,True,1,1022.07,443.67,1022.07,443.67,0.532330,0.410808,1022.07,443.67,1920,1080
3,0.0725,True,True,1,1015.69,455.12,1015.69,455.12,0.529004,0.421404,1015.69,455.12,1920,1080
4,0.0998,True,True,1,969.41,458.06,969.41,458.06,0.504903,0.424129,969.41,458.06,1920,1080
5,0.1111,True,True,1,969.41,458.06,969.41,458.06,0.504903,0.424129,969.41,458.06,1920,1080
6,0.1334,True,True,1,913.32,459.19,913.32,459.19,0.475687,0.425176,913.32,459.19,1920,1080
7,0.1543,True,True,1,913.32,459.19,913.32,459.19,0.475687,0.425176,913.32,459.19,1920,1080
8,0.1695,True,True,1,861.20,463.12,861.20,463.12,0.448541,0.428819,861.20,463.12,1920,1080
9,0.1909,True,True,1,822.41,469.01,822.41,469.01,0.428339,0.434268,822.41,469.01,1920,1080
10,0.2100,True,True,1,822.41,469.01,822.41,469.01,0.428339,0.434268,822.41,469.01,1920,1080
11,0.2314,True,True,1,797.31,477.13,797.31,477.13,0.415268,0.441791,797.31,477.13,1920,1080
12,0.2527,True,True,1,778.26,486.45,778.26,486.45,0.405345,0.450418,778.26,486.45,1920,1080
13,0.2713,True,True,1,778.26,486.45,778.26,486.45,0.405345,0.450418,778.26,486.45,1920,1080
14,0.2901,True,True,1,765.78,491.62,765.78,491.62,0.398843,0.455201,765.78,491.62,1920,1080
15,0.3093,True,True,1,765.78,491.62,765.78,491.62,0.398843,0.455201,765.78,491.62,1920,1080
16,0.3304,True,True,1,755.71,495.33,755.71,495.33,0.393600,0.458642,755.71,495.33,1920,1080
17,0.3494,True,True,1,747.42,497.71,747.42,497.71,0.389283,0.460846,747.42,497.71,1920,1080
18,0.3701,True,True,1,738.49,495.20,738.49,495.20,0.384629,0.458515,738.49,495.20,1920,1080
19,0.3908,True,True,1,738.49,495.20,738.49,495.20,0.384629,0.458515,738.49,495.20,1920,1080
20,0.4107,True,True,1,738.49,495.20,738.49,495.20,0.384629,0.458515,738.49,495.20,1920,1080
21,0.4310,True,True,1,738.49,495.20,738.49,495.20,0.384629,0.458515,738.49,495.20,1920,1080
22,0.4518,True,True,1,738.49,495.20,738.49,495.20,0.384629,0.458515,738.49,495.20,1920,1080
23,0.4712,True,True,1,730.54,514.27,730.54,514.27,0.380491,0.476177,730.54,514.27,1920,1080
24,0.4920,True,True,1,706.59,565.03,706.59,565.03,0.368015,0.523178,706.59,565.03,1920,1080
25,0.5148,True,True,1,706.59,565.03,706.59,565.03,0.368015,0.523178,706.59,565.03,1920,1080
26,0.5304,True,True,1,688.28,624.54,688.28,624.54,0.358477,0.578276,688.28,624.54,1920,1080
