Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.084,0.0000,0.0000,0.0000,-1.0000
0.160,0.0000,0.0000,0.0000,-1.0000
0.233,0.0000,0.0000,0.0000,-1.0000
0.302,0.0000,0.0000,0.0000,-1.0000
0.376,0.0000,0.0000,0.0000,-1.0000
0.449,0.0000,0.0000,0.0000,-1.0000
0.523,0.0000,0.0000,0.0000,-1.0000
0.598,0.0000,0.0000,0.0000,-1.0000
0.667,0.0000,0.0000,0.0000,-1.0000
0.736,0.0000,0.0000,0.0000,-1.0000
0.808,0.0000,0.0000,0.0000,-1.0000
0.877,0.0000,0.0000,0.0000,-1.0000
0.950,0.0000,0.0000,0.0000,-1.0000
1.004,0.0000,0.0000,0.0000,-1.0000
1.066,0.0000,0.0000,0.0000,-1.0000
1.124,0.0000,0.0000,0.0000,-1.0000
1.183,0.0000,0.0000,0.0000,-1.0000
1.253,0.0000,0.0000,0.0000,-1.0000
1.308,0.0000,0.0000,0.0000,-1.0000
1.366,0.0000,0.0000,0.0000,-1.0000
1.432,0.0000,0.0000,0.0000,-1.0000
1.492,0.0000,0.0000,0.0000,-1.0000
1.553,0.0000,0.0000,0.0000,-1.0000
1.613,0.0000,0.0000,0.0000,-1.0000
1.671,0.0000,0.0000,0.0000,-1.0000
1.731,0.0000,0.0000,0.0000,-1.0000
1.787,0.0000,0.0000,0.0000,-1.0000
1.846,0.0000,0.0000,0.0000,-1.0000
1.900,0.0000,0.0000,0.0000,-1.0000
1.962,0.0000,0.0000,0.0000,-1.0000
2.015,0.0000,0.0000,0.0000,-1.0000
2.073,0.0000,0.0000,0.0000,-1.0000
2.131,0.0000,0.0000,0.0000,-1.0000
2.185,0.0000,0.0000,0.0000,-1.0000
2.217,0.0000,0.0000,0.0000,-1.0000
2.248,0.0000,0.0000,0.0000,-1.0000
2.271,0.0000,0.0000,0.0000,-1.0000
2.294,0.0000,0.0000,0.0000,-1.0000
2.320,0.0000,0.0000,0.0000,-1.0000
2.344,0.0000,0.0000,0.0000,-1.0000
2.370,0.0000,0.0000,0.0000,-1.0000
2.399,0.0000,0.0000,0.0000,-1.0000
2.421,0.0000,0.0000,0.0000,-1.0000
2.448,0.0000,0.0000,0.0000,-1.0000
2.471,0.0000,0.0000,0.0000,-1.0000
2.495,0.0000,0.0000,0.0000,-1.0000
2.519,0.0000,0.0000,0.0000,-1.0000
2.543,0.0000,0.0000,0.0000,-1.0000
2.563,0.0000,0.0000,0.0000,-1.0000
2.588,0.0000,0.0000,0.0000,-1.0000
2.613,0.0000,0.0000,0.0000,-1.0000
2.638,0.0000,0.0000,0.0000,-1.0000
2.665,0.0000,0.0000,0.0000,-1.0000
2.687,0.0000,0.0000,0.0000,-1.0000
2.710,0.0000,0.0000,0.0000,-1.0000
2.735,0.0000,0.0000,0.0000,-1.0000
2.759,0.0000,0.0000,0.0000,-1.0000
2.780,0.0000,0.0000,0.0000,-1.0000
2.802,0.0000,0.0000,0.0000,-1.0000
2.828,0.0000,0.0000,0.0000,-1.0000
2.852,0.0000,0.0000,0.0000,-1.0000
2.873,0.0000,0.0000,0.0000,-1.0000
2.897,0.0000,0.0000,0.0000,-1.0000
2.923,0.0000,0.0000,0.0000,-1.0000
2.951,0.0000,0.0000,0.0000,-1.0000
2.976,0.0000,0.0000,0.0000,-1.0000
2.998,0.0000,0.0000,0.0000,-1.0000
3.019,0.0000,0.0000,0.0000,-1.0000
3.042,0.0000,0.0000,0.0000,-1.0000
3.069,0.0000,0.0000,0.0000,-1.0000
3.091,0.0000,0.0000,0.0000,-1.0000
3.115,0.0000,0.0000,0.0000,-1.0000
3.140,0.0000,0.0000,0.0000,-1.0000
3.165,0.0000,0.0000,0.0000,-1.0000
3.185,0.0000,0.0000,0.0000,-1.0000
3.210,0.0000,0.0000,0.0000,-1.0000
3.238,0.0000,0.0000,0.0000,-1.0000
3.261,0.0000,0.0000,0.0000,-1.0000
3.286,0.0000,0.0000,0.0000,-1.0000
3.306,0.0000,0.0000,0.0000,-1.0000
3.339,0.0000,0.0000,0.0000,-1.0000
3.359,0.0000,0.0000,0.0000,-1.0000
3.384,0.0000,0.0000,0.0000,-1.0000
3.405,0.0000,0.0000,0.0000,-1.0000
3.430,0.0000,0.0000,0.0000,-1.0000
3.453,0.0000,0.0000,0.0000,-1.0000
3.477,0.0000,0.0000,0.0000,-1.0000
3.502,0.0000,0.0000,0.0000,-1.0000
3.523,0.0000,0.0000,0.0000,-1.0000
3.547,0.0000,0.0000,0.0000,-1.0000
3.570,0.0000,0.0000,0.0000,-1.0000
3.594,0.0000,0.0000,0.0000,-1.0000
3.616,0.0000,0.0000,0.0000,-1.0000
3.639,0.0000,0.0000,0.0000,-1.0000
3.662,0.0000,0.0000,0.0000,-1.0000
3.686,0.0000,0.0000,0.0000,-1.0000
3.709,0.0000,0.0000,0.0000,-1.0000
3.731,0.0000,0.0000,0.0000,-1.0000
3.753,0.0000,0.0000,0.0000,-1.0000
3.781,0.0000,0.0000,0.0000,-1.0000
3.802,0.0000,0.0000,0.0000,-1.0000
3.827,0.0000,0.0000,0.0000,-1.0000
3.852,0.0000,0.0000,0.0000,-1.0000
3.877,0.0000,0.0000,0.0000,-1.0000
3.899,0.0000,0.0000,0.0000,-1.0000
3.922,0.0000,0.0000,0.0000,-1.0000
3.947,0.0000,0.0000,0.0000,-1.0000
3.971,0.0000,0.0000,0.0000,-1.0000
3.991,0.0000,0.0000,0.0000,-1.0000
4.013,0.0000,0.0000,0.0000,-1.0000
4.036,0.0000,0.0000,0.0000,-1.0000
4.064,0.0000,0.0000,0.0000,-1.0000
4.087,0.0000,0.0000,0.0000,-1.0000
4.109,0.0000,0.0000,0.0000,-1.0000
4.138,0.0000,0.0000,0.0000,-1.0000
4.162,0.0000,0.0000,0.0000,-1.0000
4.190,0.0000,0.0000,0.0000,-1.0000
4.212,0.0000,0.0000,0.0000,-1.0000
4.236,0.0000,0.0000,0.0000,-1.0000
4.260,0.0000,0.0000,0.0000,-1.0000
4.283,0.0000,0.0000,0.0000,-1.0000
4.307,0.0000,0.0000,0.0000,-1.0000
4.327,0.0000,0.0000,0.0000,-1.0000
4.350,0.0000,0.0000,0.0000,-1.0000
4.373,0.0000,0.0000,0.0000,-1.0000
4.395,0.0000,0.0000,0.0000,-1.0000
4.419,0.0000,0.0000,0.0000,-1.0000
4.442,0.0000,0.0000,0.0000,-1.0000
4.466,0.0000,0.0000,0.0000,-1.0000
4.490,0.0000,0.0000,0.0000,-1.0000
4.510,0.0000,0.0000,0.0000,-1.0000
4.534,0.0000,0.0000,0.0000,-1.0000
4.556,0.0000,0.0000,0.0000,-1.0000
4.577,0.0000,0.0000,0.0000,-1.0000
4.602,0.0000,0.0000,0.0000,-1.0000
4.625,0.0000,0.0000,0.0000,-1.0000
4.649,0.0000,0.0000,0.0000,-1.0000
4.671,0.0000,0.0000,0.0000,-1.0000
4.696,0.0000,0.0000,0.0000,-1.0000
4.724,0.0000,0.0000,0.0000,-1.0000
4.744,0.0000,0.0000,0.0000,-1.0000
4.769,0.0000,0.0000,0.0000,-1.0000
4.793,0.0000,0.0000,0.0000,-1.0000
4.812,0.0000,0.0000,0.0000,-1.0000
4.844,0.0000,0.0000,0.0000,-1.0000
4.865,0.0000,0.0000,0.0000,-1.0000
4.887,0.0000,0.0000,0.0000,-1.0000
4.916,0.0000,0.0000,0.0000,-1.0000
4.940,0.0000,0.0000,0.0000,-1.0000
4.963,0.0000,0.0000,0.0000,-1.0000
4.981,0.0000,0.0000,0.0000,-1.0000
5.004,0.0000,0.0000,0.0000,-1.0000
5.028,0.0000,0.0000,0.0000,-1.0000
5.052,0.0000,0.0000,0.0000,-1.0000
5.075,0.0000,0.0000,0.0000,-1.0000
5.098,0.0000,0.0000,0.0000,-1.0000
5.119,0.0000,0.0000,0.0000,-1.0000
5.143,0.0000,0.0000,0.0000,-1.0000
5.166,0.0000,0.0000,0.0000,-1.0000
5.188,0.0000,0.0000,0.0000,-1.0000
5.211,0.0000,0.0000,0.0000,-1.0000
5.230,0.0000,0.0000,0.0000,-1.0000
5.253,0.0000,0.0000,0.0000,-1.0000
5.277,0.0000,0.0000,0.0000,-1.0000
5.298,0.0000,0.0000,0.0000,-1.0000
5.322,0.0000,0.0000,0.0000,-1.0000
5.345,0.0000,0.0000,0.0000,-1.0000
5.369,0.0000,0.0000,0.0000,-1.0000
5.395,0.0000,0.0000,0.0000,-1.0000
5.425,0.0000,0.0000,0.0000,-1.0000
5.454,0.0000,0.0000,0.0000,-1.0000
5.480,0.0000,0.0000,0.0000,-1.0000
5.504,0.0000,0.0000,0.0000,-1.0000
5.530,0.0000,-0.0300,0.0000,-1.0000
5.555,0.0000,-0.1070,0.0000,-1.0000
5.583,0.0237,-0.1778,0.0000,-1.0000
5.611,0.1174,-0.2622,0.0000,-1.0000
5.637,0.2490,-0.3458,0.0000,-1.0000
5.664,0.3883,-0.4314,0.0000,-1.0000
5.695,0.5421,-0.5059,-0.0102,-1.0000
5.718,0.6551,-0.5480,-0.0176,-1.0000
5.741,0.7297,-0.5642,-0.0221,-1.0000
5.767,0.8238,-0.5834,-0.0245,-1.0000
5.790,0.9147,-0.5799,-0.0212,-1.0000
5.819,1.0000,-0.5773,-0.0089,-1.0000
5.841,1.0000,-0.5738,-0.0032,-1.0000
5.868,1.0000,-0.5726,0.0000,-1.0000
5.888,1.0000,-0.5681,0.0000,-1.0000
5.916,1.0000,-0.5521,0.0000,-1.0000
5.940,1.0000,-0.5346,0.0000,-1.0000
5.965,1.0000,-0.5220,0.0000,-1.0000
