Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.018,0.0000,9.3638,0.0000
0.027,0.0000,9.3638,0.0000
0.032,0.0000,9.3638,0.0000
0.037,0.0000,9.3638,0.0000
0.041,0.0000,9.3638,0.0000
0.047,0.0000,9.3638,0.0000
0.051,0.0000,9.3638,0.0000
0.055,0.0000,9.3638,0.0000
0.061,0.0000,9.3638,0.0000
0.065,0.0000,9.3638,0.0000
0.069,0.0000,9.3638,0.0000
0.074,0.0000,9.3638,0.0000
0.079,0.0000,9.3638,0.0000
0.083,0.0000,9.3638,0.0000
0.087,0.0000,9.3638,0.0000
0.093,0.0000,9.3638,0.0000
0.099,0.0000,9.3638,0.0000
0.103,0.0000,9.3638,0.0000
0.108,0.0000,9.3638,0.0000
0.113,0.0000,9.3638,0.0000
0.117,0.0000,9.3638,0.0000
0.122,0.0000,9.3638,0.0000
0.127,0.0000,9.3638,0.0000
0.132,0.0000,9.3638,0.0000
0.138,0.0000,9.3638,0.0000
0.144,0.0000,9.3638,0.0000
0.153,0.0000,9.3638,0.0000
0.158,0.0000,9.3638,0.0000
0.162,0.0000,9.3638,0.0000
0.167,0.0000,9.3638,0.0000
0.171,0.0000,9.3638,0.0000
0.175,0.0000,9.3638,0.0000
0.179,0.0000,9.3638,0.0000
0.184,0.0000,9.3638,0.0000
0.188,0.0000,9.3638,0.0000
0.192,0.0000,9.3638,0.0000
0.197,0.0000,9.3638,0.0000
0.201,0.0000,9.3638,0.0000
0.205,0.0000,9.3638,0.0000
0.209,0.0000,9.3638,0.0000
0.214,0.0000,9.3638,0.0000
0.219,0.0000,9.3638,0.0000
0.223,0.0000,9.3638,0.0000
0.227,0.0000,9.3638,0.0000
0.232,0.0000,9.3638,0.0000
0.237,0.0000,9.3638,0.0000
0.240,0.0000,9.3638,0.0000
0.246,0.0000,9.3638,0.0000
0.251,0.0000,9.3638,0.0000
0.255,0.0000,9.3638,0.0000
0.260,0.0000,9.3638,0.0000
0.265,0.0000,9.3638,0.0000
0.270,0.0000,9.3638,0.0000
0.275,0.0000,9.3638,0.0000
0.280,0.0000,9.3638,0.0000
0.285,0.0000,9.3638,0.0000
0.289,0.0000,9.3638,0.0000
0.294,0.0000,9.3638,0.0000
0.298,0.0000,9.3638,0.0000
0.302,0.0000,9.3638,0.0000
0.306,0.0000,9.3638,0.0000
0.311,0.0000,9.3638,0.0000
0.316,0.0000,9.3638,0.0000
0.320,0.0000,9.3638,0.0000
0.324,0.0000,9.3638,0.0000
0.328,0.0000,9.3638,0.0000
