Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.037,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.047,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.055,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.074,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.079,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.083,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.087,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.099,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.153,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.158,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.167,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.171,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.179,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.184,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.223,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.227,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.237,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
