Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.020,0.0000,0.0000,0.0000,-1.0000
0.031,0.0000,0.0000,0.0000,-1.0000
0.041,0.0000,0.0000,0.0000,-1.0000
0.047,0.0000,0.0000,0.0000,-1.0000
0.053,0.0000,0.0000,0.0000,-1.0000
0.059,0.0000,0.0000,0.0000,-1.0000
0.065,0.0000,0.0000,0.0000,-1.0000
0.072,0.0000,0.0000,0.0000,-1.0000
0.078,0.0000,0.0000,0.0000,-1.0000
0.084,0.0000,0.0000,0.0000,-1.0000
0.090,0.0000,0.0000,0.0000,-1.0000
0.097,0.0000,0.0000,0.0000,-1.0000
0.105,0.0000,0.0000,0.0000,-1.0000
0.119,0.0000,0.0000,0.0000,-1.0000
0.125,0.0000,0.0000,0.0000,-1.0000
0.130,0.0000,0.0000,0.0000,-1.0000
0.137,0.0000,0.0000,0.0000,-1.0000
0.142,0.0000,0.0000,0.0000,-1.0000
0.148,0.0000,0.0000,0.0000,-1.0000
0.154,0.0000,0.0000,0.0000,-1.0000
0.159,0.0000,0.0000,0.0000,-1.0000
0.164,0.0000,0.0000,0.0000,-1.0000
0.171,0.0000,0.0000,0.0000,-1.0000
0.176,0.0000,0.0000,0.0000,-1.0000
0.182,0.0000,0.0000,0.0000,-1.0000
0.189,0.0000,0.0000,0.0000,-1.0000
0.194,0.0000,0.0000,0.0000,-1.0000
0.199,0.0000,0.0000,0.0000,-1.0000
0.206,0.0000,0.0000,0.0000,-1.0000
0.212,0.0000,0.0000,0.0000,-1.0000
0.219,0.0000,0.0000,0.0000,-1.0000
0.223,0.0000,0.0000,0.0000,-1.0000
0.228,0.0000,0.0000,0.0000,-1.0000
0.233,0.0000,0.0000,0.0000,-1.0000
0.240,0.0000,0.0000,0.0000,-1.0000
0.245,0.0000,0.0000,0.0000,-1.0000
0.251,0.0000,0.0000,0.0000,-1.0000
0.257,0.0000,0.0000,0.0000,-1.0000
0.262,0.0000,0.0000,0.0000,-1.0000
0.268,0.0000,0.0000,0.0000,-1.0000
0.274,0.0000,0.0000,0.0000,-1.0000
0.280,0.0000,0.0000,0.0000,-1.0000
0.285,0.0000,0.0000,0.0000,-1.0000
0.290,0.0000,0.0000,0.0000,-1.0000
0.296,0.0000,0.0000,0.0000,-1.0000
0.301,0.0000,0.0000,0.0000,-1.0000
0.306,0.0000,0.0000,0.0000,-1.0000
0.311,0.0000,0.0000,0.0000,-1.0000
0.317,0.0000,0.0000,0.0000,-1.0000
0.322,0.0000,0.0000,0.0000,-1.0000
0.328,0.0000,0.0000,0.0000,-1.0000
0.333,0.0000,0.0000,0.0000,-1.0000
0.339,0.0000,0.0000,0.0000,-1.0000
0.344,0.0000,0.0000,0.0000,-1.0000
0.349,0.0000,0.0000,0.0000,-1.0000
0.354,0.0000,0.0000,0.0000,-1.0000
0.361,0.0000,0.0000,0.0000,-1.0000
0.366,0.0000,0.0000,0.0000,-1.0000
0.372,0.0000,0.0000,0.0000,-1.0000
0.378,0.0000,0.0000,0.0000,-1.0000
0.383,0.0000,0.0000,0.0000,-1.0000
0.389,0.0000,0.0000,0.0000,-1.0000
0.395,0.0000,0.0000,0.0000,-1.0000
0.400,0.0000,0.0000,0.0000,-1.0000
0.406,0.0000,0.0000,0.0000,-1.0000
0.411,0.0000,0.0000,0.0000,-1.0000
0.417,0.0000,0.0000,0.0000,-1.0000
0.423,0.0000,0.0000,0.0000,-1.0000
0.427,0.0000,0.0000,0.0000,-1.0000
0.433,0.0000,0.0000,0.0000,-1.0000
0.440,0.0000,0.0000,0.0000,-1.0000
0.445,0.0000,0.0000,0.0000,-1.0000
0.451,0.0000,0.0000,0.0000,-1.0000
0.457,0.0000,0.0000,0.0000,-1.0000
0.462,0.0000,0.0000,0.0000,-1.0000
0.468,0.0000,0.0000,0.0000,-1.0000
0.474,0.0000,0.0000,0.0000,-1.0000
0.479,0.0000,0.0000,0.0000,-1.0000
0.485,0.0000,0.0000,0.0000,-1.0000
0.490,0.0000,0.0000,0.0000,-1.0000
0.495,0.0000,0.0000,0.0000,-1.0000
0.500,0.0000,0.0000,0.0000,-1.0000
0.506,0.0000,0.0000,0.0000,-1.0000
0.511,0.0000,0.0000,0.0000,-1.0000
0.523,0.0000,0.0000,0.0000,-1.0000
0.528,0.0000,0.0000,0.0000,-1.0000
0.533,0.0000,0.0000,0.0000,-1.0000
0.540,0.0000,0.0000,0.0000,-1.0000
0.545,0.0000,0.0000,0.0000,-1.0000
0.550,0.0000,0.0000,0.0000,-1.0000
0.556,0.0000,0.0000,0.0000,-1.0000
0.561,0.0000,0.0000,0.0000,-1.0000
0.566,0.0000,0.0000,0.0000,-1.0000
0.572,0.0000,0.0000,0.0000,-1.0000
0.577,0.0000,0.0000,0.0000,-1.0000
0.582,0.0000,0.0000,0.0000,-1.0000
0.587,0.0000,0.0000,0.0000,-1.0000
0.592,0.0000,0.0000,0.0000,-1.0000
0.598,0.0000,0.0000,0.0000,-1.0000
0.604,0.0000,0.0000,0.0000,-1.0000
0.610,0.0000,0.0000,0.0000,-1.0000
0.616,0.0000,0.0000,0.0000,-1.0000
0.623,0.0000,0.0000,0.0000,-1.0000
0.630,0.0000,0.0000,0.0000,-1.0000
0.637,0.0000,0.0000,0.0000,-1.0000
0.644,0.0000,0.0000,0.0000,-1.0000
0.650,0.0000,0.0000,0.0000,-1.0000
0.658,0.0000,0.0000,0.0000,-1.0000
0.664,0.0000,0.0000,0.0000,-1.0000
0.671,0.0000,0.0000,0.0000,-1.0000
0.678,0.0000,0.0000,0.0000,-1.0000
0.685,0.0000,0.0000,0.0000,-1.0000
0.693,0.0000,0.0000,0.0000,-1.0000
0.699,0.0000,0.0000,0.0000,-1.0000
0.707,0.0000,0.0000,0.0000,-1.0000
0.712,0.0000,0.0000,0.0000,-1.0000
0.720,0.0000,0.0000,0.0000,-1.0000
0.726,0.0000,0.0000,0.0000,-1.0000
0.731,0.0000,0.0000,0.0000,-1.0000
0.738,0.0000,0.0000,0.0000,-1.0000
0.743,0.0000,0.0000,0.0000,-1.0000
0.747,0.0000,0.0000,0.0000,-1.0000
0.754,0.0000,0.0000,0.0000,-1.0000
0.759,0.0000,0.0000,0.0000,-1.0000
0.763,0.0000,0.0000,0.0000,-1.0000
0.770,0.0000,0.0000,0.0000,-1.0000
0.776,0.0000,0.0000,0.0000,-1.0000
0.782,0.0000,0.0000,0.0000,-1.0000
0.788,0.0000,0.0000,0.0000,-1.0000
0.793,0.0000,0.0000,0.0000,-1.0000
0.800,0.0000,0.0000,0.0000,-1.0000
0.806,0.0000,0.0000,0.0000,-1.0000
0.813,0.0000,0.0000,0.0000,-1.0000
0.820,0.0000,0.0000,0.0000,-1.0000
0.825,0.0000,0.0000,0.0000,-1.0000
0.830,0.0000,0.0000,0.0000,-1.0000
0.836,0.0000,0.0000,0.0000,-1.0000
0.842,0.0000,0.0000,0.0000,-1.0000
0.847,0.0000,0.0000,0.0000,-1.0000
0.852,0.0000,0.0000,0.0000,-1.0000
0.858,0.0000,0.0000,0.0000,-1.0000
0.863,0.0000,0.0000,0.0000,-1.0000
0.867,0.0000,0.0000,0.0000,-1.0000
0.874,0.0000,0.0000,0.0000,-1.0000
0.879,0.0000,0.0000,0.0000,-1.0000
0.884,0.0000,0.0000,0.0000,-1.0000
0.891,0.0000,0.0000,0.0000,-1.0000
0.896,0.0000,0.0000,0.0000,-1.0000
0.902,0.0000,0.0000,0.0000,-1.0000
0.908,0.0000,0.0000,0.0000,-1.0000
0.913,0.0000,0.0000,0.0000,-1.0000
0.920,0.0000,0.0000,0.0000,-1.0000
0.925,0.0000,0.0000,0.0000,-1.0000
0.930,0.0000,0.0000,0.0000,-1.0000
0.937,0.0000,0.0000,0.0000,-1.0000
0.943,0.0000,0.0000,0.0000,-1.0000
0.948,0.0000,0.0000,0.0000,-1.0000
0.954,0.0000,0.0000,0.0000,-1.0000
0.959,0.0000,0.0000,0.0000,-1.0000
0.964,0.0000,0.0000,0.0000,-1.0000
0.970,0.0000,0.0000,0.0000,-1.0000
0.976,0.0000,0.0000,0.0000,-1.0000
0.980,0.0000,0.0000,0.0000,-1.0000
0.986,0.0000,0.0000,0.0000,-1.0000
0.992,0.0000,0.0000,0.0000,-1.0000
0.997,0.0000,0.0000,0.0000,-1.0000
1.004,0.0000,0.0000,0.0000,-1.0000
1.009,0.0000,0.0000,0.0000,-1.0000
1.016,0.0000,0.0000,0.0000,-1.0000
1.022,0.0000,0.0000,0.0000,-1.0000
1.027,0.0000,0.0000,0.0000,-1.0000
1.034,0.0000,0.0000,0.0000,-1.0000
1.040,0.0000,0.0000,0.0000,-1.0000
1.044,0.0000,0.0000,0.0000,-1.0000
1.050,0.0000,0.0000,0.0000,-1.0000
1.056,0.0000,0.0000,0.0000,-1.0000
1.062,0.0000,0.0000,0.0000,-1.0000
1.069,0.0000,0.0000,0.0000,-1.0000
1.074,0.0000,0.0000,0.0000,-1.0000
1.080,0.0000,0.0000,0.0000,-1.0000
1.087,0.0000,0.0000,0.0000,-1.0000
1.093,0.0000,0.0000,0.0000,-1.0000
1.100,0.0000,0.0000,0.0000,-1.0000
1.106,0.0000,0.0000,0.0000,-1.0000
1.114,0.0000,0.0000,0.0000,-1.0000
1.120,0.0000,0.0000,0.0000,-1.0000
1.127,0.0000,0.0000,0.0000,-1.0000
1.132,0.0000,0.0000,0.0000,-1.0000
1.139,0.0000,0.0000,0.0000,-1.0000
1.144,0.0000,0.0000,0.0000,-1.0000
1.149,0.0000,0.0000,0.0000,-1.0000
1.154,0.0000,0.0000,0.0000,-1.0000
1.160,0.0000,0.0000,0.0000,-1.0000
1.165,0.0000,0.0000,0.0000,-1.0000
1.171,0.0000,0.0000,0.0000,-1.0000
1.176,0.0000,0.0000,0.0000,-1.0000
1.181,0.0000,0.0000,0.0000,-1.0000
1.188,0.0000,0.0000,0.0000,-1.0000
1.194,0.0000,0.0000,0.0000,-1.0000
1.199,0.0000,0.0000,0.0000,-1.0000
1.206,0.0000,0.0000,0.0000,-1.0000
1.211,0.0000,0.0000,0.0000,-1.0000
1.219,0.0000,0.0000,0.0000,-1.0000
1.225,0.0000,0.0000,0.0000,-1.0000
1.230,0.0000,0.0000,0.0000,-1.0000
1.237,0.0000,0.0000,0.0000,-1.0000
1.241,0.0000,0.0000,0.0000,-1.0000
1.247,0.0000,0.0000,0.0000,-1.0000
1.252,0.0000,0.0000,0.0000,-1.0000
1.257,0.0000,0.0000,0.0000,-1.0000
1.263,0.0000,0.0000,0.0000,-1.0000
1.268,0.0000,0.0000,0.0000,-1.0000
1.274,0.0000,0.0000,0.0000,-1.0000
