Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.021,0.0000,0.0000,0.0000,-1.0000
0.031,0.0000,0.0000,0.0000,-1.0000
0.038,0.0000,0.0000,0.0000,-1.0000
0.043,0.0000,0.0000,0.0000,-1.0000
0.048,0.0000,0.0000,0.0000,-1.0000
0.054,0.0000,0.0000,0.0000,-1.0000
0.058,0.0000,0.0000,0.0000,-1.0000
0.065,0.0000,0.0000,0.0000,-1.0000
0.071,0.0000,0.0000,0.0000,-1.0000
0.077,0.0000,0.0000,0.0000,-1.0000
0.083,0.0000,0.0000,0.0000,-1.0000
0.088,0.0000,0.0000,0.0000,-1.0000
0.099,0.0000,0.0000,0.0000,-1.0000
0.107,0.0000,0.0000,0.0000,-1.0000
0.114,0.0000,0.0000,0.0000,-1.0000
0.119,0.0000,0.0000,0.0000,-1.0000
0.124,0.0000,0.0000,0.0000,-1.0000
0.131,0.0000,0.0000,0.0000,-1.0000
0.135,0.0000,0.0000,0.0000,-1.0000
0.140,0.0000,0.0000,0.0000,-1.0000
0.147,0.0000,0.0000,0.0000,-1.0000
0.154,0.0000,0.0000,0.0000,-1.0000
0.159,0.0000,0.0000,0.0000,-1.0000
0.164,0.0000,0.0000,0.0000,-1.0000
0.170,0.0000,0.0000,0.0000,-1.0000
0.175,0.0000,0.0000,0.0000,-1.0000
0.182,0.0000,0.0000,0.0000,-1.0000
0.186,0.0000,0.0000,0.0000,-1.0000
0.194,0.0000,0.0000,0.0000,-1.0000
0.198,0.0000,0.0000,0.0000,-1.0000
0.203,0.0000,0.0000,0.0000,-1.0000
0.210,0.0000,0.0000,0.0000,-1.0000
0.216,0.0000,0.0000,0.0000,-1.0000
0.222,0.0000,0.0000,0.0000,-1.0000
0.227,0.0000,0.0000,0.0000,-1.0000
0.233,0.0000,0.0000,0.0000,-1.0000
0.239,0.0000,0.0000,0.0000,-1.0000
0.244,0.0000,0.0000,0.0000,-1.0000
0.250,0.0000,0.0000,0.0000,-1.0000
0.256,0.0000,0.0000,0.0000,-1.0000
0.261,0.0000,0.0000,0.0000,-1.0000
0.265,0.0000,0.0000,0.0000,-1.0000
0.272,0.0000,0.0000,0.0000,-1.0000
0.277,0.0000,0.0000,0.0000,-1.0000
0.282,0.0000,0.0000,0.0000,-1.0000
0.288,0.0000,0.0000,0.0000,-1.0000
0.295,0.0000,0.0000,0.0000,-1.0000
0.301,0.0000,0.0000,0.0000,-1.0000
0.306,0.0000,0.0000,0.0000,-1.0000
0.312,0.0000,0.0000,0.0000,-1.0000
0.317,0.0000,0.0000,0.0000,-1.0000
0.321,0.0000,0.0000,0.0000,-1.0000
0.326,0.0000,0.0000,0.0000,-1.0000
0.335,0.0000,0.0000,0.0000,-1.0000
0.341,0.0000,0.0000,0.0000,-1.0000
0.348,0.0000,0.0000,0.0000,-1.0000
0.357,0.0000,0.0000,0.0000,-1.0000
0.364,0.0000,0.0000,0.0000,-1.0000
0.370,0.0000,0.0000,0.0000,-1.0000
