Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.024,0.0000,9.3638,0.0000
0.036,0.0000,9.3638,0.0000
0.043,0.0000,9.3638,0.0000
0.049,0.0000,9.3638,0.0000
0.056,0.0000,9.3638,0.0000
0.063,0.0000,9.3638,0.0000
0.069,0.0000,9.3638,0.0000
0.075,0.0000,9.3638,0.0000
0.081,0.0000,9.3638,0.0000
0.090,0.0000,9.3638,0.0000
0.098,0.0000,9.3638,0.0000
0.104,0.0000,9.3638,0.0000
0.110,0.0000,9.3638,0.0000
0.117,0.0000,9.3638,0.0000
0.123,0.0000,9.3638,0.0000
0.131,0.0000,9.3638,0.0000
0.140,0.0000,9.3638,0.0000
0.146,0.0000,9.3638,0.0000
0.153,0.0000,9.3638,0.0000
0.158,0.0000,9.3638,0.0000
0.164,0.0000,9.3638,0.0000
0.170,0.0000,9.3638,0.0000
0.177,0.0000,9.3638,0.0000
0.183,0.0000,9.3638,0.0000
0.188,0.0000,9.3638,0.0000
0.194,0.0000,9.3638,0.0000
0.199,0.0000,9.3638,0.0000
0.204,0.0000,9.3638,0.0000
0.213,0.0000,9.3638,0.0000
0.219,0.0000,9.3638,0.0000
0.225,0.0000,9.3638,0.0000
0.230,0.0000,9.3638,0.0000
0.236,0.0000,9.3638,0.0000
0.243,0.0000,9.3638,0.0000
0.248,0.0000,9.3638,0.0000
0.255,0.0000,9.3638,0.0000
0.261,0.0000,9.3638,0.0000
0.266,0.0000,9.3638,0.0000
0.282,0.0000,9.3638,0.0000
0.289,0.0000,9.3638,0.0000
0.295,0.0000,9.3638,0.0000
0.302,0.0000,9.3638,0.0000
0.308,0.0000,9.3638,0.0000
0.315,0.0000,9.3638,0.0000
0.321,0.0000,9.3638,0.0000
0.327,0.0000,9.3638,0.0000
0.334,0.0000,9.3638,0.0000
0.339,0.0000,9.3638,0.0000
0.343,0.0000,9.3638,0.0000
0.349,0.0000,9.3638,0.0000
0.355,0.0000,9.3638,0.0000
0.360,0.0000,9.3638,0.0000
0.366,0.0000,9.3638,0.0000
0.371,0.0000,9.3638,0.0000
0.376,0.0000,9.3638,0.0000
0.382,0.0000,9.3638,0.0000
0.388,0.0000,9.3638,0.0000
0.396,0.0000,9.3638,0.0000
0.401,0.0000,9.3638,0.0000
0.406,0.0000,9.3638,0.0000
0.413,0.0000,9.3638,0.0000
0.418,0.0000,9.3638,0.0000
0.424,0.0000,9.3638,0.0000
0.431,0.0000,9.3638,0.0000
0.438,0.0000,9.3638,0.0000
0.444,0.0000,9.3638,0.0000
0.449,0.0000,9.3638,0.0000
0.456,0.0000,9.3638,0.0000
0.461,0.0000,9.3638,0.0000
0.467,0.0000,9.3638,0.0000
0.473,0.0000,9.3638,0.0000
0.480,0.0000,9.3638,0.0000
0.486,0.0000,9.3638,0.0000
0.493,0.0000,9.3638,0.0000
0.498,0.0000,9.3638,0.0000
0.503,0.0000,9.3638,0.0000
0.509,0.0000,9.3638,0.0000
0.516,0.0000,9.3638,0.0000
0.521,0.0000,9.3638,0.0000
0.526,0.0000,9.3638,0.0000
0.532,0.0000,9.3638,0.0000
0.538,0.0000,9.3638,0.0000
0.544,0.0000,9.3638,0.0000
0.550,0.0000,9.3638,0.0000
0.557,0.0000,9.3638,0.0000
0.562,0.0000,9.3638,0.0000
0.568,0.0000,9.3638,0.0000
0.575,0.0000,9.3638,0.0000
0.582,0.0000,9.3638,0.0000
0.587,0.0000,9.3638,0.0000
0.594,0.0000,9.3638,0.0000
0.601,0.0000,9.3638,0.0000
0.607,0.0000,9.3638,0.0000
0.616,0.0000,9.3638,0.0000
0.622,0.0000,9.3638,0.0000
0.629,0.0000,9.3638,0.0000
0.637,0.0000,9.3638,0.0000
0.642,0.0000,9.3638,0.0000
0.649,0.0000,9.3638,0.0000
0.656,0.0000,9.3638,0.0000
0.665,0.0000,9.3638,0.0000
0.671,0.0000,9.3638,0.0000
0.679,0.0000,9.3638,0.0000
0.684,0.0000,9.3638,0.0000
0.689,0.0000,9.3638,0.0000
0.697,0.0000,9.3638,0.0000
0.702,0.0000,9.3638,0.0000
0.708,0.0000,9.3638,0.0000
0.715,0.0000,9.3638,0.0000
0.722,0.0000,9.3638,0.0000
0.727,0.0000,9.3638,0.0000
0.734,0.0000,9.3638,0.0000
0.740,0.0000,9.3638,0.0000
0.747,0.0000,9.3638,0.0000
0.754,0.0000,9.3638,0.0000
0.760,0.0000,9.3638,0.0000
0.765,0.0000,9.3638,0.0000
0.771,0.0000,9.3638,0.0000
0.778,0.0000,9.3638,0.0000
0.785,0.0000,9.3638,0.0000
0.791,0.0000,9.3638,0.0000
0.798,0.0000,9.3638,0.0000
0.803,0.0000,9.3638,0.0000
0.808,0.0000,9.3638,0.0000
0.815,0.0000,9.3638,0.0000
0.821,0.0000,9.3638,0.0000
0.826,0.0000,9.3638,0.0000
0.833,0.0000,9.3638,0.0000
0.838,0.0000,9.3638,0.0000
0.843,0.0000,9.3638,0.0000
0.849,0.0000,9.3638,0.0000
0.855,0.0000,9.3638,0.0000
0.861,0.0000,9.3638,0.0000
0.866,0.0000,9.3638,0.0000
0.873,0.0000,9.3638,0.0000
0.879,0.0000,9.3638,0.0000
0.884,0.0000,9.3638,0.0000
0.890,0.0000,9.3638,0.0000
0.898,0.0000,9.3638,0.0000
0.904,0.0000,9.3638,0.0000
0.911,0.0000,9.3638,0.0000
0.918,0.0000,9.3638,0.0000
0.924,0.0000,9.3638,0.0000
0.929,0.0000,9.3638,0.0000
0.934,0.0000,9.3638,0.0000
0.941,0.0000,9.3638,0.0000
0.947,0.0000,9.3638,0.0000
0.952,0.0000,9.3638,0.0000
0.959,0.0000,9.3638,0.0000
0.965,0.0000,9.3638,0.0000
0.970,0.0000,9.3638,0.0000
0.976,0.0000,9.3638,0.0000
0.981,0.0000,9.3638,0.0000
0.987,0.0000,9.3638,0.0000
0.993,0.0000,9.3638,0.0000
0.998,0.0000,9.3638,0.0000
1.003,0.0000,9.3638,0.0000
1.008,0.0000,9.3638,0.0000
1.018,0.0000,9.3638,0.0000
1.023,0.0000,9.3638,0.0000
1.028,0.0000,9.3638,0.0000
1.037,0.0000,9.3638,0.0000
1.041,0.0000,9.3638,0.0000
1.048,0.0000,9.3638,0.0000
1.054,0.0000,9.3638,0.0000
1.058,0.0000,9.3638,0.0000
1.065,0.0000,9.3638,0.0000
1.070,0.0000,9.3638,0.0000
1.076,0.0000,9.3638,0.0000
1.082,0.0000,9.3638,0.0000
1.087,0.0000,9.3638,0.0000
1.093,0.0000,9.3638,0.0000
1.100,0.0000,9.3638,0.0000
1.106,0.0000,9.3638,0.0000
1.113,0.0000,9.3638,0.0000
1.118,0.0000,9.3638,0.0000
1.123,0.0000,9.3638,0.0000
1.129,0.0000,9.3638,0.0000
1.135,0.0000,9.3638,0.0000
1.140,0.0000,9.3638,0.0000
1.146,0.0000,9.3638,0.0000
1.152,0.0000,9.3638,0.0000
1.159,0.0000,9.3638,0.0000
1.165,0.0000,9.3638,0.0000
1.171,0.0000,9.3638,0.0000
1.177,0.0000,9.3638,0.0000
1.183,0.0000,9.3638,0.0000
1.188,0.0000,9.3638,0.0000
1.195,0.0000,9.3638,0.0000
1.199,0.0000,9.3638,0.0000
1.205,0.0000,9.3638,0.0000
1.210,0.0000,9.3638,0.0000
1.217,0.0000,9.3638,0.0000
1.223,0.0000,9.3638,0.0000
1.228,0.0000,9.3638,0.0000
1.234,0.0000,9.3638,0.0000
1.241,0.0000,9.3638,0.0000
1.246,0.0000,9.3638,0.0000
1.253,0.0000,9.3638,0.0000
1.258,0.0000,9.3638,0.0000
1.263,0.0000,9.3638,0.0000
1.269,0.0000,9.3638,0.0000
1.274,0.0000,9.3638,0.0000
1.279,0.0000,9.3638,0.0000
1.284,0.0000,9.3638,0.0000
1.289,0.0000,9.3638,0.0000
1.295,0.0000,9.3638,0.0000
1.301,0.0000,9.3638,0.0000
1.306,0.0000,9.3638,0.0000
1.311,0.0000,9.3638,0.0000
1.318,0.0000,9.3638,0.0000
1.324,0.0000,9.3638,0.0000
1.331,0.0000,9.3638,0.0000
1.337,0.0000,9.3638,0.0000
1.343,0.0000,9.3638,0.0000
1.348,0.0000,9.3638,0.0000
1.354,0.0000,9.3638,0.0000
1.359,0.0000,9.3638,0.0000
1.365,0.0000,9.3638,0.0000
1.371,0.0000,9.3638,0.0000
1.379,0.0000,9.3638,0.0000
1.385,0.0000,9.3638,0.0000
1.390,0.0000,9.3638,0.0000
1.398,0.0000,9.3638,0.0000
1.403,0.0000,9.3638,0.0000
1.409,0.0000,9.3638,0.0000
1.416,0.0000,9.3638,0.0000
1.421,0.0000,9.3638,0.0000
1.428,0.0000,9.3638,0.0000
1.433,0.0000,9.3638,0.0000
1.439,0.0000,9.3638,0.0000
1.444,0.0000,9.3638,0.0000
1.450,0.0000,9.3638,0.0000
1.457,0.0000,9.3638,0.0000
1.463,0.0000,9.3638,0.0000
1.467,0.0000,9.3638,0.0000
1.474,0.0000,9.3638,0.0000
1.480,0.0000,9.3638,0.0000
1.485,0.0000,9.3638,0.0000
1.490,0.0000,9.3638,0.0000
1.497,0.0000,9.3638,0.0000
1.502,0.0000,9.3638,0.0000
1.507,0.0000,9.3638,0.0000
1.513,0.0000,9.3638,0.0000
1.520,0.0000,9.3638,0.0000
1.525,0.0000,9.3638,0.0000
1.534,0.0000,9.3638,0.0000
1.539,0.0000,9.3638,0.0000
1.544,0.0000,9.3638,0.0000
1.551,0.0000,9.3638,0.0000
1.557,0.0000,9.3638,0.0000
1.565,0.0000,9.3638,0.0000
