Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.024,0.0000,9.3638,0.0000
0.037,0.0000,9.3638,0.0000
0.046,0.0000,9.3638,0.0000
0.055,0.0000,9.3638,0.0000
0.064,0.0000,9.3638,0.0000
0.073,0.0000,9.3638,0.0000
0.081,0.0000,9.3638,0.0000
0.090,0.0000,9.3638,0.0000
0.100,0.0000,9.3638,0.0000
0.107,0.0000,9.3638,0.0000
0.116,0.0000,9.3638,0.0000
0.122,0.0000,9.3638,0.0000
0.131,0.0000,9.3638,0.0000
0.137,0.0000,9.3638,0.0000
0.146,0.0000,9.3638,0.0000
0.154,0.0000,9.3638,0.0000
0.164,0.0000,9.3638,0.0000
0.176,0.0000,9.3638,0.0000
0.182,0.0000,9.3638,0.0000
0.191,0.0000,9.3638,0.0000
0.198,0.0000,9.3638,0.0000
0.205,0.0000,9.3638,0.0000
0.214,0.0000,9.3638,0.0000
0.222,0.0000,9.3638,0.0000
0.230,0.0000,9.3638,0.0000
0.237,0.0000,9.3638,0.0000
0.244,0.0000,9.3638,0.0000
0.252,0.0000,9.3638,0.0000
0.258,0.0000,9.3638,0.0000
0.266,0.0000,9.3638,0.0000
0.272,0.0000,9.3638,0.0000
0.279,0.0000,9.3638,0.0000
0.285,0.0000,9.3638,0.0000
0.292,0.0000,9.3638,0.0000
0.300,0.0000,9.3638,0.0000
0.307,0.0000,9.3638,0.0000
0.314,0.0000,9.3638,0.0000
0.319,0.0000,9.3638,0.0000
0.326,0.0000,9.3638,0.0000
0.333,0.0000,9.3638,0.0000
0.339,0.0000,9.3638,0.0000
0.346,0.0000,9.3638,0.0000
0.352,0.0000,9.3638,0.0000
0.359,0.0000,9.3638,0.0000
0.365,0.0000,9.3638,0.0000
0.372,0.0000,9.3638,0.0000
0.378,0.0000,9.3638,0.0000
0.384,0.0000,9.3638,0.0000
0.391,0.0000,9.3638,0.0000
0.397,0.0000,9.3638,0.0000
0.403,0.0000,9.3638,0.0000
0.410,0.0000,9.3638,0.0000
0.415,0.0000,9.3638,0.0000
0.422,0.0000,9.3638,0.0000
0.429,0.0000,9.3638,0.0000
0.436,0.0000,9.3638,0.0000
0.442,0.0000,9.3638,0.0000
0.450,0.0000,9.3638,0.0000
0.457,0.0000,9.3638,0.0000
0.463,0.0000,9.3638,0.0000
0.470,0.0000,9.3638,0.0000
0.476,0.0000,9.3638,0.0000
0.483,0.0000,9.3638,0.0000
0.490,0.0000,9.3638,0.0000
0.498,0.0000,9.3638,0.0000
0.503,0.0000,9.3638,0.0000
0.510,0.0000,9.3638,0.0000
0.518,0.0000,9.3638,0.0000
0.523,0.0000,9.3638,0.0000
0.531,0.0000,9.3638,0.0000
0.537,0.0000,9.3638,0.0000
0.545,0.0000,9.3638,0.0000
0.552,0.0000,9.3638,0.0000
0.559,0.0000,9.3638,0.0000
0.565,0.0000,9.3638,0.0000
0.572,0.0000,9.3638,0.0000
0.580,0.0000,9.3638,0.0000
0.588,0.0000,9.3638,0.0000
0.595,0.0000,9.3638,0.0000
0.601,0.0000,9.3638,0.0000
0.608,0.0000,9.3638,0.0000
0.615,0.0000,9.3638,0.0000
0.621,0.0000,9.3638,0.0000
0.628,0.0000,9.3638,0.0000
0.634,0.0000,9.3638,0.0000
0.642,0.0000,9.3638,0.0000
0.650,0.0000,9.3638,0.0000
0.656,0.0000,9.3638,0.0000
0.663,0.0000,9.3638,0.0000
0.671,0.0000,9.3638,0.0000
0.678,0.0000,9.3638,0.0000
0.684,0.0000,9.3638,0.0000
0.692,0.0000,9.3638,0.0000
0.699,0.0000,9.3638,0.0000
0.705,0.0000,9.3638,0.0000
0.713,0.0000,9.3638,0.0000
0.720,0.0000,9.3638,0.0000
0.727,0.0000,9.3638,0.0000
0.734,0.0000,9.3638,0.0000
0.740,0.0000,9.3638,0.0000
0.748,0.0000,9.3638,0.0000
0.754,0.0000,9.3638,0.0000
0.760,0.0000,9.3638,0.0000
0.767,0.0000,9.3638,0.0000
0.773,0.0000,9.3638,0.0000
0.780,0.0000,9.3638,0.0000
0.787,0.0000,9.3638,0.0000
0.796,0.0000,9.3638,0.0000
0.801,0.0000,9.3638,0.0000
0.809,0.0000,9.3638,0.0000
0.815,0.0000,9.3638,0.0000
0.820,0.0000,9.3638,0.0000
0.829,0.0000,9.3638,0.0000
0.834,0.0000,9.3638,0.0000
0.840,0.0000,9.3638,0.0000
0.848,0.0000,9.3638,0.0000
0.855,0.0000,9.3638,0.0000
0.861,0.0000,9.3638,0.0000
0.868,0.0000,9.3638,0.0000
0.875,0.0000,9.3638,0.0000
0.881,0.0000,9.3638,0.0000
0.889,0.0000,9.3638,0.0000
0.895,0.0000,9.3638,0.0000
0.902,0.0000,9.3638,0.0000
0.908,0.0000,9.3638,0.0000
0.916,0.0000,9.3638,0.0000
0.923,0.0000,9.3638,0.0000
0.930,0.0000,9.3638,0.0000
0.936,0.0000,9.3638,0.0000
0.944,0.0000,9.3638,0.0000
0.951,0.0000,9.3638,0.0000
0.957,0.0000,9.3638,0.0000
0.964,0.0000,9.3638,0.0000
0.970,0.0000,9.3638,0.0000
0.978,0.0000,9.3638,0.0000
0.984,0.0000,9.3638,0.0000
0.991,0.0000,9.3638,0.0000
0.999,0.0000,9.3638,0.0000
1.006,0.0000,9.3638,0.0000
1.015,0.0000,9.3638,0.0000
1.021,0.0000,9.3638,0.0000
1.031,0.0000,9.3638,0.0000
1.038,0.0000,9.3638,0.0000
1.047,0.0000,9.3638,0.0000
1.054,0.0000,9.3638,0.0000
1.062,0.0000,9.3638,0.0000
1.069,0.0000,9.3638,0.0000
1.078,0.0000,9.3638,0.0000
1.084,-0.0001,9.3638,0.0000
1.094,-0.0001,9.3638,0.0000
1.100,-0.0002,9.3638,0.0000
1.109,-0.0002,9.3638,0.0000
1.118,-0.0002,9.3638,0.0000
1.126,-0.0003,9.3638,0.0000
1.136,-0.0003,9.3638,0.0000
1.144,-0.0004,9.3638,0.0000
1.153,-0.0004,9.3638,0.0000
1.161,-0.0005,9.3638,0.0000
1.170,-0.0005,9.3638,0.0000
1.177,-0.0005,9.3638,0.0000
1.185,-0.0007,9.3638,0.0000
1.194,-0.0007,9.3638,0.0000
1.201,-0.0008,9.3638,0.0000
1.210,-0.0008,9.3638,0.0000
1.218,-0.0008,9.3638,0.0000
1.225,-0.0010,9.3638,0.0000
1.232,-0.0010,9.3638,0.0000
1.240,-0.0010,9.3638,0.0000
1.247,-0.0013,9.3638,0.0000
1.256,-0.0013,9.3638,0.0000
1.264,-0.0019,9.3638,0.0000
1.272,-0.0019,9.3638,0.0000
1.281,-0.0025,9.3638,0.0000
1.290,-0.0025,9.3638,0.0000
1.299,-0.0025,9.3638,0.0000
1.308,-0.0032,9.3638,0.0000
1.317,-0.0032,9.3638,0.0000
1.326,-0.0040,9.3638,0.0000
1.334,-0.0040,9.3638,0.0000
1.342,-0.0048,9.3638,0.0000
1.351,-0.0048,9.3638,0.0000
1.359,-0.0048,9.3638,0.0000
1.366,-0.0056,9.3638,0.0000
1.376,-0.0056,9.3638,0.0000
1.383,-0.0065,9.3638,0.0000
1.393,-0.0065,9.3638,0.0000
1.401,-0.0074,9.3638,0.0000
1.410,-0.0074,9.3638,0.0000
1.417,-0.0074,9.3638,0.0000
1.425,-0.0094,9.3638,0.0000
1.435,-0.0094,9.3638,0.0000
1.442,-0.0115,9.3638,0.0000
1.457,-0.0115,9.3638,0.0000
1.465,-0.0137,9.3638,0.0000
1.472,-0.0137,9.3638,0.0000
1.479,-0.0137,9.3638,0.0000
1.486,-0.0160,9.3638,0.0000
1.493,-0.0160,9.3638,0.0000
1.500,-0.0184,9.3638,0.0000
1.508,-0.0184,9.3638,0.0000
1.515,-0.0184,9.3638,0.0000
1.521,-0.0210,9.3638,0.0000
1.529,-0.0210,9.3638,0.0000
1.535,-0.0210,9.3638,0.0000
1.541,-0.0236,9.3638,0.0000
1.550,-0.0236,9.3638,0.0000
1.560,-0.0292,9.3638,0.0000
1.567,-0.0292,9.3638,0.0000
1.573,-0.0292,9.3638,0.0000
1.581,-0.0349,9.3638,0.0000
1.588,-0.0349,9.3638,0.0000
1.595,-0.0349,9.3638,0.0000
1.601,-0.0408,9.3638,0.0000
1.611,-0.0408,9.3638,0.0000
1.618,-0.0408,9.3638,0.0000
1.625,-0.0469,9.3638,0.0000
1.634,-0.0469,9.3638,0.0000
1.640,-0.0532,9.3638,0.0000
1.648,-0.0532,9.3638,0.0000
1.655,-0.0532,9.3638,0.0000
1.661,-0.0595,9.3638,0.0000
1.670,-0.0595,9.3638,0.0000
1.676,-0.0595,9.3638,0.0000
1.686,-0.0659,9.3638,0.0000
1.697,-0.0659,9.3638,0.0000
1.706,-0.0724,9.3638,0.0000
1.717,-0.0724,9.3638,0.0000
1.727,-0.0789,9.3638,0.0000
1.736,-0.0789,9.3638,0.0000
1.743,-0.0853,9.3638,0.0000
1.753,-0.0853,9.3638,0.0000
1.762,-0.0918,9.3638,0.0000
1.770,-0.0918,9.3638,0.0000
1.779,-0.0918,9.3638,0.0000
1.786,-0.0982,9.3638,0.0000
1.796,-0.0982,9.3638,0.0000
1.803,-0.1046,9.3638,0.0000
1.813,-0.1046,9.3638,0.0000
1.820,-0.1111,9.3638,0.0000
1.829,-0.1111,9.3638,0.0000
1.835,-0.1111,9.3638,0.0000
1.843,-0.1175,9.3638,0.0000
1.851,-0.1175,9.3638,0.0000
1.858,-0.1175,9.3638,0.0000
1.864,-0.1239,9.3638,0.0000
1.872,-0.1239,9.3638,0.0000
1.878,-0.1239,9.3638,0.0000
