time,gameScreenX,gameScreenY,windowsX,windowsY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight,isValid
0.0240,1332.83,720.34,745.67,719.32,0.388368,0.333959,745.67,360.68,1920,1080,1
0.0459,1332.83,720.34,745.67,719.32,0.388368,0.333959,745.67,360.68,1920,1080,1
0.0729,1330.06,719.30,740.11,721.40,0.385476,0.332037,740.11,358.60,1920,1080,1
0.1004,1328.01,718.53,736.02,722.94,0.383341,0.330611,736.02,357.06,1920,1080,1
0.1219,1325.64,717.77,731.28,724.47,0.380877,0.329196,731.28,355.53,1920,1080,1
0.1457,1323.67,717.37,727.34,725.25,0.378825,0.328472,727.34,354.75,1920,1080,1
0.1756,1323.67,717.37,727.34,725.25,0.378825,0.328472,727.34,354.75,1920,1080,1
0.1978,1321.97,716.77,723.94,726.46,0.377051,0.327349,723.94,353.54,1920,1080,1
0.2217,1320.92,716.97,721.83,726.06,0.375953,0.327722,721.83,353.94,1920,1080,1
0.2438,1324.38,720.17,728.75,719.66,0.379557,0.333645,728.75,360.34,1920,1080,1
0.2657,1324.38,720.17,728.75,719.66,0.379557,0.333645,728.75,360.34,1920,1080,1
0.2925,1350.75,742.41,781.50,675.18,0.407032,0.374838,781.50,404.82,1920,1080,1
0.3135,1392.54,781.13,865.08,597.74,0.450564,0.446540,865.08,482.26,1920,1080,1
0.3386,1426.24,813.84,932.49,532.32,0.485670,0.507107,932.49,547.68,1920,1080,1
0.3590,1448.16,835.39,976.32,489.22,0.508502,0.547015,976.32,590.78,1920,1080,1
0.3838,1448.16,835.39,976.32,489.22,0.508502,0.547015,976.32,590.78,1920,1080,1
0.4097,1458.54,845.36,997.08,469.27,0.519315,0.565489,997.08,610.73,1920,1080,1
0.4360,1463.32,850.84,1006.65,458.33,0.524296,0.575623,1006.65,621.67,1920,1080,1
0.4565,1465.11,853.02,1010.22,453.97,0.526154,0.579662,1010.22,626.04,1920,1080,1
0.4830,1470.53,855.04,1021.05,449.93,0.531798,0.583402,1021.05,630.07,1920,1080,1
0.5030,1470.53,855.04,1021.05,449.93,0.531798,0.583402,1021.05,630.07,1920,1080,1
0.5235,1505.33,867.04,1090.66,425.91,0.568053,0.605639,1090.66,654.09,1920,1080,1
0.5454,1541.31,880.51,1162.63,398.99,0.605534,0.630566,1162.63,681.01,1920,1080,1
0.5716,1565.16,887.25,1210.32,385.50,0.630377,0.643060,1210.32,694.50,1920,1080,1
0.5954,1565.16,887.25,1210.32,385.50,0.630377,0.643060,1210.32,694.50,1920,1080,1
0.6212,1580.11,890.33,1240.23,379.35,0.645952,0.648751,1240.23,700.65,1920,1080,1
0.6419,1581.82,890.21,1243.64,379.59,0.647729,0.648532,1243.64,700.41,1920,1080,1
0.6629,1562.14,871.02,1204.29,417.95,0.627233,0.613009,1204.29,662.05,1920,1080,1
0.6842,1562.14,871.02,1204.29,417.95,0.627233,0.613009,1204.29,662.05,1920,1080,1
0.7051,1562.14,871.02,1204.29,417.95,0.627233,0.613009,1204.29,662.05,1920,1080,1
0.7268,1562.14,871.02,1204.29,417.95,0.627233,0.613009,1204.29,662.05,1920,1080,1
0.7479,1562.14,871.02,1204.29,417.95,0.627233,0.613009,1204.29,662.05,1920,1080,1
0.7729,1562.14,871.02,1204.29,417.95,0.627233,0.613009,1204.29,662.05,1920,1080,1
0.7955,1397.89,748.09,875.78,663.83,0.456137,0.385344,875.78,416.17,1920,1080,1
0.8204,1366.36,738.42,812.73,683.15,0.423295,0.367450,812.73,396.85,1920,1080,1
0.8481,1348.42,732.70,776.83,694.61,0.404601,0.356847,776.83,385.39,1920,1080,1
0.8755,1336.25,728.07,752.50,703.87,0.391925,0.348270,752.50,376.13,1920,1080,1
0.9017,1336.25,728.07,752.50,703.87,0.391925,0.348270,752.50,376.13,1920,1080,1
0.9226,1328.32,726.78,736.65,706.43,0.383670,0.345894,736.65,373.57,1920,1080,1
0.9435,1344.68,739.44,769.36,681.12,0.400711,0.369336,769.36,398.88,1920,1080,1
0.9638,1385.17,776.61,850.33,606.78,0.442882,0.438166,850.33,473.22,1920,1080,1
0.9844,1385.17,776.61,850.33,606.78,0.442882,0.438166,850.33,473.22,1920,1080,1
1.0064,1449.68,837.56,979.35,484.88,0.510080,0.551036,979.35,595.12,1920,1080,1
1.0315,1495.82,878.45,1071.63,403.11,0.558142,0.626753,1071.63,676.89,1920,1080,1
1.0536,1495.82,878.45,1071.63,403.11,0.558142,0.626753,1071.63,676.89,1920,1080,1
1.0777,1518.98,900.68,1117.96,358.64,0.582272,0.667922,1117.96,721.36,1920,1080,1
1.1002,1530.67,909.89,1141.34,340.23,0.594450,0.684974,1141.34,739.77,1920,1080,1
1.1261,1536.78,914.89,1153.55,330.21,0.600808,0.694248,1153.55,749.79,1920,1080,1
1.1528,1540.05,919.00,1160.10,322.00,0.604219,0.701849,1160.10,758.00,1920,1080,1
1.1772,1542.19,920.51,1164.38,318.98,0.606447,0.704644,1164.38,761.02,1920,1080,1
1.2011,1542.19,920.51,1164.38,318.98,0.606447,0.704644,1164.38,761.02,1920,1080,1
1.2246,1548.94,936.51,1177.89,286.99,0.613484,0.734269,1177.89,793.01,1920,1080,1
1.2473,1555.57,951.00,1191.15,257.99,0.620389,0.761117,1191.15,822.01,1920,1080,1
1.2723,1559.69,959.48,1199.38,241.04,0.624678,0.776813,1199.38,838.96,1920,1080,1
1.2993,1562.79,963.48,1205.58,233.03,0.627908,0.784228,1205.58,846.97,1920,1080,1
1.3257,1564.48,966.43,1208.96,227.13,0.629668,0.789691,1208.96,852.87,1920,1080,1
1.3508,1564.48,966.43,1208.96,227.13,0.629668,0.789691,1208.96,852.87,1920,1080,1
1.3758,1565.92,968.83,1211.85,222.34,0.631170,0.794127,1211.85,857.66,1920,1080,1
1.4007,1566.87,970.04,1213.74,219.92,0.632155,0.796375,1213.74,860.09,1920,1080,1
1.4252,1567.36,971.24,1214.72,217.52,0.632667,0.798591,1214.72,862.48,1920,1080,1
1.4567,1567.28,972.63,1214.55,214.74,0.632580,0.801168,1214.55,865.26,1920,1080,1
1.4792,1567.17,973.65,1214.34,212.70,0.632466,0.803059,1214.34,867.30,1920,1080,1
1.5001,1567.17,973.65,1214.34,212.70,0.632466,0.803059,1214.34,867.30,1920,1080,1
1.5212,1567.13,974.14,1214.26,211.71,0.632429,0.803968,1214.26,868.29,1920,1080,1
1.5414,1567.35,974.97,1214.70,210.07,0.632658,0.805492,1214.70,869.93,1920,1080,1
1.5668,1567.35,974.97,1214.70,210.07,0.632658,0.805492,1214.70,869.93,1920,1080,1
1.5879,1567.42,975.61,1214.85,208.78,0.632732,0.806681,1214.85,871.22,1920,1080,1
1.6115,1567.76,976.28,1215.52,207.45,0.633085,0.807921,1215.52,872.55,1920,1080,1
1.6340,1567.99,976.96,1215.99,206.07,0.633326,0.809192,1215.99,873.93,1920,1080,1
1.6548,1567.99,976.96,1215.99,206.07,0.633326,0.809192,1215.99,873.93,1920,1080,1
1.6764,1568.30,977.70,1216.60,204.60,0.633646,0.810554,1216.60,875.40,1920,1080,1
1.6974,1568.28,978.16,1216.55,203.69,0.633620,0.811399,1216.55,876.31,1920,1080,1
1.7271,1568.27,978.49,1216.53,203.03,0.633610,0.812012,1216.53,876.97,1920,1080,1
1.7527,1568.22,978.85,1216.45,202.30,0.633567,0.812687,1216.45,877.70,1920,1080,1
1.7788,1568.22,978.85,1216.45,202.30,0.633567,0.812687,1216.45,877.70,1920,1080,1
1.8026,1568.37,979.24,1216.75,201.53,0.633722,0.813403,1216.75,878.47,1920,1080,1
1.8288,1568.50,979.67,1217.00,200.67,0.633857,0.814196,1217.00,879.33,1920,1080,1
1.8509,1568.62,980.04,1217.24,199.92,0.633981,0.814893,1217.24,880.08,1920,1080,1
1.8716,1568.68,980.61,1217.36,198.79,0.634040,0.815936,1217.36,881.21,1920,1080,1
1.8933,1568.68,980.61,1217.36,198.79,0.634040,0.815936,1217.36,881.21,1920,1080,1
